ECU;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
40001;Head of State;フェデリコ・パエス・チリボアガ;36;SL;Stern Imperialist;High;M40001;x
40002;Head of Government;フェデリコ・パエス・チリボアガ;36;SL;Flamboyant Tough Guy;High;M40001;x
40003;Foreign Minister;アルベルト・ラレア・チリボアガ;36;SL;Apologetic Clerk;Medium;M40003;x
40004;Minister of Armament;ファビアン・デル・カステリョ;36;SL;laissez-faire capitalist;Medium;M40004;x
40005;Minister of Security;ダビデ・フロレス;36;SL;Crime Fighter;Medium;M40005;x
40006;Head of Military Intelligence;アウレリオ・モスケラ・ナルバエス;36;SL;Logistics Specialist;Medium;M40006;x
40007;Chief of Staff;ベニグノ・アンドラーデ・フロレス;36;SL;School of Defence;Very Low;M40007;x
40008;Chief of Army;ヒルベルト・エンリケス・ガリョ;36;SL;Decisive Battle Doctrine;Low;M40008;x
40009;Chief of Navy;ファン・ラモン・カストロ;36;SL;Open Seas Doctrine;Medium;M40009;x
40010;Chief of Air Force;コスメ・レネリャ・バルバト;36;SL;Army Aviation Doctrine;Medium;M40010;x
40031;Head of State;グスタボ・ベセラ・パス;36;LWR;Insignificant Layman;High;M40021;x
40032;Head of State;エンリケ・ヒル・ヒルベルト;40;LWR;Autocratic Charmer;High;M40023;x
40033;Head of State;ホセ・マリア・ベラスコ・イバラ;41;SD;Benevolent Gentleman;High;M40033;x
40034;Head of State;カミロ・ポンセ・エンリケス;47;SD;Popular Figurehead;High;M40034;x
40035;Head of State;アウレリオ・モスケラ・ナルバエス;38;SL;Die-hard Reformer;High;M40006;x
40036;Head of State;アンドレス・デ・コルドバ・ニエト;39;SL;Weary Stiffneck;High;M40036;x
40037;Head of State;アントニオ・ポンス・カンプサノ;44;SL;Autocratic Charmer;High;M40037;x
40038;Head of State;カルロス・アロセメナ・トーラ;47;SL;Resigned Generalissimo;High;M40038;x
40039;Head of State;ファン・デ・ディアス・メラ;37;SC;Popular Figurehead;High;M40015;x
40040;Head of State;カルロス・アロヨ・デル・リオ;41;SC;Powerhungry Demagogue;High;M40040;x
40041;Head of State;イシドロ・アヨラ・クエバ;45;SC;Barking Buffoon;High;M40041;x
40042;Head of State;カルロス・M・ラレア;46;SC;Insignificant Layman;High;M40042;x
40043;Head of State;ヒルベルト・エンリケス・ガリョ;37;PA;Resigned Generalissimo;High;M40008;x
40044;Head of State;マヌエル・ボレロ・ゴンサレス;38;PA;Stern Imperialist;High;M40044;x
40045;Head of State;フリオ・モレノ・ペナエレーラ;40;PA;Autocratic Charmer;High;M40045;x
40046;Head of State;ベニグノ・アンドラーデ・フロレス;41;PA;Resigned Generalissimo;High;M40007;x
40047;Head of State;フリオ・サレム・ガリェゴス;44;SD;Resigned Generalissimo;High;M40047;x
40048;Head of State;カルロス・マンチェノ・カハス;47;PA;Pig-headed Isolationist;High;M40048;x
40049;Head of Government;グスタボ・ベセラ・パス;37;LWR;Ambitious Union Boss;High;M40021;x
40050;Head of Government;エンリケ・ヒル・ヒルベルト;40;LWR;Political Protege;High;M40023;x
40051;Head of Government;ホセ・マリア・ベラスコ・イバラ;41;SD;Ambitious Union Boss;High;M40033;x
40052;Head of Government;カミロ・ポンセ・エンリケス;47;SD;Corporate Suit;High;M40034;x
40053;Head of Government;アウレリオ・モスケラ・ナルバエス;38;SL;Backroom Backstabber;High;M40006;x
40054;Head of Government;アンドレス・デ・コルドバ・ニエト;39;SL;Happy Amateur;High;M40036;x
40055;Head of Government;アントニオ・ポンス・カンプサノ;44;SL;Naive Optimist;High;M40037;x
40056;Head of Government;カルロス・アロセメナ・トーラ;47;SL;old airmarshal;High;M40038;x
40057;Head of Government;ファン・デ・ディアス・メラ;37;SC;Corporate Suit;High;M40015;x
40058;Head of Government;カルロス・アロヨ・デル・リオ;41;SC;Flamboyant Tough Guy;High;M40040;x
40059;Head of Government;イシドロ・アヨラ・クエバ;44;SC;Political Protege;High;M40041;x
40060;Head of Government;カルロス・M・ラレア;46;SC;Naive Optimist;High;M40042;x
40061;Head of Government;ヒルベルト・エンリケス・ガリョ;37;PA;Old General;High;M40008;x
40062;Head of Government;マヌエル・ボレロ・ゴンサレス;38;PA;Political Protege;High;M40044;x
40063;Head of Government;フリオ・モレノ・ペナエレーラ;40;PA;Old Admiral;High;M40045;x
40064;Head of Government;ベニグノ・アンドラーデ・フロレス;41;PA;Old General;High;M40007;x
40065;Head of Government;フリオ・サレム・ガリェゴス;44;SD;Old General;High;M40047;x
40066;Head of Government;カルロス・マンチェノ・カハス;47;PA;Smiling Oilman;High;M40048;x
40067;Foreign Minister;エンリケ・ヒル・ヒルベルト;37;LWR;Great Compromiser;Medium;M40023;x
40068;Foreign Minister;ホセ・マリア・ベラスコ・イバラ;40;SD;Apologetic Clerk;Medium;M40068;x
40069;Foreign Minister;カミロ・ポンセ・エンリケス;44;SD;Iron Fisted Brute;High;M40034;x
40070;Foreign Minister;ファン・ビセンテ・トルヒリョ;45;SD;The Cloak N Dagger Schemer;High;M40070;x
40071;Foreign Minister;グスタボ・ベセラ・パス;47;LWR;Ideological Crusader;Very Low;M40021;x
40072;Foreign Minister;ホセ・ベニテス・アパラシオ;39;SL;Iron Fisted Brute;Medium;M40072;x
40074;Foreign Minister;ミケル・アンドラモンテ;40;SL;Apologetic Clerk;Medium;M40074;x
40075;Foreign Minister;アントニオ・ポンス・カンプサノ;47;SL;The Cloak N Dagger Schemer;Medium;M40037;x
40077;Foreign Minister;ラファエル・バスコネス;41;SC;Iron Fisted Brute;Medium;M40077;x
40078;Foreign Minister;リカルド・オレスポ・オルドネス;42;SC;Great Compromiser;Medium;M40078;x
40079;Foreign Minister;フランシスコ・グアルデラス・ペレス;43;SC;Ideological Crusader;Medium;M40079;x
