EQA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
535001;Head of State;リシャール・ブリュノ;36;SL;Benevolent Gentleman;High;M534003;x
535002;Head of Government;バルテルミ・ボガンダ;36;SL;Naive Optimist;High;M535002;x
535003;Foreign Minister;マクス・ド・マッソン・ド・サン＝フェリクス;36;SL;Apologetic Clerk;High;M535003;x
535004;Minister of Armament;アンドレ・ラトリーユ;36;SL;Theoretical Scientist;Medium;M533024;x
535005;Minister of Security;エミール・ポソ;36;SL;Efficient Sociopath;Medium;M535005;x
535006;Head of Military Intelligence;ジャン・V・L・J・シャルヴェ;36;SL;Industrial Specialist;Medium;M535006;x
535007;Chief of Staff;ピエール・ド・サン＝マール;36;SL;School of Fire Support;Medium;M535007;x
535008;Chief of Army;ピエール・ド・サン＝マール;36;SL;Armoured Spearhead Doctrine;Medium;M535007;x
535009;Chief of Navy;アンリ・ソート;36;SL;Open Seas Doctrine;Medium;M535009;x
535010;Chief of Air Force;ジャム・ドニ;36;SL;Air Superiority Doctrine;Medium;M535010;x
535011;Head of State;マクス・ド・マッソン・ド・サン＝フェリクス;36;SL;Powerhungry Demagogue;High;M535003;x
535012;Head of State;ピエール・ド・サン＝マール;39;SL;Resigned Generalissimo;High;M535007;x
535013;Head of State;アンドレ・ラトリーユ;42;SL;Stern Imperialist;High;M533024;x
535014;Head of State;アンリ・ソート;42;SL;Autocratic Charmer;High;M535009;x
535015;Head of State;ジャン・V・L・J・シャルヴェ;46;SL;Autocratic Charmer;High;M535006;x
535016;Head of State;ダヴィッド・ダコ;36;SC;Barking Buffoon;High;M535016;x
535017;Head of Government;ジャン・ベベル・ボカサ;36;SC;Old General;High;M535017;x
535018;Foreign Minister;ポール・アペール;42;SL;General Staffer;High;M535018;x
535019;Foreign Minister;マルセル・ヴォミテンデ;36;SC;The Cloak N Dagger Schemer;High;M535019;x
535020;Minister of Armament;エメ・ルパーク;42;SL;Administrative Genius;Medium;M535020;x
535021;Minister of Armament;マルセルス・ブリアンデ;36;SC;Resource Industrialist;Medium;M535021;x
535022;Minister of Security;フェリクス・ルクレール;41;SL;Silent Lawyer;Medium;M535022;x
535023;Minister of Security;アルベール・イドホウ;36;SC;Back Stabber;Medium;M535023;x
535024;Head of Military Intelligence;エドモン・マジャンディー;43;SL;Logistics Specialist;Medium;M535024;x
535025;Head of Military Intelligence;ポール・アペール;36;SC;Political Specialist;Medium;M535018;x
535026;Chief of Staff;ドミニク・コセヨ;36;SC;School of Defence;Medium;M535026;x
535027;Chief of Army;ジャン・ベベル・ボカサ;36;SC;Guns and Butter Doctrine;Medium;M535017;x
535028;Chief of Navy;イレット・マンガール;36;SC;Base Control Doctrine;Medium;M535028;x
535029;Chief of Air Force;エルンスト・プリュヴォスト;42;SL;Army Aviation Doctrine;Medium;M535029;x
535030;Chief of Air Force;エマニュエル・バジャンドル;36;SC;Naval Aviation Doctrine;Medium;M535030;x
