EST;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
26001;Head of State;コンスタンティン・パッツ;36;PA;Barking Buffoon;High;M26001;x
26002;Head of Government;コンスタンティン・パッツ;36;PA;Happy Amateur;High;M26001;x
26003;Foreign Minister;ユリウス・セリャマ;36;PA;The Cloak N Dagger Schemer;Medium;M26003;x
26004;Minister of Armament;カール・セルター;36;PA;Administrative Genius;Medium;M26004;x
26005;Minister of Security;カレル・エンパル;36;PA;Crime Fighter;Medium;M26005;x
26006;Head of Military Intelligence;カレル・エンパル;36;PA;Technical Specialist;Medium;M26005;x
26007;Chief of Staff;ニコライ・レエク;36;PA;School of Defence;Medium;M26007;x
26008;Chief of Army;ヨハン・ライドネル;36;PA;Static Defence Doctrine;Medium;M26008;x
26009;Chief of Navy;ヴォルデマール・メレ;36;PA;Open Seas Doctrine;Medium;M26009;x
26010;Chief of Air Force;リヒャルト・トンベルク;36;PA;Army Aviation Doctrine;Medium;M26010;x
26031;Head of State;アウグスト・レイ;36;ML;Popular Figurehead;High;M26031;x
26032;Head of State;ユーリー・ウルオツ;40;ML;Die-hard Reformer;High;M26032;x
26034;Head of State;ヤルマル・メイ;36;FA;Insignificant Layman;High;M26011;x
26035;Head of State;カール・シギスムント・リッツマン;41;NS;Resigned Generalissimo;High;M26035;x
26036;Head of State;ヨハネス・ヴァレス＝バルバルセ;36;ST;Powerhungry Demagogue;High;M26021;x
26037;Head of Government;ユーリー・ウルオツ;36;ML;Smiling Oilman;High;M26032;x
26038;Head of Government;オットー・ティエフ;40;ML;Happy Amateur;High;M26038;x
26039;Head of Government;カレル・リーダク;44;ML;Political Protege;High;M26039;x
26041;Head of Government;カレル・エンパル;38;PA;Ambitious Union Boss;High;M26005;x
26042;Head of Government;ヤルマル・メイ;36;NS;Flamboyant Tough Guy;High;M26011;x
26043;Head of Government;ヨハネス・ヴァレス＝バルバルセ;36;ST;Silent Workhorse;High;M26021;x
