ETH;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
65001;Head of State;ハイレ・セラシエ1世;36;PA;Lost Emperor;High;M65001;x
65002;Head of Government;ベドジロンデ・テクレ・ハワリアテ;36;PA;Happy Amateur;High;M65002;x
65003;Foreign Minister;エローイ・ウォルデ・サラシェ;36;PA;General Staffer;Very High;M65003;x
65004;Minister of Armament;エローイ・ウォルデ・サラシェ;36;PA;Military Entrepreneur;Very High;M65003;x
65005;Minister of Security;ベドジロンデ・テクレ・ハワリアテ;36;PA;Crime Fighter;Very High;M65002;x
65006;Head of Military Intelligence;ハイレ・セラシエ1世;36;PA;Logistics Specialist;Very High;M65001;x
65007;Chief of Staff;ラス・ムルグエタ;36;PA;School of Defence;Very High;M65007;x
65008;Chief of Army;デスタ・ダムテウ;36;PA;Guns and Butter Doctrine;Very High;M65008;x
65009;Chief of Navy;ラス・セヤム;36;PA;Indirect Approach Doctrine;Very High;M65009;x
65010;Chief of Air Force;ジョン・ロビンソン;36;PA;Vertical Envelopment Doctrine;Medium;M65010;x
65032;Head of State;リジ・ヨハネス;36;FA;Insignificant Layman;High;M65011;x
65033;Head of State;ヴィットリオ・エマヌエーレ3世;39;FA;Ruthless Powermonger;High;M65033;x
65034;Head of State;ラス・イムル・ハイレ・サラシェ;36;SC;Benevolent Gentleman;High;M65021;x
65036;Head of Government;マコンネン・エンデルカチュー;39;PA;Political Protege;High;M65036;x
65037;Head of Government;ハイレ・サラシェ・ガグサ;36;FA;Naive Optimist;High;M65012;x
65038;Head of Government;ラス・ガタチュ;39;FA;Old General;High;M65014;x
65039;Head of Government;ラス・イムル・ハイレ・サラシェ;36;SC;Corporate Suit;High;M65021;x
65040;Head of Government;ブラタ・ザウデ・ベライネ;41;SC;Silent Workhorse;High;M65024;x
65042;Foreign Minister;マコンネン・エンデルカチュー;41;PA;Great Compromiser;High;M65036;x
65043;Foreign Minister;アクリル・ハブテウォルド;43;PA;Biased Intellectual;Very High;M65043;x
65044;Foreign Minister;メレド・アズマッチ・アスファ・ウォセン;45;PA;The Cloak N Dagger Schemer;High;M65044;x
65045;Foreign Minister;ラス・ハイル・テクレ・ハイマノット;36;FA;Iron Fisted Brute;Medium;M65013;x
65046;Foreign Minister;ラス・ケベデ;39;FA;General Staffer;Medium;M65017;x
