EUS;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
580001;Head of State;ホセ・アントニオ・アギーレ;36;SC;Benevolent Gentleman;Very High;M580001;x
580002;Head of Government;ホセ・アントニオ・アギーレ;36;SC;Flamboyant Tough Guy;Very High;M580001;x
580003;Foreign Minister;ホセ・マリア・ラサルテ;36;SC;Ideological Crusader;High;M580003;x
580004;Minister of Armament;エリオドロ・デ・ラ・トーレ;36;SC;laissez-faire capitalist;High;M580004;x
580005;Minister of Security;ホセ・マリア・デ・レイゾーラ;36;SC;Silent Lawyer;High;M580005;x
580006;Head of Military Intelligence;ユアン・アユリアグェラ;36;SC;Logistics Specialist;High;M580006;x
580007;Chief of Staff;ホセ・アントニオ・アギーレ;36;SC;School of Defence;Very High;M580001;x
580008;Chief of Army;サトゥルニノ・ベンゴア;36;SC;Static Defence Doctrine;High;M580008;x
580009;Chief of Navy;ホアキン・デ・エジア;36;SC;Base Control Doctrine;High;M580009;x
580010;Chief of Air Force;セロ;36;SC;Naval Aviation Doctrine;High;M580010;x
580011;Head of State;ホセ・マリア・デ・レイゾーラ;36;SC;Popular Figurehead;High;M580005;x
580012;Head of Government;ホセ・マリア・デ・レイゾーラ;36;SC;Naive Optimist;High;M580005;x
580013;Foreign Minister;フランシスコ・ハヴィエル・デ・ランダブル;36;SC;Great Compromiser;High;M580013;x
580014;Minister of Armament;フェルミン・サルサ;36;SC;Resource Industrialist;High;unknown;x
580015;Minister of Security;マヌエル・デ・イルージョ;36;SC;Efficient Sociopath;Very High;M580015;x
580016;Head of Military Intelligence;マヌエル・デ・イルージョ;36;SC;Dismal Enigma;High;M580015;x
580017;Chief of Staff;ホセ・マリア・デ・レイゾーラ;36;SC;School of Psychology;High;M580005;x
580018;Chief of Army;アントニオ・オルテガ;36;SC;Elastic Defence Doctrine;High;M580018;x
580019;Chief of Navy;ホセ・マリア・ブルガナ;36;SC;Open Seas Doctrine;High;M580019;x
580020;Chief of Air Force;ユアン・アントニオ・イバレーチェ;36;ML;Carpet Bombing Doctrine;High;M580020;x
580021;Head of State;アナクレート・オルチュータ;36;LWR;Die-hard Reformer;High;M580021;x
580022;Head of State;フスト・ギレーテ;36;LWR;Barking Buffoon;Very High;M580022;x
