FIN;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
29001;Head of State;ペール・E・スヴェンヒュー;36;SC;Pig-headed Isolationist;High;M29001;x
29002;Head of Government;トイヴォ・M・キヴィマキ;36;SC;Silent Workhorse;High;M29002;x
29003;Foreign Minister;アンティ・V・ハクツェル;36;SC;Biased Intellectual;Medium;M29003;x
29004;Minister of Armament;アービ・A・オクサラ;36;SC;Resource Industrialist;Medium;M29004;x
29005;Minister of Security;ユーリア・W・プハッカ;36;SC;Silent Lawyer;Medium;M29005;x
29006;Head of Military Intelligence;エスコ・リエキ;36;SC;Dismal Enigma;High;M29006;x
29007;Chief of Staff;K・L・オーシュ;36;SC;School of Manoeuvre;High;M29007;x
29008;Chief of Army;ユーゴ・オステルマン;36;SC;Elastic Defence Doctrine;Medium;M29008;x
29009;Chief of Navy;ヴァイノ・ヴァルヴ;36;SC;Open Seas Doctrine;High;M29009;x
29010;Chief of Air Force;ヤール・ルントクヴィスト;36;SC;Naval Aviation Doctrine;Very High;M29010;x
29034;Head of State;カール・G・マンネルヘイム;44;SC;Resigned Generalissimo;High;M29034;x
29035;Head of State;ユホ・K・パーシキヴィ;45;SD;Autocratic Charmer;High;M29035;x
29036;Head of State;ペール・E・スヴェンヒュー;36;ML;Pig-headed Isolationist;High;M29001;x
29039;Head of State;リスト・リュティ;40;ML;Weary Stiffneck;High;M29033;x
29043;Head of State;キョスティ・カッリオ;37;SC;Stern Imperialist;High;M29032;x
29044;Head of State;リスト・リュティ;39;SC;Weary Stiffneck;High;M29033;x
29045;Head of State;リスト・リュティ;43;PA;Weary Stiffneck;High;M29033;x
29047;Head of State;ユホ・K・パーシキヴィ;46;SC;Autocratic Charmer;High;M29035;x
29048;Head of State;ブルーノ・サルミアラ;36;FA;Ruthless Powermonger;High;M29011;x
29049;Head of State;オットー・ヴィレ・クーシネン;36;ST;Ruthless Powermonger;High;M29021;x
29050;Head of Government;ヴァイノ・キヴィサロ;36;SD;Naive Optimist;High;M29050;x
29051;Head of Government;アーホ・K・ケッコネン;43;ML;Backroom Backstabber;High;M29051;x
29052;Head of Government;マウノ・ペカーラ;45;SD;Political Protege;High;M29052;x
29053;Head of Government;キョスティ・カッリオ;36;ML;Corporate Suit;High;M29032;x
29054;Head of Government;アイモ・カヤンデル;37;ML;Happy Amateur;High;M29054;x
29055;Head of Government;ヤール・ルントクヴィスト;43;ML;Smiling Oilman;High;M29010;x
29056;Head of Government;ユーリア・K・レイノ;46;ML;Naive Optimist;High;M29025;x
29058;Head of Government;リスト・リュティ;39;SC;Backroom Backstabber;High;M29033;x
29059;Head of Government;ヨハン・W・ランゲル;41;SC;Flamboyant Tough Guy;High;M29059;x
29060;Head of Government;アンティ・V・ハクツェル;44;SC;Silent Workhorse;High;M29003;x
29061;Head of Government;ユホ・K・パーシキヴィ;44;SC;Flamboyant Tough Guy;High;M29035;x
29062;Head of Government;キョスティ・ヤーヴィネン;46;SC;Silent Workhorse;High;M29062;x
29063;Head of Government;エドウィン・H・リンコミエス;43;SC;Naive Optimist;High;M29063;x
29064;Head of Government;アーホ・J・カストレン;44;SC;Corporate Suit;High;M29064;x
29065;Head of Government;ヴィートリ・コソラ;36;FA;Silent Workhorse;High;M29012;x
29066;Head of Government;オットー・ヴィレ・クーシネン;39;ST;Flamboyant Tough Guy;High;M29021;x
29067;Foreign Minister;アンセルミ・ピトカシルタ;36;SD;Apologetic Clerk;Medium;M29067;x
29068;Foreign Minister;ヴァイノ・A・ターナー;39;SC;Ideological Crusader;Medium;M29068;x
29069;Foreign Minister;ヴァイノ・キヴィサロ;43;SD;Iron Fisted Brute;Very High;M29050;x
29071;Foreign Minister;エイノ・R・ホルスティ;36;ML;Great Compromiser;Medium;M29071;x
