FLA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
510001;Head of State;スタフ・デ・クレルク;36;NS;Powerhungry Demagogue;NA;M15033;x
510002;Head of Government;スタフ・デ・クレルク;36;NS;Flamboyant Tough Guy;NA;M15033;x
510003;Foreign Minister;スタフ・デ・クレルク;36;NS;Biased Intellectual;Very High;M15033;x
510004;Minister of Armament;ヘンドリク・デ・マン;36;PA;Administrative Genius;Very High;M15056;x
510005;Minister of Security;ヤン・ティンマーマンス;36;NS;Man of the People;Very High;M15117;x
510006;Head of Military Intelligence;レイモント・トレナーレ;36;NS;Dismal Enigma;Very High;M15082;x
510007;Chief of Staff;イェフ・フランソワ;36;NS;School of Mass Combat;Very High;M15015;x
510008;Chief of Army;イェフ・フランソワ;36;NS;Decisive Battle Doctrine;Very High;M15015;x
510009;Chief of Navy;エルンスト・ユンカーマン;36;NS;Open Seas Doctrine;Very High;M510009;x
510010;Chief of Air Force;オットフリート・サトラー;36;NS;Air Superiority Doctrine;Very High;M510010;x
510011;Chief of Air Force;エーヘルト・レーダー;40;NS;Vertical Envelopment Doctrine;Very High;M510061;x
510012;Chief of Air Force;コンラート・スヘログ;42;NS;Army Aviation Doctrine;Very High;L510007;x
510013;Chief of Army;エーヘルト・レーダー;40;NS;Elastic Defence Doctrine;Very High;M510061;x
510014;Chief of Army;G・H・フォン・クラウスハール;40;NS;Guns and Butter Doctrine;Very High;M510084;x
510015;Chief of Army;ゴットロープ・ベルガー;40;NS;Guns and Butter Doctrine;Very High;M510027;x
510016;Chief of Army;ハンス＝アルベルト・フォン・レトゥ・フォルベック;40;NS;Decisive Battle Doctrine;Very High;M510088;x
510017;Chief of Army;コンラート・スヘログ;42;NS;Armoured Spearhead Doctrine;Very High;L510007;x
510018;Chief of Army;ルシアン・レイケボーア;41;NS;Static Defence Doctrine;Very High;M510065;x
510019;Chief of Army;ラフ・ヴァン・フルゼ;42;NS;Guns and Butter Doctrine;Very High;M510078;x
510021;Chief of Army;レネ・ラグラウ;36;NS;Decisive Battle Doctrine;Very High;M15017;x
510022;Chief of Navy;エーヘルト・レーダー;40;NS;Base Control Doctrine;Very High;M510061;x
510024;Chief of Staff;エーヘルト・レーダー;40;NS;School of Manoeuvre;Very High;M510061;x
510025;Chief of Staff;G・H・フォン・クラウスハール;40;NS;School of Fire Support;Very High;M510084;x
510026;Chief of Staff;ゴットロープ・ベルガー;40;NS;School of Psychology;Very High;M510027;x
510027;Chief of Staff;ルシアン・レイケボーア;41;NS;School of Defence;Very High;M510065;x
510028;Chief of Staff;ラフ・ヴァン・フルゼ;42;NS;School of Manoeuvre;Very High;M510078;x
510029;Chief of Staff;ロベルト・ヴェルベーレン;40;NS;School of Psychology;Very High;M510081;x
510030;Chief of Staff;セラフ・トリオ;40;NS;School of Fire Support;Very High;M510073;x
510031;Foreign Minister;アウフスト・ボームス博士;36;FA;Biased Intellectual;Very High;M510025;x
510032;Foreign Minister;シリール・ヴェルスハーヴェ;36;FA;Great Compromiser;Very High;M510083;x
510033;Foreign Minister;E・ヴァン・デン・フーヴェル;41;NS;Ideological Crusader;Very High;M510077;x
510034;Foreign Minister;フランス・ダールス;38;FA;Ideological Crusader;Very High;M510035;x
510035;Foreign Minister;ゴットロープ・ベルガー;40;NS;General Staffer;Very High;M510027;x
510036;Foreign Minister;ヘンドリク・J・エリアス;42;FA;Biased Intellectual;Very High;M15039;x
510037;Foreign Minister;イェフ・ヴァン・デ・ウィール;38;NS;Iron Fisted Brute;Very High;M15011;x
510038;Foreign Minister;イェローム・ルーリダン;37;NS;Ideological Crusader;Very High;M510058;x
510039;Foreign Minister;カレル・ランブレヒツ;39;NS;Great Compromiser;Very High;M510049;x
510040;Foreign Minister;オーディール・ダーム;40;NS;The Cloak N Dagger Schemer;Very High;M510037;x
510041;Foreign Minister;ポル・レ・ロイ;42;FA;Biased Intellectual;Very High;M510054;x
510042;Foreign Minister;レイモント・スペレールス;38;FA;Biased Intellectual;Very High;M510072;x
