FRA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
2001;Head of State;アルベール・ルブラン;36;SL;Barking Buffoon;High;M2001;x
2002;Head of Government;アルベール・サロー;36;SL;Happy Amateur;High;M2002;x
2003;Foreign Minister;ピエール＝エティエンヌ・フランダン;36;SL;Ideological Crusader;Low;M2003;x
2004;Minister of Armament;ヴァンサン・オリオール;36;SL;Supporter of Devaluation;High;M2004;x
2005;Minister of Security;マルクス・ドルモイ;36;SL;Opposer of the Far Right;Medium;M2005;x
2006;Head of Military Intelligence;ジョセフ・パガノン;36;SL;Political Specialist;Medium;M2006;x
2007;Chief of Staff;モーリス・ガムラン;36;SL;Fortifications Supporter;Very High;M2007;x
2008;Chief of Army;モーリス・ガムラン;36;SL;Static Defense Supporter;Very High;M2007;x
2009;Chief of Navy;フランソワ・ダルラン;36;SL;Open Seas Doctrine;High;M2009;x
2010;Chief of Air Force;ヴィクトル・ドゥナン;36;SL;Carpet Bombing Doctrine;Medium;M2010;x
2239;Minister of Armament;ルイ・ルノー;36;SC;Steel Magnate;Medium;M2239;x
2022;Head of State;ヴァンサン・オリオール;47;SL;Autocratic Charmer;High;M2004;x
2023;Head of State;ダニエル・メイヤー;44;SD;Weary Stiffneck;High;M2023;x
2030;Head of State;モーリス・ソレズ;36;ST;Powerhungry Demagogue;High;M2011;x
2031;Head of State;シャルル・ド・ゴール;40;SC;Asparagus;High;M2027;x
2032;Head of State;パリ伯アンリ;38;PA;Ruthless Powermonger;High;M2032;x
2033;Head of Government;レオン・ブルム;36;SD;Naive Optimist;High;M2033;x
2034;Head of Government;フェリックス・グーアン;40;SD;Smiling Oilman;High;M2034;x
2035;Head of Government;ポール・ラマディエ;47;SD;Ambitious Union Boss;High;M2035;x
2036;Head of Government;カミーユ・ショータン;37;SL;Silent Workhorse;High;M2036;x
2037;Head of Government;エドゥアール・ダラディエ;38;SD;Naive Optimist;High;M2037;x
2038;Head of Government;ポール・レノー;40;SL;Political Protege;High;M2038;x
2039;Head of Government;ジョルジュ・ビドー;46;ML;Old General;High;M2039;x
2040;Head of Government;ピエール・ラヴァル;36;SC;Flamboyant Tough Guy;High;M2040;x
2041;Head of Government;アンドレ・マリー;38;SC;Happy Amateur;High;M2041;x
2042;Head of Government;エドゥアール・ヘリオ;40;SC;Naive Optimist;High;M2042;x
2043;Head of Government;アンリ・クイユ;41;SC;Corporate Suit;High;M2043;x
2044;Head of Government;ジャック・デュクロス;36;ST;Backroom Backstabber;High;M2012;x
2045;Head of Government;マルセル・カチン;38;ST;Silent Workhorse;High;M2017;x
2046;Head of Government;シャルル・ド・ゴール;40;SC;Old General;High;M2027;x
2047;Head of Government;ジャン・ド・ラトル・ド・タシニ;38;SC;Old General;High;M2047;x
2049;Foreign Minister;ジョセフ・ポール・ボンクール;38;SD;Ideological Crusader;Medium;M2049;x
2050;Foreign Minister;ピエール・コメルト;41;SD;The Cloak N Dagger Schemer;Medium;M2050;x
2051;Foreign Minister;レオン・ブルム;47;SD;Apologetic Clerk;Very High;M2033;x
2052;Foreign Minister;イヴォン・デルボス;36;SL;Supporter of Friendly Relations;Medium;M2048;x
2053;Foreign Minister;ジョルジュ・ボネ;38;SL;Iron Fisted Brute;Medium;M2053;x
2054;Foreign Minister;エドゥアール・ダラディエ;39;SD;Great Compromiser;High;M2037;x
2055;Foreign Minister;ポール・レノー;40;SL;Ideological Crusader;Undying;M2038;x
2056;Foreign Minister;ジョルジュ・ビドー;41;ML;General Staffer;High;M2039;x
2057;Foreign Minister;ピエール・ラヴァル;36;SC;Great Compromiser;Undying;M2040;x
2058;Foreign Minister;アンリ・クイユ;41;SC;Iron Fisted Brute;High;M2043;x
2059;Foreign Minister;レネ・シャロン;44;SC;Apologetic Clerk;Medium;M2059;x
2060;Foreign Minister;ピエール・エンリ・ワティエル;47;SC;Biased Intellectual;Medium;M2060;x
2061;Foreign Minister;ルネ・ルシアン・マシグリ;43;SC;The Cloak N Dagger Schemer;High;M2061;x
2062;Foreign Minister;マルセル・カチン;36;ST;Biased Intellectual;Very High;M2017;x
2063;Foreign Minister;マルセル・ギトン;40;ST;Apologetic Clerk;Medium;M2020;x
2064;Foreign Minister;ロラン・カセノヴ;43;ST;Great Compromiser;Medium;M2064;x
2065;Foreign Minister;ジャック・デュクロス;47;ST;Ideological Crusader;Very High;M2012;x
2066;Foreign Minister;モーリス・ブルジェ＝マノーリー;38;PA;General Staffer;High;M2066;x
2068;Minister of Armament;エドゥアール・ダラディエ;37;SD;Laissez-Faire Capitalist;Low;M2037;x
2069;Minister of Armament;ジャン・ルイ・バルソー;38;SD;Military Entrepreneur;Medium;M2069;x
2070;Minister of Armament;レオン・ジューオー;41;SD;Strategic Air Proponent;Medium;M2070;x
2071;Minister of Armament;ギー・モレ;46;SD;Keynesian Economy;Medium;M2071;x
2072;Minister of Armament;アンドレ・ル・トワクエ;47;SD;Resource Industrialist;Medium;M2072;x
2073;Minister of Armament;ラウル・ドードリー;36;SL;Theoretical Scientist;High;M2073;x
2074;Minister of Armament;ルイ・ロウシャー;37;SL;Air to Ground Proponent;Medium;M2074;x
2075;Minister of Armament;アルベール・サロー;38;SL;Balanced Budget Economy;Low;M2002;x
2076;Minister of Armament;マルセル・ホデン;39;SL;Air Superiority Proponent;Medium;M2076;x
2077;Minister of Armament;シャルル・ド・ゴール;40;SC;Tank Proponent;High;M2027;x
2078;Minister of Armament;ジョルジュ・ボネ;41;SL;Opposer to Military Spending;Medium;M2053;x
2079;Minister of Armament;ジャン・ファブリ;36;SC;Resource Industrialist;Medium;M2079;x
2080;Minister of Armament;ジョセフ・ルイ・アヴェノル;37;SC;Battle Fleet Proponent;Medium;M2080;x
2081;Minister of Armament;マリー・エミル・ファヨール;38;SC;Infantry Proponent;Medium;M2081;x
2082;Minister of Armament;エドゥアール・ヘリオ;39;ML;Laissez-Faire Capitalist;Medium;M2042;x
2083;Minister of Armament;ポール・マルシャンド;41;SC;Administrative Genius;Medium;M2083;x
2084;Minister of Armament;アンドレ・マリー;41;ML;Air Superiority Proponent;Medium;M2041;x
2085;Minister of Armament;アンリ・クイユ;42;SC;Air to Ground Proponent;High;M2043;x
2086;Minister of Armament;ルイ・アルマンド;44;SC;Tank Proponent;Medium;M2086;x
2087;Minister of Armament;ジュール・ロマイン;47;SC;Submarine Proponent;Medium;M2087;x
2088;Minister of Armament;ロベール・シューマン;40;ML;Administrative Genius;Medium;M2088;x
2089;Minister of Armament;エドモンド・ミシェレ;44;SC;Laissez-Faire Capitalist;Medium;M2089;x
2090;Minister of Armament;ルネ・プレヴァン;45;ML;Resource Industrialist;High;M2090;x
2091;Minister of Armament;ジョルジュ・レヴィ;36;ST;Administrative Genius;Medium;M2014;x
2092;Minister of Armament;ロラン・カセノヴ;38;ST;Theoretical Scientist;Medium;M2064;x
2093;Minister of Armament;ジャン・ジェローム;40;ST;Laissez-Faire Capitalist;Medium;M2093;x
2094;Minister of Armament;ベノア・フラション;42;ST;Battle Fleet Proponent;Medium;M2094;x
2095;Minister of Armament;オーグスト・ルクール;44;ST;Military Entrepreneur;Medium;M2095;x
2096;Minister of Armament;ダニエル・ルノー;47;ST;Theoretical Scientist;Medium;M2096;x
2097;Minister of Armament;ジャック・デ・ギレボン;38;PA;Resource Industrialist;Medium;M2097;x
2098;Minister of Security;ピエール・アウグステ・シャルディニー;36;SD;Prince of Terror;Low;M2098;x
2099;Minister of Security;ジュリアン・ルシャール;37;SD;Efficient Sociopath;Medium;M2099;x
2100;Minister of Security;アドリエン・ティクシエ;38;SD;Compassionate Gentleman;Very High;M2100;x
2101;Minister of Security;アンリ・ボネ;38;SD;Back Stabber;Medium;M2101;x
2102;Minister of Security;ポール・ラマディエ;41;SD;Crime Fighter;High;M2035;x
2103;Minister of Security;アルベール・ルブラン;46;SD;Silent Lawyer;Medium;M2001;x
2104;Minister of Security;ジュール・モッホ;47;SL;Man of the People;High;M2104;x
2105;Minister of Security;ピエール・ペネ;36;SL;Silent Lawyer;Medium;M2105;x
2106;Minister of Security;アーサー・フォンテーン;37;SL;Efficient Sociopath;Medium;M2106;x
2107;Minister of Security;アンリ・ロイ;38;SL;Man of the People;Medium;M2107;x
2108;Minister of Security;ルイ＝ジョルジュ・マンデル;40;SL;Crime Fighter;Low;M2108;x
2109;Minister of Security;ジャン・マイレ;47;SL;Back Stabber;High;M2109;x
2110;Minister of Security;ジョセフ・パガノン;36;SC;Silent Lawyer;Medium;M2006;x
2111;Minister of Security;ガストン・アレクサンドレ・クローゼル;38;SC;Man of the People;High;M2111;x
2112;Minister of Security;レネ・ニコラウ;41;SC;Compassionate Gentleman;High;M2112;x
2113;Minister of Security;アンドレ・マリー;47;ML;Prince of Terror;Medium;M2041;x
2114;Minister of Security;カミーユ・ショータン;40;SC;Man of the People;Medium;M2036;x
2115;Minister of Security;ロベール・シューマン;44;ML;Crime Fighter;Medium;M2088;x
2116;Minister of Security;アンドレ・ル・トワクエ;45;SC;Compassionate Gentleman;Medium;M2072;x
2117;Minister of Security;ルシエン・ミコル;36;ST;Crime Fighter;High;M2015;x
2118;Minister of Security;クラウディネ・ショマット;37;ST;Efficient Sociopath;Medium;M2118;x
2119;Minister of Security;アンリ・グールドー;38;ST;Silent Lawyer;High;M2119;x
2120;Minister of Security;ジャン＝マリー・クラマム;40;ST;Man of the People;Medium;M2120;x
