GEO;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
519001;Head of State;カンディド・チャルクヴィアニ;36;ST;Barking Buffoon;High;M519001;x
519002;Head of Government;ラヴレンティ・ベリヤ;36;ST;Flamboyant Tough Guy;High;M519002;x
519003;Foreign Minister;ブドゥ・ムディヴァニ;36;ST;The Cloak N Dagger Schemer;High;M519003;x
519004;Minister of Armament;ゲオルギ・エリアヴァ;36;ST;Theoretical Scientist;Medium;M519004;x
519005;Minister of Security;セルゴ・オルゾニキゼ;36;ST;Prince of Terror;Medium;M519005;x
519006;Head of Military Intelligence;ニコラ・ナカシゼ;36;ST;Industrial Specialist;Medium;M519006;x
519007;Chief of Staff;ラヴレンティ・ベリヤ;36;ST;School of Psychology;Medium;M519007;x
519008;Chief of Army;イゴール・D・チェルニアコフスキ;36;ST;Elastic Defence Doctrine;Medium;M519008;x
519009;Chief of Navy;アレクセイ・ブルシロフ;36;ST;Open Seas Doctrine;Medium;M519009;x
519010;Chief of Air Force;マミア・オラケラシュヴィル;36;ST;Naval Aviation Doctrine;Medium;M519010;x
519011;Head of State;ラファエル・イヴァニツキ＝インギロ;36;SD;Pig-headed Isolationist;High;M519011;x
519012;Head of State;マルガレータ・アブカジ1世;36;SL;Popular Figurehead;High;M519012;x
519013;Head of State;イラクリー・バグラチオン・ド・ムカニ4世;36;SC;Autocratic Charmer;High;M519013;x
519014;Head of State;アンドリー・チヴァジェゼ2世;36;NS;Stern Imperialist;High;M519014;x
519015;Head of Government;ミケイル・ジャヴァキシュヴィリ;36;SD;Naive Optimist;High;M519015;x
519016;Head of Government;イヴァネ・チチシュヴィリ博士;36;SL;Backroom Backstabber;High;M519016;x
519017;Head of Government;イヴァネ・ヤヴァキシュヴィリ;36;SC;Silent Workhorse;High;M519017;x
519018;Head of Government;ミハイル・フォン・ツェレテリ;36;NS;Happy Amateur;High;M519018;x
519019;Foreign Minister;ムクラン・ニニアゼ;36;ST;Iron Fisted Brute;High;M519019;x
519020;Foreign Minister;フィリップ・マカラゼ;36;ST;Ideological Crusader;High;M519020;x
519021;Foreign Minister;シャルヴァ・アミレイビ;36;SD;Apologetic Clerk;High;M519021;x
519022;Foreign Minister;アボット・エフレム・コルセリゼ;36;SL;Apologetic Clerk;High;M519022;x
519023;Foreign Minister;ヴァランタン・S・オスチェポフ;36;SL;Biased Intellectual;High;M519023;x
519024;Foreign Minister;パトリアーチ・カリストラーテ・チンタゼ;36;SC;Iron Fisted Brute;High;M519024;x
519025;Foreign Minister;アレクサンダー・ニクラゼ;36;NS;Great Compromiser;High;M519025;x
519026;Minister of Armament;バチュア・ゼズヴァスゼ;36;ST;Resource Industrialist;Medium;M519026;x
519027;Minister of Armament;ベソ・ロミナゼ;36;SD;Theoretical Scientist;Medium;M519027;x
519028;Minister of Armament;テドレ・サコイア;36;SD;Resource Industrialist;Medium;M519028;x
519029;Minister of Armament;ゲオルゲ・グヴァザヴァ;36;SL;laissez-faire capitalist;Medium;M519029;x
519030;Minister of Armament;アヴェル・エヌキゼ;36;SC;Air Superiority Proponent;High;M519030;x
519031;Minister of Armament;ヴァシル・G・ツェレテリ;36;SC;Air to Ground Proponent;High;M519031;x
519032;Minister of Armament;ラヴァズ・ガヴァシュヴィリ;36;NS;Infantry Proponent;High;M519032;x
519033;Minister of Security;セルゲイ・カフタラゼ;36;ST;Efficient Sociopath;Medium;M519033;x
519034;Minister of Security;スタルヴァ・エリアヴィ;36;SD;Prince of Terror;Medium;M519034;x
519035;Minister of Security;ノエ・ヨルダニア;36;SL;Efficient Sociopath;Medium;M519035;x
519036;Minister of Security;メフメド・アバシゼ;36;SC;Back Stabber;Medium;M519036;x
519037;Minister of Security;アリ・ミタエフ;36;SC;Crime Fighter;Medium;M519037;x
519038;Minister of Security;エクフティメ・タカイシヴィリ;36;NS;Crime Fighter;Medium;M519038;x
519039;Head of Military Intelligence;ギロギ・ストゥルア;36;ST;Logistics Specialist;Medium;M519039;x
519040;Head of Military Intelligence;ゲオルギ・エリアヴァ;36;SD;Technical Specialist;Medium;M519004;x
519041;Head of Military Intelligence;ニコロス・カルチヴァゼ;36;SD;Political Specialist;Medium;M519041;x
519042;Head of Military Intelligence;ミハエル・アクメテリ;36;SL;Logistics Specialist;Medium;M519042;x
519043;Head of Military Intelligence;マルコズ・ツグシ;36;SC;Dismal Enigma;Medium;M519043;x
519044;Head of Military Intelligence;メラブ・コスタヴァ;36;NS;Industrial Specialist;Medium;M519044;x
519045;Chief of Staff;セクニア・ウチャシュヴィリ;36;ST;School of Defence;Medium;M519045;x
519046;Chief of Staff;カクツァ・コロカシュヴィリ;36;SD;School of Manoeuvre;Medium;M519046;x
519047;Chief of Staff;シャルヴァ・カルミゼ;36;SL;School of Mass Combat;Medium;M519047;x
519048;Chief of Staff;コンスタンティヌ・アブカジ;36;SC;School of Fire Support;Medium;M519048;x
519049;Chief of Staff;ガグカ・ド・バグラチオン;36;NS;School of Manoeuvre;Medium;M519049;x
519050;Chief of Army;アレクセイ・ブルシロフ;36;ST;Static Defence Doctrine;Medium;M519050;x
519051;Chief of Army;レヴァン・ラジカシュヴィリ;36;SD;Decisive Battle Doctrine;Medium;M519051;x
519052;Chief of Army;ワルダン・ツルキゼ;36;SL;Elastic Defence Doctrine;Medium;M519052;x
519053;Chief of Army;ニコ・ニコラゼ;36;SC;Guns and Butter Doctrine;Medium;M519053;x
519054;Chief of Army;シャルヴァ・マグラケリゼ;36;NS;Static Defence Doctrine;Medium;M519054;x
519055;Chief of Navy;ヴァレリアン・バクラゼ;36;ST;Base Control Doctrine;Medium;M519055;x
519056;Chief of Navy;サムソン・ピルツカラヴァ博士;36;SD;Power Projection Doctrine;Medium;M519056;x
519057;Chief of Navy;グリゴル・T・ロバキゼ;36;SL;Open Seas Doctrine;Medium;M519057;x
519058;Chief of Navy;ギグラ・デムナゼ;36;SC;Decisive Naval Battle Doctrine;Medium;M519058;x
519059;Chief of Navy;フランツ・ビウェル;36;NS;Indirect Approach Doctrine;Medium;M519059;x
519060;Chief of Air Force;ジャバ・ヴェプキアゼ;36;ST;Army Aviation Doctrine;Medium;M519060;x
519061;Chief of Air Force;サムソン・ピルツカラヴァ博士;36;SD;Air Superiority Doctrine;Medium;M519056;x
519062;Chief of Air Force;コテ・アンドロニカシュヴィリ;36;SL;Naval Aviation Doctrine;Medium;M519062;x
519063;Chief of Air Force;エーリヒ・フォン・ファルケンハイン;36;SC;Carpet Bombing Doctrine;Medium;M519063;x
519064;Chief of Air Force;エドゥアルド・ムール;36;NS;Air Superiority Doctrine;Medium;M519064;x
