GRE;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
18001;Head of State;ゲオルギオス2世;36;PA;Insignificant Layman;High;M18001;x
18002;Head of Government;コンスタンティノス・デメルチス;36;PA;Naive Optimist;NA;M18002;x
18003;Foreign Minister;コンスタンティノス・デメルチス;36;PA;Biased Intellectual;Very High;M18002;x
18004;Minister of Armament;ゲオルギオス・マントザヴィノス;36;PA;Military Entrepreneur;Medium;M18004;x
18005;Minister of Security;ゲオルギオス・ロゴセティス;36;PA;Crime Fighter;Medium;M18005;x
18006;Head of Military Intelligence;ゲオルギオス・ロゴセティス;36;PA;Dismal Enigma;Medium;M18005;x
18007;Chief of Staff;テオドール・パンガロス;36;PA;School of Defence;Low;M18007;x
18008;Chief of Army;アレクサンドロス・パパゴス;35;PA;Elastic Defence Doctrine;Low;M18008;x
18009;Chief of Navy;アナスタシオ・サケラリオウ;36;PA;Open Seas Doctrine;Medium;M18009;x
18010;Chief of Air Force;エレフテリオス・ヴェネゼロス;36;PA;Army Aviation Doctrine;Medium;M18010;x
18031;Head of State;ゲオルギオス2世;36;SL;Insignificant Layman;High;M18001;x
18032;Head of State;大主教ダマスキノス;41;SL;Barking Buffoon;High;M18032;x
18033;Head of State;パヴロス1世;47;SL;Die-hard Reformer;High;M18033;x
18034;Head of State;ゲオルギオス2世;36;SC;Insignificant Layman;High;M18001;x
18035;Head of State;大主教ダマスキノス;41;SC;Barking Buffoon;High;M18032;x
18036;Head of State;パヴロス1世;47;SC;Die-hard Reformer;High;M18033;x
18037;Head of State;ゲオルギオス2世;36;FA;Insignificant Layman;High;M18001;x
18039;Head of State;大主教ダマスキノス;41;PA;Barking Buffoon;High;M18032;x
18040;Head of State;グリゴリエフ・ムルノフ;41;NS;Weary Stiffneck;High;M18040;x
18041;Head of State;マリオ・ヴェルセリノ;42;NS;Resigned Generalissimo;High;M18041;x
18042;Head of State;ギュンター・アルテンベルグ;43;NS;Autocratic Charmer;High;M18042;x
18043;Head of State;パヴロス1世;47;PA;Die-hard Reformer;High;M18033;x
18044;Head of State;ゲオルギオス・シアントス;36;ST;Popular Figurehead;High;M18021;x
18045;Head of State;ニコス・ザハリアディス;44;ST;Autocratic Charmer;High;M18022;x
18046;Head of Government;テミストクレス・ソフォウリス;36;SL;Flamboyant Tough Guy;High;M18014;x
18047;Head of Government;ゲオルギオス・パパンドレウ;44;SL;Silent Workhorse;High;M18015;x
18048;Head of Government;パナジオリス・ポウリトサス;46;SL;Smiling Oilman;High;M18048;x
18049;Head of Government;イオアニス・メタクサス;36;SC;Old General;High;M18049;x
18050;Head of Government;アレクサンドロス・コリジス;41;SC;Political Protege;High;M18050;x
18051;Head of Government;エマヌエル・ツデロス;41;SC;Happy Amateur;High;M18051;x
18052;Head of Government;ソフォクレス・ヴェニゼロス;44;SC;Naive Optimist;High;M18012;x
18053;Head of Government;コンスタンティノス・ツァルダリス;46;SC;Old General;High;M18053;x
18054;Head of Government;ディミトリオス・マキシモス;47;SC;Political Protege;High;M18054;x
18055;Head of Government;パナジス・ツァルダリス;36;FA;Flamboyant Tough Guy;High;M18055;x
18056;Head of Government;ゲオルギアス・ツォラコグロウ;41;NS;Old General;High;M18056;x
18057;Head of Government;コンスタンティノス・ロゴセトポウロス;42;NS;Corporate Suit;High;M18057;x
18058;Head of Government;イオアニス・ラリス;43;NS;Naive Optimist;High;M18058;x
18059;Head of Government;大主教ダマスキノス;45;PA;Flamboyant Tough Guy;High;M18032;x
18060;Head of Government;ニコラオス・プラスティラス;45;PA;Old General;High;M18060;x
18061;Head of Government;ペトロス・ヴォウルガリス;45;PA;Naive Optimist;High;M18061;x
18062;Head of Government;パナギオティス・カネロプーロス;45;PA;Smiling Oilman;High;M18062;x
18063;Head of Government;ミリティアデス・ポルフィロギンス;36;ST;Ambitious Union Boss;High;M18029;x
18064;Head of Government;ニコス・ザハリアディス;41;ST;Smiling Oilman;High;M18022;x
18065;Head of Government;エヴリピディス・バキルトリス;44;ST;Happy Amateur;High;M18065;x
