GUA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
46001;Head of State;ホルヘ・ウビコ・カスタネダ;36;PA;Pig-headed Isolationist;High;M46001;x
46002;Head of Government;ホルヘ・ウビコ・カスタネダ;36;PA;Silent Workhorse;High;M46001;x
46003;Foreign Minister;アルフレド・スキナー・クレー;36;PA;The Cloak N Dagger Schemer;Medium;M46003;x
46004;Minister of Armament;ギリェルモ・フロレス・アレンダノ;36;PA;Infantry Proponent;Medium;M46004;x
46005;Minister of Security;T・カストロ・ドミンゲス;36;PA;Crooked Kleptocrat;Medium;M46005;x
46006;Head of Military Intelligence;エドゥアルド・ビジャグラン・アリサ;36;PA;Logistics Specialist;Medium;M46006;x
46007;Chief of Staff;フェデリコ・ポンセ・バイデス;36;PA;School of Manoeuvre;Medium;M46007;x
46008;Chief of Army;ホルヘ・ウビコ・カスタネダ;36;PA;Static Defence Doctrine;High;M46001;x
46009;Chief of Navy;トマス・メンドーサ・ウリベ;36;PA;Indirect Approach Doctrine;Medium;M46009;x
46010;Chief of Air Force;R・ブエナベントゥレ・ピネダ;36;PA;Army Aviation Doctrine;Medium;M46010;x
46021;Head of State;ハコポ・アルベンス・グスマン;44;LWR;Popular Figurehead;High;M46021;x
46022;Head of State;ファン・アレバロ・ベルメホ;45;SD;Die-hard Reformer;High;M46022;x
46023;Head of State;ホルヘ・トリエーリョ・ガリド;45;SL;Resigned Generalissimo;High;M46011;x
46024;Head of State;R・ブエナベントゥレ・ピネダ;45;SC;Resigned Generalissimo;High;M46010;x
46026;Head of State;フェデリコ・ポンセ・バイデス;44;PA;Barking Buffoon;High;M46007;x
46027;Head of Government;フランシスコ・ハビエル・アラナ;44;LWR;Naive Optimist;High;M46027;x
46028;Head of Government;ファン・アレバロ・ベルメホ;45;SD;Backroom Backstabber;High;M46022;x
46029;Head of Government;マヌエル・オレリャナ;45;SL;Smiling Oilman;High;M46012;x
46030;Head of Government;エドゥアルド・ビジャグラン・アリサ;45;SC;Political Protege;High;M46006;x
46031;Head of Government;マヌエル・アロヨ;37;FA;Old Admiral;High;M46031;x
46033;Head of Government;R・ブエナベントゥレ・ピネダ;44;PA;old airmarshal;High;M46010;x
46034;Head of Government;エドゥアルド・ビジャグラン・アリサ;44;PA;Happy Amateur;High;M46006;x
46035;Foreign Minister;カルロス・アルグメド・サラサル;44;LWR;The Cloak N Dagger Schemer;Medium;M46035;x
46036;Foreign Minister;ホルヘ・トリエーリョ・ガリド;45;SD;General Staffer;Medium;M46011;x
46037;Foreign Minister;エンリケ・ムノス・メアニ;46;SD;Biased Intellectual;Medium;M46037;x
