HOL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyality;Picture Name;x
;Replacements;;;;;;;x
8001;Head of State;ウィルヘルミナ;36;SC;Stern Imperialist;High;M8001;x
8002;Head of Government;ヘンドリクス・コレイン;36;ML;Silent Workhorse;High;M8002;x
8003;Foreign Minister;フランス・ファン・ブロックラント;36;SC;Ideological Crusader;Low;M8003;x
8004;Minister of Armament;ピテール・オウド;36;ML;Submarine Proponent;Medium;M8004;x
8005;Minister of Security;ヨセフス・ファン・スハイク;36;ML;Silent Lawyer;High;M8005;x
8006;Head of Military Intelligence;ヨハン・W・ファン・オールスホト;36;SC;Dismal Enigma;Very High;M8006;x
8007;Chief of Staff;エイドリアン・デイクスホールン;36;SC;School of Defence;Very High;M8007;x
8008;Chief of Army;イザック・レインダース;36;SC;Static Defence Doctrine;Very High;M8008;x
8009;Chief of Navy;ヨハン・フュルストナー;36;ML;Indirect Approach Doctrine;High;M8009;x
8010;Chief of Air Force;マリウス・ラーイマーカース;36;ML;Air Superiority Doctrine;High;M8010;x
8037;Head of State;ウィルヘルミナ;45;PA;Stern Imperialist;High;M8001;x
8038;Head of State;アントン・ムッサート;37;NS;Barking Buffoon;High;M8011;x
8040;Head of State;ベンヤミン・ボアズ;37;ST;Insignificant Layman;High;M8040;x
8041;Head of State;ヤン・ディータース;40;ST;Autocratic Charmer;High;M8041;x
8042;Head of State;サウル・デ・フロート;43;ST;Ruthless Powermonger;High;M8021;x
8043;Head of Government;ヨハン・アルバルダ;39;SD;Happy Amateur;High;M8043;x
8044;Head of Government;ルイス・ベール;46;ML;Smiling Oilman;High;M8044;x
8046;Head of Government;ピテール・ヘルブランディ;39;ML;Flamboyant Tough Guy;High;M8046;x
8047;Head of Government;ウィレム・シャーマーホーン;45;ML;Naive Optimist;High;M8047;x
8048;Head of Government;アンドリエス・ディルク・デ・グラーフ;37;SC;Happy Amateur;High;M8048;x
8049;Head of Government;ディレク・ヤン・デ・ヘール;39;SC;Political Protege;High;M8049;x
8050;Head of Government;ヤン・デ・クアイ;40;SC;Happy Amateur;High;M8050;x
8051;Head of Government;メイノート・ファン・トニンヘン;37;NS;Backroom Backstabber;High;M8012;x
8052;Head of Government;アントン・ムッサート;40;NS;Ambitious Union Boss;High;M8011;x
8053;Head of Government;グラーフ・デ・マルチャント・エ・ダンセンブルー;40;PA;Flamboyant Tough Guy;High;M8013;x
8054;Head of Government;ニコラス・ブーゼンマーカー;37;ST;Happy Amateur;High;M8054;x
8055;Head of Government;ダビッド・ウェインコープ;43;ST;Naive Optimist;High;M8022;x
8056;Head of Government;ダニエル・フールーゼ;45;ST;Smiling Oilman;High;M8025;x
8057;Foreign Minister;セルバティウス・バート;37;SD;Great Compromiser;Medium;M8057;x
8058;Foreign Minister;アドルアヌス・ペルト;38;SD;Apologetic Clerk;Medium;M8058;x
8059;Foreign Minister;ヘオルヘ・ファン・デン・ベルフ;43;SD;Iron Fisted Brute;Medium;M8059;x
8060;Foreign Minister;ヤン・ファン・ロイエン;46;SD;Biased Intellectual;Low;M8060;x
8061;Foreign Minister;ピム・ファン・ブッツェラー;46;ML;General Staffer;Medium;M8061;x
8062;Foreign Minister;シャルル・ギヨーム・クラマー;47;SD;The Cloak N Dagger Schemer;Very High;M8062;x
8063;Foreign Minister;ヘンドリクス・コレイン;37;ML;Ideological Crusader;Medium;M8002;x
8064;Foreign Minister;ヤコブス・パテイン;37;ML;Apologetic Clerk;Medium;M8064;x
8066;Foreign Minister;アンドリエス・ディルク・デ・グラーフ;36;SC;Great Compromiser;High;M8048;x
8067;Foreign Minister;エルコ・ファン・クレフェンス;39;SC;Great Compromiser;Medium;M8065;x
8068;Foreign Minister;ヤコブス・パテイン;40;PA;Apologetic Clerk;Medium;M8064;x
8069;Foreign Minister;グラーフ・デ・マルチャント・エ・ダンセンブルー;37;FA;Ideological Crusader;Very Low;M8013;x
8070;Foreign Minister;アントン・ムッサート;43;FA;The Cloak N Dagger Schemer;Low;M8011;x
8071;Foreign Minister;メイノート・ファン・トニンヘン;43;NS;Iron Fisted Brute;Medium;M8012;x
8072;Foreign Minister;ベンヤミン・ボアズ;37;ST;Great Compromiser;Medium;M8040;x
8073;Foreign Minister;ニコラス・ブーゼンマーカー;39;ST;The Cloak N Dagger Schemer;Very High;M8054;x
8074;Foreign Minister;ダビッド・ウェインコープ;40;ST;Biased Intellectual;Low;M8022;x
8075;Foreign Minister;サウル・デ・フロート;41;LE;Ideological Crusader;Low;M8021;x
8076;Foreign Minister;ウィレム・ファン・ラーフェステイン;43;LE;Apologetic Clerk;Medium;M8023;x
