HON;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
79001;Head of State;ティブルシオ・カリアス・アンディーノ;36;PA;Popular Figurehead;High;M79001;x
79002;Head of Government;カルロス・アルベルト・ウクレス;36;PA;Silent Workhorse;High;M79002;x
79003;Foreign Minister;ティブルシオ・カリアス・アンディーノ;36;PA;Iron Fisted Brute;Very High;M79001;x
79004;Minister of Armament;ロベルト・ミチェリェティ・バイン;36;SC;laissez-faire capitalist;Medium;M79004;x
79005;Minister of Security;カルロス・アルベルト・ウクレス;36;PA;Silent Lawyer;Medium;M79002;x
79006;Head of Military Intelligence;ライムンド・ストチレル・ガルシア;36;PA;Logistics Specialist;Medium;M79006;x
79007;Chief of Staff;ティブルシオ・カリアス・アンディーノ;36;PA;School of Psychology;Very High;M79001;x
79008;Chief of Army;ライムンド・ストチレル・ガルシア;36;PA;Static Defence Doctrine;Medium;M79006;x
79009;Chief of Navy;カルロス・バウペル・コメサ;36;SC;Indirect Approach Doctrine;Medium;M79009;x
79010;Chief of Air Force;グスタボ・シュミット;36;SC;Air Superiority Doctrine;Medium;M79010;x
79031;Head of State;ティブルシオ・カリアス・アンディーノ;37;SC;Popular Figurehead;High;M79001;x
79032;Head of State;ホセ・スニガ・ウエテ;37;SL;Barking Buffoon;High;M79032;x
79033;Head of State;ファン・B・バリャダレス;39;SL;Insignificant Layman;High;M79011;x
79034;Head of State;ラウル・サンチェス・バナドス;37;LWR;Autocratic Charmer;High;M79021;x
79036;Head of State;オルランド・ロドリゲス・ヒミノ;45;SD;Die-hard Reformer;High;M79036;x
79037;Head of Government;カルロス・アルベルト・ウクレス;37;SC;Silent Workhorse;High;M79002;x
79038;Head of Government;ティブルシオ・カリアス・アンディーノ;41;SC;Old General;High;M79001;x
79039;Head of Government;アブラーム・ウィリアムス・カルデロン;43;SC;Political Protege;High;M79039;x
79040;Head of Government;ファン・マヌエル・ガルベス;45;SC;Old General;High;M79017;x
79041;Head of Government;ファン・B・バリャダレス;37;SL;Smiling Oilman;High;M79011;x
79042;Head of Government;フリオ・ロサーノ・ディアス;45;SL;Ambitious Union Boss;High;M79042;x
79043;Head of Government;エルナン・フェルナンデス・シルバ;37;LWR;Silent Workhorse;High;M79043;x
79044;Head of Government;ファン・コディゴ・ラミレス;41;LWR;Happy Amateur;High;M79022;x
79045;Head of Government;フランシスコ・S・タピオ・トロ;45;SD;Flamboyant Tough Guy;High;M79045;x
79046;Foreign Minister;ラウレアノ・ライネス・エスピノサ;37;SC;Great Compromiser;High;M79046;x
79047;Foreign Minister;フリオ・ロサーノ・ディアス;37;SC;Ideological Crusader;High;M79042;x
79048;Foreign Minister;サルバドル・アギレ;38;SC;The Cloak N Dagger Schemer;Medium;M79048;x
79049;Foreign Minister;シルベリオ・ライネス・ビリャミン;44;SC;Apologetic Clerk;Medium;M79049;x
79050;Foreign Minister;ファン・マヌエル・ガルベス;46;SC;General Staffer;Medium;M79017;x
79051;Foreign Minister;サルバドル・アギレ・オサナ;37;SL;The Cloak N Dagger Schemer;High;M79051;x
79052;Foreign Minister;ロベルト・ミチェリェティ・バイン;45;SL;Great Compromiser;Medium;M79004;x
79053;Foreign Minister;ハシント・エスクデロ・オイカンダデル;37;LWR;Iron Fisted Brute;Medium;M79023;x
79054;Foreign Minister;エルナン・フェルナンデス・シルバ;41;SD;Great Compromiser;Medium;M79043;x
79055;Foreign Minister;オルランド・ロドリゲス・ヒミノ;45;SD;Ideological Crusader;High;M79036;x
79056;Minister of Armament;ミゲル・A・ナバロ;37;SC;Infantry Proponent;Medium;M79056;x
79057;Minister of Armament;カルロス・アルベルト・ウクレス;39;SC;Military Entrepreneur;Medium;M79002;x
79058;Minister of Armament;ラファエル・アルバラド・ゲレロ;41;SC;Corrupt Kleptocrat;Medium;M79058;x
79059;Minister of Armament;ディディエ・マッソン;42;SC;Air Superiority Proponent;Medium;M79059;x
79060;Minister of Armament;ファウスト・ダビラ;45;SC;Resource Industrialist;Medium;M79014;x
79061;Minister of Armament;ロベルト・オルティス・アルメンダレス;46;SC;Administrative Genius;Medium;M79015;x
79062;Minister of Armament;ファン・マヌエル・ガルベス;47;SC;Theoretical Scientist;Medium;M79017;x
79063;Minister of Armament;ロベルト・ミチェリェティ・バイン;37;SL;Resource Industrialist;Medium;M79004;x
79064;Minister of Armament;オスワルド・ロペス・アレジャノ;39;SL;Battle Fleet Proponent;Medium;M79064;x
79065;Minister of Armament;ファン・B・バリャダレス;41;SL;Tank Proponent;Low;M79011;x
79066;Minister of Armament;ラモン・ビジェダ・モラレス博士;45;SL;laissez-faire capitalist;Medium;M79066;x
79067;Minister of Armament;アウグスティン・エスピノサ・レイエス;37;LWR;Administrative Genius;Medium;M79024;x
79068;Minister of Armament;ミサエル・ベッカー・ヴィジャロエル;41;SD;Military Entrepreneur;Medium;M79068;x
