HUN;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
21001;Head of State;ミクローシュ・ホルティ;36;FA;Resigned Grand Admiral;High;M21001;x
21002;Head of Government;ジュラ・ゲンベシュ;36;FA;Flamboyant Tough Guy;High;M21002;x
21003;Foreign Minister;カルマン・カンヤ;36;FA;Great Compromiser;Medium;M21003;x
21004;Minister of Armament;ティハメル・ファビニ;36;FA;Military Entrepreneur;Medium;M21004;x
21005;Minister of Security;ミクローシュ・コズマ;36;FA;Prince of Terror;Medium;M21005;x
21006;Head of Military Intelligence;ジュラ・ゲンベシュ;36;FA;Political Specialist;High;M21002;x
21007;Chief of Staff;グスタフ・ヘネイエイ;36;FA;School of Mass Combat;High;M21007;x
21008;Chief of Army;イシュトヴァーン・シュヴォイ;36;FA;Decisive Battle Doctrine;Medium;M21008;x
21009;Chief of Navy;ミクローシュ・ホルティ;36;FA;Decisive Naval Battle Doctrine;Medium;M21001;x
21010;Chief of Air Force;ラースロー・トモール;36;FA;Air Superiority Doctrine;Medium;M21010;x
21011;Head of State;ハンガリー聖王冠;41;FA;Magyar Szent Korona;High;crown;x
21012;Head of Government;ミクローシュ・ホルティ;38;FA;Silent Workhorse;High;M21001;x
21041;Head of State;フェレンツ・サーラシ;42;NS;Powerhungry Demagogue;High;M21021;x
21042;Head of State;ミクローシュ・ホルティ;44;NS;Resigned Grand Admiral;High;M21001;x
21044;Head of State;オットー2世;38;PA;The First Knight Of Modern;High;M21044;x
21045;Head of State;カーロイ・ペイヤー;45;SD;Insignificant Layman;High;M21045;x
21046;Head of State;ゾルターン・ティルディ;45;SC;Autocratic Charmer;High;M21011;x
21047;Head of State;ゾルターン・ティルディ;47;ST;Autocratic Charmer;High;M21011;x
21048;Head of State;ベラ・ゼデニ;36;ST;Stern Imperialist;High;M21031;x
21049;Head of State;ラーソー・ライク;39;ST;Autocratic Charmer;High;M21035;x
21050;Head of State;マーチャーシュ・ラーコシ;44;ST;Powerhungry Demagogue;High;M21032;x
21051;Head of Government;デメ・ストーヤイ;39;NS;Happy Amateur;High;M21051;x
