ICL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
581001;Head of State;スヴェイン・ビョウルンソン;36;SL;Stern Imperialist;High;M581001;x
581002;Head of Government;ヘルマン・ヨナーソン;36;SL;Smiling Oilman;High;M581002;x
581003;Foreign Minister;オラファー・トールス;36;ML;Ideological Crusader;High;M581003;x
581004;Minister of Armament;アイナル・ ソーダソン;36;SL;Infantry Proponent;Medium;M581004;x
581005;Minister of Security;クヌード・デュビー;36;SL;Crime Fighter;Medium;M581005;x
581006;Head of Military Intelligence;ステファン・J・ステファンソン;36;SL;Political Specialist;Medium;M581006;x
581007;Chief of Staff;ソーキル・ゾンネ;36;SL;School of Defence;Medium;M581007;x
581008;Chief of Army;ワルター・ウルリッヒ;36;SL;Guns and Butter Doctrine;Medium;M581008;x
581009;Chief of Navy;イングヴァール・パルマソン;36;SL;Indirect Approach Doctrine;Medium;M581009;x
581010;Chief of Air Force;ヤコブ・R・V・モラー;36;SL;Air Superiority Doctrine;Medium;M581010;x
581011;Foreign Minister;ステファン・J・ステファンソン;42;SD;Great Compromiser;High;M581006;x
581012;Minister of Armament;イングヴァール・パルマソン;42;ML;Submarine Proponent;Medium;M581009;x
581013;Minister of Security;ヤコブ・R・V・モラー;42;SL;Man of the People;Medium;M581010;x
581014;Head of Military Intelligence;ヨルゲン・F・T・ロール;42;SL;Naval Intelligence Specialist;Medium;M581014;x
581015;Chief of Staff;アウグスト・アレンドラップ;42;SL;School of Mass Combat;Medium;M581015;x
581016;Chief of Army;カイ・ハメリッヒ;42;SL;Decisive Battle Doctrine;Medium;M581016;x
581017;Chief of Navy;ポール・イプセン;42;SL;Open Seas Doctrine;Medium;M581017;x
581018;Chief of Air Force;アスガー・E・V・グランジャン;42;SL;Naval Aviation Doctrine;Medium;M581018;x
581019;Head of State;アウスゲイル・アウスゲイルソン;52;SL;Pig-headed Isolationist;High;M581019;x
581020;Head of Government;オラファー・トールス;42;ML;Flamboyant Tough Guy;High;M581003;x
581021;Foreign Minister;ヴィルヒャルムル・ソール;42;SL;Apologetic Clerk;High;M581021;x
581022;Head of Government;ステファン・J・ステファンソン;44;SD;Ambitious Union Boss;High;M581006;x
581023;Minister of Armament;ペトゥル・マクヌソン;44;ML;Submarine Proponent;Medium;M581023;x
581024;Minister of Security;フィンヌル・ヨーソン;44;ML;Back Stabber;Medium;M581024;x
581025;Head of Military Intelligence;イングヴァール・パルマソン;44;SL;Naval Intelligence Specialist;Medium;M581009;x
581026;Foreign Minister;イヤルニ・ベネディクトソン;47;SD;Great Compromiser;High;M581026;x
581027;Minister of Armament;ヨハン・Th・ヨセフソン;47;SD;Military Entrepreneur;Medium;M581027;x
581028;Minister of Security;イヤルニ・ベネディクトソン;47;SD;Compassionate Gentleman;Medium;M581026;x
581029;Minister of Armament;イョルン・オロフソン;49;ML;Battle Fleet Proponent;Medium;M581029;x
581030;Head of Military Intelligence;ステインクリムル・ステインソロソン;49;SD;Industrial Specialist;Medium;M581030;x
581031;Head of Government;ステインクリムル・ステインソロソン;50;SD;Silent Workhorse;High;M581030;x
581032;Minister of Armament;エイステイン・ヨーンソン;50;SD;Administrative Genius;Medium;M581032;x
581033;Foreign Minister;グトムンドゥル・グトムンドソン;53;ML;The Cloak N Dagger Schemer;High;M581033;x
581034;Minister of Security;エイナル・アルノルソン;53;ML;Crime Fighter;Medium;M581034;x
