IRQ;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
91001;Head of State;ガージー1世;36;SC;Autocratic Charmer;High;M91001;x
91002;Head of Government;ヤシン・パシャ・アル・ハシミ;36;SC;Naive Optimist;High;M91002;x
91003;Foreign Minister;ヌーリー・アッ＝サイード;36;SC;General Staffer;Medium;M91003;x
91004;Minister of Armament;ガージー1世;36;SC;laissez-faire capitalist;High;M91001;x
91005;Minister of Security;アリ・アブン・フセイン;36;SC;Back Stabber;Medium;M91005;x
91006;Head of Military Intelligence;ヤシン・パシャ・アル・ハシミ;36;SC;Naval Intelligence Specialist;High;M91002;x
91007;Chief of Staff;バクル・シドゥキ;36;SC;School of Defence;Low;M91007;x
91008;Chief of Army;フレデリク・G・ピーク;36;SC;Elastic Defence Doctrine;Medium;M91008;x
91009;Chief of Navy;A・R・H・ナイ;36;SC;Open Seas Doctrine;Medium;M91009;x
91010;Chief of Air Force;アリ・ベン・ジャワド;36;SC;Air Superiority Doctrine;Medium;M91010;x
91031;Head of State;ガージー1世;36;LWR;Autocratic Charmer;High;M91001;x
91033;Head of State;ガージー1世;36;PA;Autocratic Charmer;High;M91001;x
91034;Head of State;ガージー1世;36;FA;Autocratic Charmer;High;M91001;x
91035;Head of State;アブドゥル・イラー;39;LWR;Stern Imperialist;High;M91035;x
91036;Head of State;アブドゥル・イラー;39;SC;Stern Imperialist;High;M91035;x
91037;Head of State;アブドゥル・イラー;39;PA;Stern Imperialist;High;M91035;x
91038;Head of State;アブドゥル・イラー;39;FA;Stern Imperialist;High;M91035;x
91039;Head of State;ファイサル2世;46;LWR;Benevolent Gentleman;High;M91039;x
91041;Head of State;ファイサル2世;46;PA;Benevolent Gentleman;High;M91039;x
91042;Head of State;ファイサル2世;46;FA;Benevolent Gentleman;High;M91039;x
91043;Head of Government;モウサ・アル・アラミ;36;SC;Silent Workhorse;High;M91043;x
91044;Head of Government;タハ・パシャ・アル・ハシミ;41;PA;Happy Amateur;High;M91044;x
91045;Head of Government;ラゲブ・ナシャシビ;46;SC;Flamboyant Tough Guy;High;M91045;x
91046;Head of Government;アザム・パシャ;36;PA;Old General;High;M91046;x
91047;Head of Government;ジャミル・アル・ミドファイ;37;PA;Smiling Oilman;High;M91047;x
91048;Head of Government;ヌーリー・アッ＝サイード;38;PA;Old General;High;M91003;x
91049;Head of Government;ハマディ・アル・パチャチ;44;PA;Silent Workhorse;High;M91049;x
91050;Head of Government;サリーヒ・ジャブル;47;PA;Political Protege;High;M91050;x
91051;Head of Government;ファウジ・アル・カウクジ;36;FA;Flamboyant Tough Guy;High;M91014;x
91052;Head of Government;ラシッド・アリ・アル・ガイラーニー;40;FA;Smiling Oilman;High;M91011;x
91053;Head of Government;ハジ・アミニ・アル・フセイニ;41;FA;Backroom Backstabber;High;M91013;x
91054;Head of Government;ヒクメト・スレイマン;36;LWR;Naive Optimist;High;M91054;x
91055;Head of Government;ヤヒヤ・ハムデー;40;LWR;Backroom Backstabber;High;M91021;x
91056;Head of Government;タウフィク・アル・スウェイディ;46;LWR;Ambitious Union Boss;High;M91056;x
91057;Head of Government;アルシャド・アル・ウマリ;46;LWR;Happy Amateur;High;M91027;x
91058;Foreign Minister;ラゲブ・ナシャシビ;36;SC;Biased Intellectual;Medium;M91045;x
91059;Foreign Minister;タハ・パシャ・アル・ハシミ;40;PA;Ideological Crusader;High;M91044;x
