ISR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
559001;Head of State;ハイム・ヴァイツマン;36;SL;Benevolent Gentleman;High;M559001;x
559002;Head of Government;ダヴィド・ベン＝グリオン;36;SL;Ambitious Union Boss;High;M559002;x
559003;Foreign Minister;モーシェ・シャレット;36;SL;Biased Intellectual;High;M559003;x
559004;Minister of Armament;レヴィ・エシュコル;36;SL;Resource Industrialist;Medium;M559004;x
559005;Minister of Security;ゴルダ・メイル;36;SL;Man of the People;Medium;M559005;x
559006;Head of Military Intelligence;イーガル・アロン;36;SL;Logistics Specialist;Medium;M559006;x
559007;Chief of Staff;イガエル・ヤディン;36;SL;School of Fire Support;Medium;M559007;x
559008;Chief of Army;イーガル・アロン;36;SL;Guns and Butter Doctrine;Medium;M559008;x
559009;Chief of Navy;イェディディア・ヤーリ;36;SL;Decisive Naval Battle Doctrine;Medium;M559009;x
559010;Chief of Air Force;ハイム・ラスコヴ;36;SL;Army Aviation Doctrine;Medium;M559010;x
559011;Head of State;マシェ・シャイピラ;36;PA;Stern Imperialist;High;M559011;x
559012;Head of State;ハイム・アルロソロフ;36;LE;Barking Buffoon;High;M559012;x
559013;Head of Government;ダニエル・オースター;36;PA;Backroom Backstabber;High;M559013;x
559014;Head of Government;アブラハン・ハーシェル博士;36;LE;Naive Optimist;High;M559014;x
559015;Foreign Minister;ゼラク・ウォーナフティグ;36;PA;Ideological Crusader;High;M559015;x
559016;Foreign Minister;ピンハス・レヴォン;43;SL;Great Compromiser;High;M559016;x
559017;Foreign Minister;イツハク・ベンツヴィ;36;LE;Iron Fisted Brute;High;M559017;x
559018;Foreign Minister;イツハク・タベンキン;39;LE;The Cloak N Dagger Schemer;High;M559018;x
559019;Minister of Armament;ヴァディア・ヨセフ;36;PA;Infantry Proponent;Medium;M559019;x
559020;Minister of Armament;メンカヘム・ウシスキン;37;PA;Strategic Air Proponent;Medium;M559020;x
559021;Minister of Armament;ヴァトハガン・メルトニアン;40;PA;laissez-faire capitalist;Medium;M559021;x
559022;Minister of Armament;カディシュ・ルツ;40;SL;Battle Fleet Proponent;Medium;M559022;x
559023;Minister of Armament;ヨセフ・スプリンザク;42;SL;Air Superiority Proponent;Medium;M559023;x
559024;Minister of Armament;エリエザー・カプラン;45;SL;Military Entrepreneur;Medium;M559024;x
559025;Minister of Armament;パヴロス・レヴァン;36;LE;Tank Proponent;Medium;M559025;x
559026;Minister of Security;ネイハム・ニール＝ラファルケス;36;PA;Back Stabber;Medium;M559026;x
559027;Minister of Security;メナヘム・バスキンド;39;PA;Compassionate Gentleman;Medium;M559027;x
559028;Minister of Security;メンカヘム・ビギン;40;PA;Efficient Sociopath;Medium;M559028;x
559029;Minister of Security;モーシェ・ハイム・シャピラ;49;SL;Silent Lawyer;Medium;M559029;x
559030;Minister of Security;イスラエル・ロカフ;52;SD;Crime Fighter;Medium;M559030;x
559031;Minister of Security;モーシェ・カッツネルソン;41;LE;Prince of Terror;Medium;M559031;x
559032;Head of Military Intelligence;イスラエル・バー＝イェフダ;36;PA;Political Specialist;Medium;M559032;x
559033;Head of Military Intelligence;メナヘム・メンデル・リプシュッツ;37;PA;Dismal Enigma;Medium;M559033;x
559034;Head of Military Intelligence;ピンハス・サピア;42;SL;Technical Specialist;Medium;M559034;x
559035;Head of Military Intelligence;イツハク・グリュンバウム;44;SL;Dismal Enigma;Medium;M559035;x
559036;Head of Military Intelligence;ラール・カッツネルソン;36;LE;Industrial Specialist;Medium;M559036;x
559037;Head of Military Intelligence;メナヘム・シュニーアソン;37;LE;Naval Intelligence Specialist;Medium;M559037;x
559038;Chief of Staff;ロマン・ザハリ;36;PA;School of Defence;Medium;M559038;x
559039;Chief of Staff;ジロシャハフト・ハルカビ;42;PA;School of Psychology;Medium;M559039;x
559040;Chief of Staff;リチャード・シルヴァースタイン;36;LE;School of Mass Combat;Medium;M559040;x
559041;Chief of Army;ピンハス・ローゼンガーテン;36;PA;Elastic Defence Doctrine;Medium;M559041;x
559042;Chief of Army;モーシェ・ダヤン;44;SL;Armoured Spearhead Doctrine;Medium;M559042;x
559043;Chief of Army;アモス・ゾレフ;36;LE;Decisive Battle Doctrine;Medium;M559043;x
559044;Chief of Navy;ハイム・グルンワルド;36;PA;Base Control Doctrine;Medium;M559044;x
559045;Chief of Navy;モーシェ・クレリッツ;36;LE;Indirect Approach Doctrine;Medium;M559045;x
559046;Chief of Air Force;クリス・マギー;36;PA;Army Aviation Doctrine;Medium;M559046;x
559047;Chief of Air Force;ルーヴェン・ウルフ;36;LE;Air Superiority Doctrine;Medium;M559047;x
559048;Head of State;イツハク・ベンツヴィ;52;SL;Ruthless Powermonger;High;M559017;x
559049;Minister of Security;イツハク・グリュンバウム;48;SL;Prince of Terror;Medium;M559035;x
559050;Head of Military Intelligence;ヨセフ・スプリンザク;48;SL;Industrial Specialist;Medium;M559023;x
559051;Chief of Army;ダヴィド・ベン＝グリオン;48;SL;Decisive Battle Doctrine;Medium;M559002;x
