ITA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
3001;Head of State;ヴィットーリオ・エマヌエーレ3世;35;FA;Weary Stiffneck;High;M3001;x
3002;Head of Government;ベニート・ムッソリーニ;35;FA;Imperialist Buffoon;High;M3002;x
3003;Foreign Minister;ジャン・ガレアッツォ・チャーノ;35;FA;Fascist Crusader;Very High;M3003;x
3004;Minister of Armament;ベニート・ムッソリーニ;35;FA;Autarkic Fascist;Very High;M3002;x
3005;Minister of Security;グイド・ブッファリーニ＝グイディ;35;FA;Man of the People;Very High;M3005;x
3006;Head of Military Intelligence;チェザーレ・アメー;35;FA;Industrial Specialist;Very High;M3006;x
3007;Chief of Staff;フランチェスコ・グラジオーリ;35;FA;School of Mass Combat;Medium;M3007;x
3008;Chief of Army;アルベルト・パリアーニ;35;FA;Undersecretary of War;Medium;M3008;x
3009;Chief of Navy;ドメニコ・カバニャーリ;35;FA;Old School Admiral;Medium;M3009;x
3010;Chief of Air Force;ジュゼッペ・ヴァレ;35;FA;Army Aviation Doctrine;Medium;M3010;x
3031;Head of State;ヴィットーリオ・エマヌエーレ3世;43;PA;Weary Stiffneck;High;M3001;x
3033;Head of State;ヴィットーリオ・エマヌエーレ3世;35;SC;Weary Stiffneck;High;M3001;x
3034;Head of State;ベニート・ムッソリーニ;43;NS;Barking Buffoon;High;M3002;x
3035;Head of State;パオロ・エミリオ・タオン・ディ・ルヴェル;45;NS;Resigned Grand Admiral;High;M3035;x
3036;Head of State;ウンベルト2世;44;PA;Autocratic Charmer;High;M3011;x
3037;Head of State;ウンベルト2世;45;SC;Autocratic Charmer;High;M3011;x
3038;Head of State;アルチーデ・デ・ガスペリ;46;SC;Die-hard Reformer;High;M3038;x
3039;Head of State;エンリコ・デ・ニコラ;46;SC;Benevolent Gentleman;High;M3039;x
3040;Head of State;エンリコ・デ・ニコラ;46;SL;Benevolent Gentleman;High;M3039;x
3041;Head of State;パルミロ・トグリアッティ;35;LE;Powerhungry Demagogue;High;M3021;x
3043;Head of Government;ベニート・ムッソリーニ;43;NS;Flamboyant Tough Guy;High;M3002;x
3044;Head of Government;ジュニオ・ボルゲーゼ;45;NS;Political Protege;High;M3044;x
3045;Head of Government;ピエトロ・バドリオ;43;PA;Old General;High;M3012;x
3046;Head of Government;コンデ・ステファノ・ジャシニ;35;SC;Happy Amateur;High;M3046;x
3047;Head of Government;アルチーデ・デ・ガスペリ;44;SC;Backroom Backstabber;High;M3038;x
3048;Head of Government;イヴァノエ・ボノーミ;44;SL;Silent Workhorse;High;M3048;x
3049;Head of Government;フェルッチョ・パッリ;45;SL;Naive Optimist;High;M3049;x
3050;Head of Government;ルイジ・ロンゴ;35;LWR;Political Protege;High;M3022;x
3052;Foreign Minister;ベニート・ムッソリーニ;35;FA;Aggressive Nationalist;Very High;M3052;x
3053;Foreign Minister;ジュゼッペ・バスティアニーニ;45;NS;Iron Fisted Brute;High;M3053;x
3054;Foreign Minister;ピエトロ・コンテ・アキアローネ;43;PA;The Cloak N Dagger Schemer;High;M3054;x
3055;Foreign Minister;ピエトロ・バドリオ;44;PA;General Staffer;High;M3055;x
3056;Foreign Minister;ディーノ・グランディ;45;PA;Great Compromiser;High;M3056;x
3057;Foreign Minister;ピエール・フェデリコ・マルティネッティ;35;SC;Apologetic Clerk;High;M3057;x
3058;Foreign Minister;ベルナルド・アトリコ;43;SC;Biased Intellectual;High;M3058;x
3059;Foreign Minister;アルチーデ・デ・ガスペリ;45;SC;Ideological Crusader;High;M3038;x
3060;Foreign Minister;カルロ・スフォルザ;47;SC;The Cloak N Dagger Schemer;High;M3013;x
3061;Foreign Minister;イヴァノエ・ボノーミ;44;SL;Apologetic Clerk;High;M3048;x
3062;Foreign Minister;ピエトロ・ネニ;45;SL;The Cloak N Dagger Schemer;High;M3062;x
3063;Foreign Minister;パルミロ・トグリアッティ;35;LE;Ideological Crusader;High;M3021;x
3064;Minister of Armament;フェデリコ・バイストロッチ;35;FA;Infantry Proponent;High;M3064;x
3065;Minister of Armament;アルベルト・パリアーニ;37;FA;Air Superiority Proponent;High;M3008;x
3066;Minister of Armament;ウバルド・ソドゥ;39;FA;Military Entrepreneur;Medium;M3066;x
3067;Minister of Armament;アルフレド・グッツォーニ;40;FA;Submarine Proponent;Low;M3067;x
3068;Minister of Armament;アントニオ・ソリス;43;FA;Corrupt Kleptocrat;High;M3068;x
3070;Minister of Armament;パオロ・エミリオ・タオン・ディ・ルヴェル;35;NS;Battle Fleet Proponent;Very High;M3035;x
3071;Minister of Armament;G・インペリアリ・デ・フランカリロ;45;NS;Administrative Genius;High;M3071;x
3072;Minister of Armament;ロミュロ・パラディーニ;47;NS;Tank Proponent;High;M3072;x
3073;Minister of Armament;ジャコモ・アチェルボ;43;NS;Resource Industrialist;High;M3073;x
3075;Minister of Armament;ドメニコ・バルトリーニ;44;PA;Theoretical Scientist;High;M3075;x
3076;Minister of Armament;グイド・ユング;43;PA;Administrative Genius;High;M3076;x
3077;Minister of Armament;アルベルト・テオドーリ;35;SC;Infantry Proponent;High;M3077;x
3078;Minister of Armament;フランチェスコ・オレスターノ;39;SC;Military Entrepreneur;High;M3078;x
3079;Minister of Armament;フルベルト・ヴィヴァルディ;41;SC;Air to Ground Proponent;High;M3079;x
3080;Minister of Armament;タデオ・オルランド;44;SC;Theoretical Scientist;High;M3080;x
3081;Minister of Armament;アレッサンドロ・マルチース・カサッティ;44;SL;Tank Proponent;Medium;M3081;x
3082;Minister of Armament;マンリオ・ブロシオ;46;SC;Infantry Proponent;High;M3082;x
3083;Minister of Armament;シプリアーノ・ファチネッティ;47;SC;Resource Industrialist;High;M3083;x
3084;Minister of Armament;ジョヴァンニ・シラオロ;44;SL;Administrative Genius;High;M3084;x
3085;Minister of Armament;ルイージ・エイナウディ;45;SL;Strategic Air Proponent;High;M3085;x
3086;Minister of Armament;G・パウルッチ・ディ・カルボリ男爵;47;SL;Laissez-Faire Capitalist;High;M3086;x
3087;Minister of Armament;ヴィットーリオ・ヴィダリ;35;LE;Infantry Proponent;High;M3087;x
3088;Minister of Armament;マウロ・スコシマロ;41;LE;Air to Sea Proponent;High;M3088;x
3089;Minister of Armament;アントニオ・ペセンティ;45;LWR;Resource Industrialist;High;M3024;x
3091;Minister of Security;ウンベルト・アルビニ;40;FA;Prince of Terror;High;M3091;x
3092;Minister of Security;アントニオ・スクエロ;43;NS;Back Stabber;High;M3092;x
3093;Minister of Security;ベニート・ムッソリーニ;35;FA;Man of the People;Very High;M3002;x
3094;Minister of Security;ピエロ・ブランディマルテ;45;NS;Efficient Sociopath;High;M3094;x
3095;Minister of Security;ウンベルト・リッチ;43;PA;Silent Lawyer;High;M3015;x
3096;Minister of Security;ロベルト・ファリナッチ;45;PA;Back Stabber;High;M3096;x
3097;Minister of Security;エンリコ・デ・ニコラ;35;SC;Man of the People;High;M3039;x
3098;Minister of Security;コンデ・ステファノ・ジャシニ;39;SC;Silent Lawyer;High;M3046;x
3099;Minister of Security;アルチーデ・デ・ガスペリ;43;SC;Compassionate Gentleman;High;M3038;x
3100;Minister of Security;ヴィトー・リアレ;44;SC;Crime Fighter;High;M3100;x
3101;Minister of Security;マリオ・セルバ;47;SC;Back Stabber;High;M3101;x
3102;Minister of Security;サルヴァトーレ・アルディーシオ;44;SL;Prince of Terror;High;M3102;x
3103;Minister of Security;イヴァノエ・ボノーミ;45;SL;Efficient Sociopath;High;M3048;x
3104;Minister of Security;フェルッチョ・パッリ;47;SL;Man of the People;High;M3049;x
3105;Minister of Security;ジュゼッペ・ロミタ;35;LWR;Compassionate Gentleman;High;M3105;x
3106;Minister of Security;パルミロ・トグリアッティ;41;LWR;Crime Fighter;High;M3021;x
3107;Minister of Security;ジュリアン・ズガザゴイティア・メンディエタ;43;ST;Efficient Sociopath;High;M3107;x
3108;Head of Military Intelligence;エンツォ・ガルビアティ;35;FA;Political Specialist;Very High;M3108;x
3109;Head of Military Intelligence;ディーノ・グランディ;39;FA;Logistics Specialist;High;M3056;x
3110;Head of Military Intelligence;アルフレド・デ・マルシコ;43;FA;Dismal Enigma;Low;M3110;x
3112;Head of Military Intelligence;ジャコモ・カルボーニ;45;NS;Industrial Specialist;Low;M3112;x
3115;Head of Military Intelligence;マジオルノ・フェラリス;35;SC;Political Specialist;Very High;M3115;x
3116;Head of Military Intelligence;ジュゼッペ・ペラ;45;SC;Logistics Specialist;High;M3116;x
3117;Head of Military Intelligence;エジオ・ヴァノニ;46;SC;Naval Intelligence Specialist;High;M3117;x
3118;Head of Military Intelligence;エミリオ・パグリアーノ;44;SL;Industrial Specialist;High;M3118;x
3119;Head of Military Intelligence;A・デ・マリニス・デ・リチア;46;SL;Technical Specialist;High;M3014;x
3120;Head of Military Intelligence;グイセッペ・ディ・ヴィットリオ;35;LE;Political Specialist;High;M3120;x
3121;Head of Military Intelligence;パルミロ・トグリアッティ;41;LE;Technical Specialist;High;M3021;x
3122;Head of Military Intelligence;アントニオ・ペセンティ;44;LWR;Technical Specialist;High;M3024;x
3124;Chief of Staff;ウーゴ・カヴァッレーロ;39;FA;School of Manoeuvre;High;M3124;x
3125;Chief of Staff;ピエトロ・バドリオ;41;PA;School of Mass Combat;Medium;M3125;x
3126;Chief of Staff;アキレ・スタラーセ;43;NS;School of Psychology;High;M3126;x
3127;Chief of Staff;ヴィトー・カタスティーニ;45;NS;School of Manoeuvre;High;M3017;x
3128;Chief of Staff;ヴィットーリオ・アンブロージョ;43;PA;School of Psychology;Low;M3128;x
3130;Chief of Staff;マリオ・シンゴラニ;35;SC;School of Fire Support;High;M3130;x
3132;Chief of Staff;エトール・コンティ;45;SC;School of Manoeuvre;High;M3132;x
3133;Chief of Staff;ランドルフォ・パチアルディ;46;SC;School of Defence;High;M3133;x
3134;Chief of Staff;アレッサンドロ・カサッティ;44;SL;School of Defence;High;M3134;x
3135;Chief of Staff;シプリアーノ・ファチネッティ;45;SL;School of Mass Combat;High;M3083;x
3136;Chief of Staff;ルイージ・ガスパロット;47;SL;School of Manoeuvre;High;M3136;x
3137;Chief of Staff;ルイジ・ロンゴ;35;LWR;School of Mass Combat;High;M3022;x
3139;Chief of Army;ロドルフォ・グラッツィアーニ;39;FA;Decisive Battle Doctrine;Medium;M3139;x
3140;Chief of Army;マリオ・ロアータ;41;FA;Armoured Spearhead Doctrine;High;M3140;x
3141;Chief of Army;ジュニオ・ボルゲーゼ;43;NS;Commando Doctrine Army;High;M3044;x
3143;Chief of Army;ヴィットーリオ・アンブロージョ;35;SC;Static Defence Doctrine;Low;M3128;x
3144;Chief of Army;ディオニシオ・アンセロッティ;44;SC;Guns and Butter Doctrine;High;M3144;x
3145;Chief of Army;エンリコ・マッテイ;47;SC;Decisive Battle Doctrine;High;M3018;x
