JAP;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
5001;Head of State;裕仁;35;SC;Puppet Emperor;High;M5001;x
5003;Foreign Minister;廣田弘毅;35;PA;Great Compromiser;High;M5003;x
5004;Minister of Armament;町田忠治;35;PA;Ammachida;High;M5004;x
5005;Minister of Security;後藤文夫;35;PA;Mosgoto;High;M5005;x
5006;Head of Military Intelligence;岡村寧次;35;PA;Political Specialist;Very Low;M5006;x
5007;Chief of Staff;閑院宮載仁親王;35;PA;School of Defence;Very Low;M5007;x
5008;Chief of Army;閑院宮載仁親王;35;PA;Static Defence Doctrine;Very Low;M5007;x
5009;Chief of Navy;大角岑生;35;FA;Power Projection Doctrine;Very High;M5009;x
5010;Chief of Air Force;山本五十六;35;PA;Coaisoroku;Very High;M5010;x
5011;Head of State;大本営;35;NS;Barking Buffoon;High;M5570;x
5012;Head of State;裕仁;35;SL;Popular Figurehead;High;M5001;x
5013;Head of State;裕仁;35;NS;Iwfhirohito;High;M5001;x
5014;Head of State;明仁;35;SL;Akihito;High;M5008;x
5654;Head of State;明仁;35;FA;Popular Figurehead;High;M5008;x
5015;Head of State;雍仁;35;PA;Ruthless Powermonger;Very High;M5207;x
5016;Head of State;蘆田均;48;SD;Ruthless Powermonger;High;M5046;x
5017;Head of State;鳩山一郎;47;SC;Autocratic Charmer;High;M5032;x
5018;Head of State;吉田茂;46;SC;Pig-headed Isolationist;High;M5031;x
5019;Head of State;町田忠治;45;SC;Benevolent Gentleman;High;M5004;x
5020;Head of State;宇垣一成;45;SC;Resigned Generalissimo;High;M5028;x
5021;Head of State;片山哲;45;SD;Insignificant Layman;High;M5027;x
5025;Head of State;野坂參三;35;ST;Barking Buffoon;High;M5011;x
5213;Head of Government;池田勇人;60;SC;Corporate Suit;High;M5213;x
5214;Head of Government;西尾末廣;60;SD;Flamboyant Tough Guy;High;M5214;x
5212;Head of Government;岸信介;57;SC;Hogkishi;High;M5085;x
5211;Head of Government;石橋湛山;56;SC;Silent Workhorse;High;M5210;x
5209;Head of Government;蘆田均;48;SD;Backroom Backstabber;High;M5046;x
5032;Head of Government;鳩山一郎;47;SC;Backroom Backstabber;High;M5032;x
5031;Head of Government;吉田茂;46;SC;Hogyoshida;High;M5031;x
5030;Head of Government;幣原喜重郎;45;SC;Political Protege;High;M5030;x
5027;Head of Government;片山哲;45;SD;Naive Optimist;High;M5027;x
5038;Head of Government;東久邇宮稔彦王;45;PA;Happy Amateur;High;M5038;x
5037;Head of Government;鈴木貫太郎;45;PA;Silent Workhorse;High;M5037;x
5555;Head of Government;永田鐵山;40;PA;Hognagata;High;L101382;x
5203;Head of Government;近衞文麿;35;PA;Hogkonoe;High;M5034;x
5036;Head of Government;米内光政;39;PA;Silent Workhorse;High;M5036;x
5035;Head of Government;阿部信行;38;PA;Political Protege;High;M5035;x
5041;Head of Government;平沼騏一郎;38;FA;Hoghiranuma;High;M5041;x
5034;Head of Government;近衞文麿;35;PA;Hogkonoe;High;M5034;x
5029;Head of Government;鈴木喜三郎;35;PA;Ambitious Union Boss;High;M5029;x
5002;Head of Government;岡田啓介;35;PA;Hogokada;High;M5002;x
5033;Head of Government;林銑十郎;35;PA;Hoghayashi;High;M5033;x
5039;Head of Government;寺内壽一;46;FA;Old General;High;M5039;x
5043;Head of Government;小磯國昭;44;FA;Old General;High;M5043;x
5042;Head of Government;東條英機;41;FA;Razor;High;M5042;x
5040;Head of Government;廣田弘毅;35;FA;Hoghirota;High;M5003;x
5028;Head of Government;宇垣一成;35;SC;Silent Workhorse;High;M5028;x
5026;Head of Government;後藤文夫;37;SD;Naive Optimist;High;M5005;x
5024;Head of Government;町田忠治;35;SD;Ambitious Union Boss;High;M5004;x
5044;Head of Government;宮本顯治;35;ST;Naive Optimist;High;M5012;x
