KAZ;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
520001;Head of State;ニコライ・スクヴォルツォフ;36;LWR;Die-hard Reformer;High;M520001;x
520002;Head of Government;ズマバイ・シャヤクメトフ;36;LWR;Silent Workhorse;High;M520002;x
520003;Foreign Minister;レヴォン・ミルゾヤン;36;LWR;The Cloak N Dagger Schemer;High;M520003;x
520004;Minister of Armament;アジルカン・ヌルシャコフ;36;LWR;Air to Ground Proponent;Medium;M520004;x
520005;Minister of Security;シェルカン・ムルタザ;36;LWR;Crime Fighter;Medium;M520005;x
520006;Head of Military Intelligence;ショルパン・ザンダルベコヴァ;36;LWR;Dismal Enigma;Medium;M520006;x
520007;Chief of Staff;イヴァン・スサイコフ;36;LWR;School of Manoeuvre;Medium;M520007;x
520008;Chief of Army;タルガト・ビゲルディノフ;36;LWR;Decisive Battle Doctrine;Medium;M520008;x
520009;Chief of Navy;イヴァン・セルゲエフ;36;LWR;Decisive Naval Battle Doctrine;Medium;M520009;x
520010;Chief of Air Force;アルブズ・カーン・アルセン;36;LWR;Vertical Envelopment Doctrine;Medium;M520010;x
520011;Head of State;ドミトリー・スネギン;36;ML;Insignificant Layman;High;M520011;x
520012;Head of State;アリ・カーン・ブカイクリアノフ;36;PA;Resigned Generalissimo;High;M520012;x
520013;Head of Government;カキムベク・サリコフ;36;ML;Political Protege;High;M520013;x
520014;Head of Government;アレクサンドル・デュトフ;36;PA;Old General;High;M520014;x
520015;Foreign Minister;ディミトリー・クナイエフ;36;LWR;Apologetic Clerk;High;M520015;x
520016;Foreign Minister;ショタ・ウアリカノフ;36;ML;Great Compromiser;High;M520016;x
520017;Foreign Minister;ザウルベク・ライバエフ;36;PA;Iron Fisted Brute;High;M520017;x
520018;Minister of Armament;マジート・ベガリエフ;36;LWR;Laissez-Faire Capitalist;Medium;M520018;x
520019;Minister of Armament;ムクタル・シャカノフ;36;ML;Military Entrepreneur;Medium;M520019;x
520020;Minister of Armament;ガビデン・ムスタフィン;36;PA;Tank Proponent;Medium;M520020;x
520021;Minister of Security;セルゲイ・オクサヌル;36;LWR;Silent Lawyer;Medium;M520021;x
520022;Minister of Security;イトガビト・ムスレポフ;36;ML;Back Stabber;Medium;M520022;x
520023;Minister of Security;アサンベイ・アスカロフ;36;PA;Prince of Terror;Medium;M520023;x
520024;Minister of Security;アゼルバイジャン・マンベトフ;36;PA;Silent Lawyer;Medium;M520024;x
520025;Head of Military Intelligence;ガビデン・ムスタフィン;36;LWR;Industrial Specialist;Medium;M520020;x
520026;Head of Military Intelligence;アイザト・テミルベク;36;ML;Dismal Enigma;Medium;M520026;x
520027;Head of Military Intelligence;ラウシャン・バグラヴァ;36;PA;Political Specialist;Medium;M520027;x
520028;Chief of Staff;グルジャン・アネシャン;36;LWR;School of Defence;Medium;M520028;x
520029;Chief of Staff;ニコライ・スチュコフ;36;ML;School of Fire Support;Medium;M520029;x
520030;Chief of Staff;アレクサンドル・デュトフ;36;PA;School of Mass Combat;Medium;M520030;x
520031;Chief of Army;ニコライ・スタルコフ;36;LWR;Armoured Spearhead Doctrine;Medium;M520031;x
520032;Chief of Army;ニコライ・スタロスティン;36;ML;Static Defence Doctrine;Medium;M520032;x
520033;Chief of Army;アリ・カーン・ブカイクリアノフ;36;PA;Guns and Butter Doctrine;Medium;M520012;x
520034;Chief of Navy;ディミトリー・サマルスキ;36;LWR;Power Projection Doctrine;Medium;M520034;x
520035;Chief of Navy;サラフィン・サルキシアン;36;ML;Base Control Doctrine;Medium;M520035;x
520036;Chief of Navy;マナス・グリンバイジル;36;PA;Indirect Approach Doctrine;Medium;M520036;x
520040;Head of State;カール・プラウマー;36;NS;Reichskommissar;Medium;M520040;x
520037;Chief of Air Force;マナス・グリンバイジル;36;LWR;Naval Aviation Doctrine;Medium;M520036;x
520038;Chief of Air Force;アレクサンドル・スクヴォルツォフ;36;ML;Air Superiority Doctrine;Medium;M520038;x
520039;Chief of Air Force;サラフィン・サルキシアン;36;PA;Vertical Envelopment Doctrine;Medium;M520035;x
