KUR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
548001;Head of State;セイード・リザ・デルシミ;36;PA;Pig-headed Isolationist;High;M548001;x
548002;Head of Government;サイエド・メフメド・セラレディン;36;PA;Silent Workhorse;High;M548002;x
548003;Foreign Minister;デミル・カブリアル;36;PA;Iron Fisted Brute;High;M548003;x
548004;Minister of Armament;メフメド・エミン・パシャ;36;PA;laissez-faire capitalist;Medium;M548004;x
548005;Minister of Security;アブドゥルメシド・ゼルリュー;36;PA;Crime Fighter;Medium;M548005;x
548006;Head of Military Intelligence;カンシン・ユルイサモグル;36;PA;Technical Specialist;Medium;M548006;x
548007;Chief of Staff;サルキス・デミルコル;36;PA;School of Psychology;Medium;M548007;x
548008;Chief of Army;ハジール・エカラン;36;PA;Guns and Butter Doctrine;Medium;M548008;x
548009;Chief of Navy;エルデン・ザファヴィ;36;PA;Open Seas Doctrine;Medium;M548009;x
548010;Chief of Air Force;サルキス・デミルコル;36;PA;Naval Aviation Doctrine;Medium;M548007;x
548011;Head of State;カジ・モハメド;36;SL;Autocratic Charmer;High;M548011;x
548012;Head of State;ムスタファ・バルザニ;36;LWR;Die-hard Reformer;High;M548012;x
548013;Head of Government;サフィー・カジ;36;SL;Naive Optimist;High;M548013;x
548014;Head of Government;カミ・テイムリアン;36;LWR;Ambitious Union Boss;High;M548014;x
548015;Foreign Minister;サドリ・カジ;36;SL;Ideological Crusader;High;M548015;x
548016;Foreign Minister;アルビル・R・ガーセンルー;36;LWR;Great Compromiser;High;M548016;x
548017;Minister of Armament;ヌリ・デルシミ;36;SL;Tank Proponent;Medium;M548017;x
548018;Minister of Armament;カリル・ザダ;36;LWR;Infantry Proponent;Medium;M548018;x
548019;Minister of Security;ワーナー・ベスト;42;PA;Prince of Terror;Medium;M548019;x
548020;Minister of Security;ジャーファル・ナイミ;36;SL;Compassionate Gentleman;Medium;M548020;x
548021;Minister of Security;フィクレト・ライフ;36;LWR;Back Stabber;Medium;M548021;x
548022;Minister of Security;マフマド・カジミ;42;LWR;Man of the People;Medium;M548022;x
548023;Head of Military Intelligence;サー・アーネスト・ミルフォード;36;SL;Political Specialist;Medium;M548023;x
548024;Head of Military Intelligence;オスマン・ルクマン;36;LWR;Logistics Specialist;Medium;M548024;x
548025;Chief of Staff;バラ・イギト;36;SL;School of Mass Combat;Medium;M548025;x
548026;Chief of Staff;ゴーラムハッサン・ローヒザデガン;36;LWR;School of Fire Support;Medium;M548026;x
548027;Chief of Army;デヴリム・タンジュ;36;SL;Static Defence Doctrine;Medium;M548027;x
548028;Chief of Army;ムスタファ・バルザニ;36;LWR;Elastic Defence Doctrine;Medium;M548028;x
548029;Chief of Navy;オフメド・アキカト;36;SL;Indirect Approach Doctrine;Medium;M548029;x
548030;Chief of Navy;ハスビ・キリク;36;LWR;Base Control Doctrine;Medium;M548030;x
548031;Chief of Air Force;アッバス・ザイルプル;36;SL;Carpet Bombing Doctrine;Medium;M548031;x
548032;Chief of Air Force;ボルナ・ヴァルダド;36;LWR;Army Aviation Doctrine;Medium;M548032;x
