KYG;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
521001;Head of State;イゴール・P・ドニアク;36;LE;Stern Imperialist;High;M521001;x
521002;Head of Government;ニコライ・ボゴリュブホフ;36;LE;Corporate Suit;High;M521002;x
521003;Foreign Minister;マクシム・アモソフ;36;LE;Ideological Crusader;High;M521003;x
521004;Minister of Armament;カリナ・アマンクロヴァ;36;LE;Administrative Genius;Medium;M521004;x
521005;Minister of Security;ツラベイ・クレトフ;36;LE;Man of the People;Medium;M521005;x
521006;Head of Military Intelligence;イゴール・N・バラコフ;36;LE;Political Specialist;Medium;M521006;x
521007;Chief of Staff;カルン・ドゥシェバエフ;36;LE;School of Psychology;Medium;M521007;x
521008;Chief of Army;ミハイル・V・フルンゼ;36;LE;Elastic Defence Doctrine;Medium;M521008;x
521009;Chief of Navy;エゴール・ラル;36;LE;Power Projection Doctrine;Medium;L10438;x
521010;Chief of Air Force;トリフィル・ソコロフ;36;LE;Air Superiority Doctrine;Medium;M521010;x
521011;Head of State;イヴァン・F・ソコロフ;36;SD;Pig-headed Isolationist;High;M521011;x
521012;Head of State;バテン・ズマバエフ;36;ML;Autocratic Charmer;High;M521012;x
521013;Head of State;カジム・ティニスタノフ;36;PA;Ruthless Powermonger;High;M521013;x
521014;Head of Government;マクシム・レブロフ;36;SD;Flamboyant Tough Guy;High;M521014;x
521015;Head of Government;アンドレイ・V・ソコロフ;36;ML;Happy Amateur;High;M521015;x
521016;Head of Government;ゼキ・ヴァリドフ;36;PA;Smiling Oilman;High;M521016;x
521017;Foreign Minister;アブドゥカディル・ウラズベコフ;36;LE;General Staffer;High;M521017;x
521018;Foreign Minister;ヨシップ・アブドロカマノフ;36;LE;Great Compromiser;High;M521018;x
521019;Foreign Minister;ナチュム・ソコロフ;36;SD;Biased Intellectual;High;M521019;x
521020;Foreign Minister;グルザト・エヴェルストフ;36;SD;Apologetic Clerk;High;M521020;x
521021;Foreign Minister;ナジラ・ダウレトヴァ;36;ML;Apologetic Clerk;High;M521021;x
521022;Foreign Minister;ムクタル・ザンガリン;36;PA;Great Compromiser;High;M521022;x
521023;Foreign Minister;ヴァシル・ディアンコノフ;36;PA;Iron Fisted Brute;High;M521023;x
521024;Minister of Armament;アブドゥルザティル・ジルディズベク;36;LE;Infantry Proponent;Medium;M521024;x
521025;Minister of Armament;スルタンクル・シャムルジン;36;LE;Air to Ground Proponent;Medium;M521025;x
521026;Minister of Armament;アリク・バキトゥール;36;SD;Tank Proponent;Medium;M521026;x
521027;Minister of Armament;ユーリー・ミトルポリスキー;36;SD;Theoretical Scientist;Medium;M521027;x
521028;Minister of Armament;ヴィクトール・グルシュコフ;36;ML;Theoretical Scientist;Medium;M521028;x
521029;Minister of Armament;スルタン・バキトベク;36;ML;Air to Ground Proponent;Medium;M521029;x
521030;Minister of Armament;アディレト・ルスタモフ;36;PA;Corrupt Kleptocrat;Medium;M521030;x
521031;Minister of Security;アレクシー・ヴァゴフ;36;LE;Efficient Sociopath;Medium;M521031;x
521032;Minister of Security;バヤリ・イサカイエフ;36;LE;Crime Fighter;Medium;M521032;x
521033;Minister of Security;ボリス・シャプルチルニコフ;36;SD;Silent Lawyer;Medium;M521033;x
521034;Minister of Security;ロジラ・ツゲル;36;SD;Back Stabber;Medium;M521034;x
521035;Minister of Security;ジェレナ・シェメレヴァ;36;ML;Prince of Terror;Medium;M521035;x
521036;Minister of Security;ムラト・サリコフ;36;PA;Back Stabber;Medium;M521036;x
521037;Minister of Security;イバン・プリアデズニコフ;36;PA;Prince of Terror;Medium;M521037;x
521038;Head of Military Intelligence;ミハイル・ウス;36;LE;Industrial Specialist;Medium;M521038;x
521039;Head of Military Intelligence;アザマト・チョルポンベク;36;SD;Logistics Specialist;Medium;M521039;x
521040;Head of Military Intelligence;イブラヒム・ヴァリドフ;36;ML;Technical Specialist;Medium;M521040;x
521041;Head of Military Intelligence;ジュルガルール・アディレト;36;ML;Logistics Specialist;Medium;M521041;x
521042;Head of Military Intelligence;マリアム・ツガムバエヴァ;36;PA;Political Specialist;Medium;M521042;x
521043;Head of Military Intelligence;アジズ・ミルル;36;PA;Technical Specialist;Medium;M521043;x
521044;Chief of Staff;イサミル・アブジヤロフ;36;LE;School of Manoeuvre;Medium;M521044;x
521045;Chief of Staff;イヴァン・レドニコフ;36;SD;School of Manoeuvre;Medium;M521045;x
521046;Chief of Staff;ヤグール・バラノフ;36;ML;School of Mass Combat;Medium;M521046;x
521047;Chief of Staff;カール・フォン・バルドルフ;36;PA;School of Fire Support;Medium;M521047;x
