LBY;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
576001;Head of State;グリエルモ・ナシ;36;FA;Ruthless Powermonger;High;L6108;x
576002;Head of Government;イタロ・ガリボルディ;36;FA;Old General;High;L6077;x
576003;Foreign Minister;エットーレ・バスティコ;36;FA;General Staffer;High;L6021;x
576004;Minister of Armament;ジャコモ・アチェルボ;36;FA;Military Entrepreneur;High;M3073;x
576005;Minister of Security;ウンベルト・リッチ;36;FA;Silent Lawyer;High;M3015;x
576006;Head of Military Intelligence;ジョヴァンニ・メッセ;36;PA;Logistics Specialist;Medium;L6102;x
576007;Chief of Staff;ジョヴァンニ・メッセ;36;PA;School of Psychology;Medium;L6102;x
576008;Chief of Army;ロレンツォ・ダルマッゾ;36;PA;Decisive Battle Doctrine;Medium;L6052;x
576009;Chief of Navy;ステファノ・デ・ラウレンティス;36;PA;Base Control Doctrine;Medium;L6166;x
576010;Chief of Air Force;アロルド・ソフリッティ;36;PA;Air Superiority Doctrine;Medium;L6235;x
576011;Head of State;イドリース1世;39;ML;Popular Figurehead;High;M576011;x
576012;Head of Government;ダンカン・C・カミング;39;ML;Corporate Suit;High;M576012;x
576013;Foreign Minister;レナード・F・メイフッド;39;ML;Apologetic Clerk;High;M576013;x
576014;Foreign Minister;エリック・ヴリー・ド・カンドール;42;ML;Great Compromiser;High;M576014;x
576015;Foreign Minister;マフムド・アル＝ムンタシル;46;ML;Ideological Crusader;High;M576015;x
576016;Minister of Armament;ジェームズ・W・N・ホー;39;ML;Resource Industrialist;High;M576016;x
576017;Minister of Armament;ウマル・マンスル・キキア;44;ML;Air Superiority Proponent;High;M576017;x
576018;Minister of Security;アフマド・アル＝ハリクウィ;39;ML;Crooked Kleptocrat;High;M576018;x
576019;Minister of Security;ピーター・B・E・アクランド;43;ML;Efficient Sociopath;High;M576019;x
576020;Minister of Security;ムスタファ・ベン・ハリム;46;ML;Compassionate Gentleman;High;M576020;x
576021;Head of Military Intelligence;C・A・モリス;39;ML;Dismal Enigma;Medium;M576021;x
576022;Head of Military Intelligence;アブドゥル・クバル;45;ML;Technical Specialist;Medium;M576022;x
576023;Chief of Staff;ジョージ・ディロン;39;ML;School of Manoeuvre;Medium;L1339;x
576024;Chief of Staff;マハンマド・サキズリ;45;ML;School of Fire Support;Medium;M576024;x
576025;Chief of Army;G・B・T・サーロウ卿;39;ML;Guns and Butter Doctrine;Medium;M576025;x
576026;Chief of Army;モハンマル・シディク;46;ML;Elastic Defence Doctrine;Medium;M576026;x
576027;Chief of Navy;B・C・S・マーティン;39;ML;Indirect Approach Doctrine;Medium;L1370;x
576028;Chief of Navy;タヘル・キムラニ;45;ML;Open Seas Doctrine;Medium;M576028;x
576029;Chief of Air Force;リチャード・ピアーズ;39;ML;Army Aviation Doctrine;Medium;L1468;x
576030;Chief of Air Force;アリ・アル＝ウムラン;45;ML;Carpet Bombing Doctrine;Medium;M576030;x
