LEB;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
529001;Head of State;エミール・エデー;36;SL;Pig-headed Isolationist;High;M529001;x
529002;Head of Government;アユーブ・タベット;36;SL;Old General;High;M529002;x
529003;Foreign Minister;アブダッラー・アレフ・アル＝ヤフィ;40;SL;General Staffer;High;M529003;x
529004;Minister of Armament;アルフレ・ナカチェ;36;SL;Air to Ground Proponent;Medium;M529004;x
529005;Minister of Security;カレド・チェハブ;40;SL;Prince of Terror;Medium;M529005;x
529006;Head of Military Intelligence;カイレディン・アル＝アフダブ;36;SL;Technical Specialist;Medium;M529006;x
529007;Chief of Staff;アドリアン・ペルティエ;36;SL;School of Manoeuvre;Medium;M529007;x
529008;Chief of Army;アルフレ・カゾー;36;SL;Decisive Battle Doctrine;Medium;M529008;x
529009;Chief of Navy;アシル・ペレティ;36;SL;Power Projection Doctrine;Medium;M529009;x
529010;Chief of Air Force;アンリ・スーラ;36;SL;Naval Aviation Doctrine;Medium;M529010;x
529011;Head of State;アルフレ・ナカチェ;40;SC;Autocratic Charmer;High;M529004;x
529012;Head of State;サーデル・アル＝ムンラ;43;SL;Ruthless Powermonger;High;M529012;x
529013;Head of State;バカラ・アル＝クーリ;36;SC;Barking Buffoon;High;M529013;x
529014;Head of State;シャルル・デバス;36;PA;Die-hard Reformer;High;M529014;x
529015;Head of Government;カイレディン・アル＝アフダブ;37;SL;Naive Optimist;High;M529006;x
529016;Head of Government;カレド・チェハブ;40;ML;Political Protege;High;M529005;x
529017;Head of Government;アブダッラー・アレフ・アル＝ヤフィ;40;ML;Old Admiral;High;M529003;x
529018;Head of Government;アブドゥッラー・バユム;39;SL;Silent Workhorse;High;M529018;x
529019;Head of Government;アルフレ・ナカチェ;41;SL;Ambitious Union Boss;High;M529004;x
529020;Head of Government;アフメド・ダウド;41;SL;Corporate Suit;High;M529020;x
529021;Head of Government;サミ・アッソル;42;SL;Happy Amateur;High;M529021;x
529022;Head of Government;ペトロ・トラド;43;SL;Smiling Oilman;High;M529022;x
529023;Head of Government;リアド・アッソル;43;SC;Silent Workhorse;High;M529023;x
529024;Head of Government;アブドゥル・ハミド・カラミ;45;SC;Flamboyant Tough Guy;High;M529024;x
529025;Head of Government;サミ・アッソル;45;SC;Corporate Suit;High;M529021;x
529026;Head of Government;サーデル・アル＝ムンラ;46;SC;Naive Optimist;High;M529012;x
529027;Head of Government;リアド・アッソル;46;SC;Backroom Backstabber;High;M529023;x
529028;Head of Government;ハビブ・バシャ・エル＝サエド;36;PA;Political Protege;High;M529028;x
529029;Foreign Minister;アブデルクリム・アル＝カッタビ;41;SL;The Cloak N Dagger Schemer;High;M529029;x
529030;Foreign Minister;サミ・アッソル;46;SL;Ideological Crusader;High;M529021;x
529031;Foreign Minister;アブドゥッラー・バユム;36;SC;Apologetic Clerk;High;M529018;x
529032;Foreign Minister;ジャック・バウメル;40;SC;Iron Fisted Brute;High;M529032;x
529033;Foreign Minister;マジド・アルスラン;44;SC;The Cloak N Dagger Schemer;High;M529033;x
529034;Foreign Minister;エミール・エデー;36;PA;Ideological Crusader;High;M529001;x
529035;Minister of Armament;リアド・アッソル;40;SL;Administrative Genius;Medium;M529023;x
529036;Minister of Armament;ラヤン・カディ;44;SL;Tank Proponent;Medium;M529036;x
529037;Minister of Armament;カレド・チェハブ;40;SC;Corrupt Kleptocrat;Medium;M529005;x
529038;Minister of Armament;アフメド・ダウド;39;SC;Infantry Proponent;Medium;M529020;x
529039;Minister of Armament;ナシム・マジュダラニ;45;SC;Resource Industrialist;Medium;M529039;x
529040;Minister of Armament;カイレディン・アル＝アフダブ;36;PA;laissez-faire capitalist;Medium;M529006;x
529041;Minister of Security;アブドゥル・ハミド・カラミ;39;SL;Man of the People;Medium;M529024;x
529042;Minister of Security;ナシム・マジュダラニ;44;SL;Compassionate Gentleman;Medium;M529039;x
529043;Minister of Security;カイレディン・アル＝アフダブ;36;SC;Crime Fighter;Medium;M529006;x
529044;Minister of Security;カマル・ジュムブラト;40;SC;Back Stabber;Medium;M529044;x
529045;Minister of Security;スリマヌ・ナウファイ;45;SC;Efficient Sociopath;Medium;M529045;x
529046;Minister of Security;アユーブ・タベット;36;PA;Compassionate Gentleman;Medium;M529002;x
529047;Head of Military Intelligence;バトリアルク・アル・アムーシ;40;SL;Dismal Enigma;Medium;M529047;x
529048;Head of Military Intelligence;ファディ・イブラヒム;45;SL;Political Specialist;Medium;M529048;x
529049;Head of Military Intelligence;アユーブ・タベット;36;SC;Industrial Specialist;Medium;M529002;x
529050;Head of Military Intelligence;スリマヌ・ナウファイ;43;SC;Logistics Specialist;Medium;M529045;x
529051;Head of Military Intelligence;サーデル・アル＝ムンラ;36;PA;Dismal Enigma;Medium;M529012;x
529052;Chief of Staff;アントワーヌ・ハルブ;44;SL;School of Mass Combat;Medium;M529052;x
529053;Chief of Staff;イスカンデル・ガネム;40;SC;School of Defence;Medium;M529053;x
529054;Chief of Staff;ニコラ・ルミナツォフ;36;PA;School of Psychology;Medium;M529054;x
529055;Chief of Army;ジャミ・ラフード;44;SL;Armoured Spearhead Doctrine;Medium;M529055;x
529056;Chief of Army;フアド・チェハブ;40;SC;Guns and Butter Doctrine;Medium;M529056;x
529057;Chief of Army;ラシュラシュ・アザム;36;PA;Elastic Defence Doctrine;Medium;M529057;x
529058;Chief of Navy;ルイ・フィネ;41;SL;Indirect Approach Doctrine;Medium;M529058;x
529059;Chief of Navy;ナビル・ジャド;43;SC;Open Seas Doctrine;Medium;M529059;x
529060;Chief of Navy;アブダッラー・アレフ・アル＝ヤフィ;40;PA;Decisive Naval Battle Doctrine;Medium;M529003;x
529061;Chief of Air Force;スリマヌ・ナウファイ;44;SL;Air Superiority Doctrine;Medium;M529045;x
529062;Chief of Air Force;エミール・ブスタニ;40;SC;Air Superiority Doctrine;Medium;M529062;x
529063;Chief of Air Force;ペトロ・トラド;36;PA;Army Aviation Doctrine;Medium;M529022;x
529064;Head of Government;アンリ・デンツ;36;PA;Old General;High;L24059;x
529065;Head of Military Intelligence;アンリ・デンツ;36;PA;Logistics Specialist;High;L24059;x
529066;Chief of Staff;アンリ・デンツ;36;PA;School of Defence;High;L24059;x
529067;Foreign Minister;ハミド・ファラニヤ;38;PA;Iron Fisted Brute;Medium;M529067;x
529068;Minister of Armament;カミル・シャムン;38;PA;laissez-faire capitalist;Medium;M529068;x
529069;Head of Military Intelligence;アーマッド・アル・フサイニ;38;PA;Dismal Enigma;Medium;M529069;x
529070;Head of State;カミーユ・シャムン;52;SC;Powerhungry Demagogue;High;M529070;x
529071;Head of Government;ハッサン・アル=オウェイニ;51;SC;Happy Amateur;High;M529071;x
529072;Head of Government;ナジム・アル=アカリ;52;SC;Smiling Oilman;High;M529072;x
529073;Head of Government;セブ・サラム;52;ML;Naive Optimist;High;M529073;x
529074;Foreign Minister;フアド・チェハブ;50;SC;General Staffer;High;M529056;x
