LIT;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
28001;Head of State;アンターナス・スメトナ;36;FA;Weary Stiffneck;High;M28001;x
28002;Head of Government;ユオザス・トゥベリス;36;FA;Political Protege;High;M28002;x
28003;Foreign Minister;スタシス・ロゾライティス;36;FA;Ideological Crusader;Medium;M28003;x
28004;Minister of Armament;ヴァルデマラス・ヴィタウタス＝カルネキス;36;FA;Military Entrepreneur;Medium;M28004;x
28005;Minister of Security;アンターナス・スメトナ;36;FA;Compassionate Gentleman;Medium;M28001;x
28006;Head of Military Intelligence;ドヴァス・ザウニウス;36;FA;Political Specialist;Medium;M28006;x
28007;Chief of Staff;ヨナス・ガルヴィディス＝ビカウスカス;36;FA;School of Defence;Medium;M28007;x
28008;Chief of Army;スタシス・ラシュティキス;36;FA;Elastic Defence Doctrine;Medium;M28008;x
28009;Chief of Navy;ガルニス・ディルマンタス;36;FA;Open Seas Doctrine;Medium;M28009;x
28010;Chief of Air Force;アンタナス・グスタイティス;36;FA;Army Aviation Doctrine;Medium;M28010;x
28031;Head of State;アウグスティナス・ヴォルデマラス;36;NS;Powerhungry Demagogue;High;M28031;x
28032;Head of State;カジス・スキルパ;40;NS;Insignificant Layman;High;M28032;x
28033;Head of State;テオドール・フォン・レンテルン;41;NS;Resigned Generalissimo;High;M28033;x
28035;Head of State;アンタナス・マーキス;40;PA;Benevolent Gentleman;High;M28035;x
28036;Head of State;ヨナス・ゼマイティス;45;PA;Autocratic Charmer;High;M28036;x
28037;Head of State;ユポザス・マシウスナス;36;SC;Benevolent Gentleman;High;M28011;x
28038;Head of State;ユオザス・アンブラゼヴィシウス;41;SC;Insignificant Layman;High;M28020;x
28039;Head of State;アナトリユス・カイリス;45;SC;Die-hard Reformer;High;M28019;x
28040;Head of State;ユスタス・パレキス;38;ST;Insignificant Layman;High;M28021;x
28041;Head of State;アンタナス・スニークス;45;ST;Die-hard Reformer;High;M28041;x
28042;Head of Government;プランシスキス・ミシウナス;38;NS;Happy Amateur;High;M28042;x
28043;Head of Government;ペトラス・クビリウナス;40;NS;Silent Workhorse;High;M28043;x
28044;Head of Government;ヴァルダス・ミロナス;38;FA;Naive Optimist;High;M28044;x
28045;Head of Government;ヨナス・セルニウス;39;FA;Ambitious Union Boss;High;M28014;x
28046;Head of Government;アンタナス・マーキス;39;FA;Smiling Oilman;High;M28035;x
28047;Head of Government;ドヴァス・ザウニウス;40;PA;Happy Amateur;High;M28006;x
28048;Head of Government;カシミラス・ジレンスキーネ;45;PA;Flamboyant Tough Guy;High;M28048;x
28049;Head of Government;リナス・ブロドヴスキス;38;SC;Backroom Backstabber;High;M28015;x
28050;Head of Government;ユオザス・アンブラゼヴィシウス;41;SC;Corporate Suit;High;M28020;x
28051;Head of Government;スタシス・ロゾライティス;45;SC;Happy Amateur;High;M28003;x
28052;Head of Government;ユスタス・パレキス;38;ST;Smiling Oilman;High;M28021;x
28053;Head of Government;ヴィンカス・クレヴェ＝ミケヴィシウス;40;ST;Political Protege;High;M28053;x
28054;Head of Government;アンタナス・スニークス;45;ST;Old Admiral;High;M28041;x
28055;Foreign Minister;ペトラス・ドマルカス;38;NS;Biased Intellectual;Medium;M28055;x
28056;Foreign Minister;アズオラス・クシャト;40;NS;Apologetic Clerk;Medium;M28056;x
28057;Foreign Minister;ペトラス・クビリウナス;41;NS;Ideological Crusader;Medium;M28043;x
28058;Foreign Minister;ユオザス・ウルブシス;38;FA;Ideological Crusader;Medium;M28058;x
28059;Foreign Minister;エルネスタス・ガルヴァナウスカス;40;PA;Apologetic Clerk;Medium;M28059;x
28060;Foreign Minister;アンタナス・マーキス;41;PA;Ideological Crusader;Medium;M28035;x
28061;Foreign Minister;カロリス・ヴィネヴィッツ;45;PA;Iron Fisted Brute;Medium;M28061;x
28062;Foreign Minister;ギードリウス・グリガス;38;SC;Biased Intellectual;Medium;M28062;x
28063;Foreign Minister;ヨナス・ヴァイロカイティス;40;SC;Great Compromiser;Medium;M28063;x
28064;Foreign Minister;スタシス・ロゾライティス;45;SC;Apologetic Clerk;Medium;M28003;x
28065;Foreign Minister;ユスタス・パレキス;38;ST;Ideological Crusader;Medium;M28021;x
28066;Foreign Minister;ヴィンカス・クレヴェ＝ミケヴィシウス;40;ST;Biased Intellectual;Medium;M28053;x
28067;Foreign Minister;カロリス・ディドゥジルス＝グロスマナス;41;ST;The Cloak N Dagger Schemer;Medium;M28067;x
28068;Foreign Minister;メシスロヴァス・ゲドヴィラス;45;ST;Apologetic Clerk;Medium;M28024;x
28069;Minister of Armament;アウグスティナス・ヴォルデマラス;38;NS;Resource Industrialist;Medium;M28031;x
28070;Minister of Armament;ヴィンセンタス・ラトザイテ;40;NS;Strategic Air Proponent;Medium;M28070;x
28071;Minister of Armament;ペトラス・プレチャヴィシウス;41;NS;Military Entrepreneur;Medium;M28071;x
28072;Minister of Armament;ヴァルダス・ユルグティス;38;FA;Resource Industrialist;Medium;M28072;x
28073;Minister of Armament;アンターナス・スメトナ;39;FA;Air to Ground Proponent;Medium;M28001;x
28074;Minister of Armament;ヨナス・セルニウス;40;PA;Battle Fleet Proponent;Medium;M28014;x
28075;Minister of Armament;アラス・アブルティス;45;PA;Administrative Genius;Medium;M28075;x
28076;Minister of Armament;ユオザス・プリキス;38;SC;Administrative Genius;Medium;M28076;x
28077;Minister of Armament;レオナス・ビストラス;41;SC;laissez-faire capitalist;Medium;M28077;x
28078;Minister of Armament;ギンタレ・クルンビテ;45;SC;Corrupt Kleptocrat;Medium;M28078;x
28079;Minister of Armament;ヴィタウタス・マルティナイティス;38;ST;Submarine Proponent;Medium;M28079;x
28080;Minister of Armament;メシスロヴァス・ゲドヴィラス;40;ST;Theoretical Scientist;Medium;M28024;x
28081;Minister of Armament;イシカス・メスクパス＝アドマス;41;ST;Corrupt Kleptocrat;Medium;M28081;x
28082;Minister of Armament;アントナス・サンルキーネ;45;ST;Air to Sea Proponent;Medium;M28082;x
28083;Minister of Security;カジス・スキルパ;38;NS;Prince of Terror;Medium;M28032;x
28084;Minister of Security;ウィルヘルム・クーベ;41;NS;Man of the People;Medium;M28084;x
28085;Minister of Security;ミコラス・スレゼヴィシウス;38;FA;Prince of Terror;Medium;M28085;x
28086;Minister of Security;ヴァルダス・ミロナス;39;FA;Efficient Sociopath;High;M28044;x
28087;Minister of Security;ヴァルデマラス・ヴィタウタス＝カルネキス;39;FA;Crime Fighter;Medium;M28004;x
28088;Minister of Security;ユルギス・ウィンテライチュイテ;40;PA;Crooked Kleptocrat;Medium;M28088;x
28089;Minister of Security;ヨナス・エンドラシウス;41;PA;Back Stabber;Medium;M28089;x
28090;Minister of Security;ミシスロヴァス・レイニス;45;PA;Efficient Sociopath;Medium;M28090;x
28091;Minister of Security;プラナス・ドヴィダイティス;38;SC;Silent Lawyer;Medium;M28091;x
28092;Minister of Security;リナス・ブロドヴスキス;40;SC;Efficient Sociopath;Medium;M28015;x
28093;Minister of Security;ミコラス・フィリパヴィシウス;45;SC;Compassionate Gentleman;Medium;M28093;x
28094;Minister of Security;ドマス・ロシウス;38;ST;Efficient Sociopath;Medium;M28094;x
28095;Minister of Security;ポヴィラス・パカルクリス;40;ST;Silent Lawyer;Medium;M28025;x
28096;Minister of Security;アンタナス・スニークス;41;ST;Crime Fighter;Medium;M28041;x
28097;Minister of Security;ユオザス・クプシンカス;45;ST;Compassionate Gentleman;Medium;M28097;x
28098;Minister of Security;ユルギス・ターレカス;46;ST;Prince of Terror;Medium;M28098;x
28099;Head of Military Intelligence;プランシスキス・ミシウナス;38;NS;Logistics Specialist;Medium;M28042;x
28100;Head of Military Intelligence;テオドール・フォン・レンテルン;41;NS;Dismal Enigma;High;M28033;x
28101;Head of Military Intelligence;ユオザス・トゥベリス;38;FA;Logistics Specialist;Medium;M28002;x
28102;Head of Military Intelligence;ユオザス・バルタキス;39;FA;Political Specialist;Medium;M28102;x
28103;Head of Military Intelligence;フランシスクス・イヴィンスキス;40;PA;Logistics Specialist;High;M28103;x
28104;Head of Military Intelligence;カシミラス・ジレンスキーネ;41;PA;Industrial Specialist;High;M28048;x
28105;Head of Military Intelligence;ユオザス・アルサウスカス;45;PA;Naval Intelligence Specialist;High;M28105;x
28106;Head of Military Intelligence;ユポザス・マシウスナス;38;SC;Political Specialist;Medium;M28011;x
28107;Head of Military Intelligence;ユルギス・サウリス;41;SC;Technical Specialist;Medium;M28107;x
28108;Head of Military Intelligence;アタナス・セポニス;45;SC;Dismal Enigma;Medium;M28108;x
28109;Head of Military Intelligence;ヴィンセンタス・レスキーン;38;ST;Industrial Specialist;Medium;M28109;x
28110;Head of Military Intelligence;ヴィタウタス・アンブラザス;40;ST;Political Specialist;Medium;M28110;x
28111;Head of Military Intelligence;チャイマス・アイゼナス;41;ST;Dismal Enigma;Medium;M28111;x
28112;Head of Military Intelligence;プラナス・ジベルタス;45;ST;Technical Specialist;Medium;M28026;x
28113;Chief of Staff;ペトラス・クビリウナス;38;NS;School of Mass Combat;Medium;M28043;x
28114;Chief of Staff;ヨナス・セルニウス;36;FA;School of Manoeuvre;High;M28014;x
28115;Chief of Staff;スタシス・ラシュティキス;38;FA;School of Fire Support;Medium;M28008;x
28117;Chief of Staff;ヨナス・ゼマイティス;45;PA;School of Psychology;High;M28036;x
28118;Chief of Staff;ユオザ・バルズダ＝ブラダウスカス;38;SC;School of Psychology;Medium;M28017;x
