LUX;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
66001;Head of State;シャルロッテ;36;SC;Autocratic Charmer;High;M66001;x
66002;Head of Government;ジョゼフ・ベッシュ;36;SC;Naive Optimist;High;M66002;x
66003;Foreign Minister;ジョゼフ・ベッシュ;36;SC;Ideological Crusader;Very High;M66002;x
66004;Minister of Armament;ピエール・デュポン;36;SC;laissez-faire capitalist;Very High;M66004;x
66005;Minister of Security;ノルベルト・ドゥモント;36;SC;Crime Fighter;Very High;M66005;x
66006;Head of Military Intelligence;ニコラス・マルケ;36;SC;Industrial Specialist;Very High;M66006;x
66007;Chief of Staff;ピエール・デュポン;36;SC;School of Defence;Very High;M66004;x
66008;Chief of Army;エミーレ・シュペラー;36;SC;Static Defence Doctrine;Very High;M66008;x
66009;Chief of Navy;エミーレ・シュペラー;36;SC;Open Seas Doctrine;Very High;M66008;x
66010;Chief of Air Force;ニコラス・ディートリヒ;36;SC;Army Aviation Doctrine;Very High;M66010;x
66034;Head of State;アレクサンダー・フォン・ファルケンハウゼン;40;FA;Resigned Generalissimo;High;M66034;x
66035;Head of State;ギヨーム・ソワッソン;45;PA;Popular Figurehead;High;M66016;x
66036;Head of State;パウル・メディンガー;36;LE;Pig-headed Isolationist;High;M66021;x
66037;Head of State;マルティン・カープ;45;LWR;Die-hard Reformer;High;M66024;x
66038;Head of Government;ピエール・デュポン;37;SC;Silent Workhorse;High;M66004;x
66039;Head of Government;ルネ・ブルム;36;SD;Ambitious Union Boss;High;M66039;x
66040;Head of Government;ダミアン・クラッツェンベルク;36;FA;Corporate Suit;High;M66011;x
66041;Head of Government;ギヨーム・ソワッソン;45;PA;Happy Amateur;High;M66016;x
66042;Head of Government;パウル・メディンガー;36;LE;Ambitious Union Boss;High;M66021;x
66043;Head of Government;マルティン・カープ;45;LWR;Corporate Suit;High;M66024;x
66045;Foreign Minister;ピエール・クリアー;36;SD;Apologetic Clerk;High;M66045;x
66046;Foreign Minister;ルネ・ブルム;39;SD;Iron Fisted Brute;High;M66039;x
66047;Foreign Minister;ダミアン・クラッツェンベルク;36;FA;Biased Intellectual;Low;M66011;x
66048;Foreign Minister;ヘンリ・アーネン;45;PA;Iron Fisted Brute;Medium;M66015;x
66049;Foreign Minister;パウル・メディンガー;36;LE;Biased Intellectual;Medium;M66021;x
66050;Foreign Minister;フランソワ・シャメル;45;LWR;General Staffer;Very High;M66050;x
66052;Minister of Armament;ジュール・カイファー;44;SC;Military Entrepreneur;Medium;M66052;x
66053;Minister of Armament;アウグステ・オスター;45;SC;Administrative Genius;High;M66053;x
66054;Minister of Armament;ピエール・クリアー;36;SD;Resource Industrialist;High;M66045;x
66055;Minister of Armament;アレックス・フェーデルシュピール;40;SD;Infantry Proponent;Medium;M66055;x
66056;Minister of Armament;ギュスターヴ・ファーヴェル;36;FA;Tank Proponent;Medium;M66014;x
66057;Minister of Armament;フィリップ・ホフマン;45;PA;Theoretical Scientist;Medium;M66057;x
66058;Minister of Armament;マルティン・カープ;36;LE;Infantry Proponent;Medium;M66024;x
