MAL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
539001;Head of State;マルセル・ド・コペ;36;SL;Popular Figurehead;High;M538014;x
539002;Head of Government;オズワルド・デュランド;36;SL;Ambitious Union Boss;High;M533026;x
539003;Foreign Minister;フェルディナンド・J・L・ルージェ;36;SL;Iron Fisted Brute;High;M539003;x
539004;Minister of Armament;ピエール・ボワソン;36;SL;Theoretical Scientist;Medium;M534010;x
539005;Minister of Security;マルティン・カイラ;36;SL;Compassionate Gentleman;Medium;M539005;x
539006;Head of Military Intelligence;クリスティアン・レグレ;36;SL;Logistics Specialist;Medium;M539006;x
539007;Chief of Staff;ピエール・シャルル・クールネール;36;SL;School of Fire Support;Medium;M534004;x
539008;Chief of Army;ジャン＝ルイ・ベイリエ;36;SL;Guns and Butter Doctrine;Medium;M539008;x
539009;Chief of Navy;ピエール・ポンシャルデイア;36;SL;Open Seas Doctrine;Medium;M539009;x
539010;Chief of Air Force;アンリ・トゥールト;36;SL;Vertical Envelopment Doctrine;Medium;M539010;x
539011;Head of State;レオン・カイラ;38;SL;Resigned Generalissimo;High;M538001;x
539012;Head of State;ピエール・ボワソン;40;SL;Powerhungry Demagogue;High;M534010;x
539013;Head of State;ピエール・シャルル・クールネール;43;SL;Insignificant Layman;High;M534004;x
539014;Head of State;レネ・V・M・バルト;46;SL;Pig-headed Isolationist;High;M539014;x
539015;Head of State;マルティン・カイラ;36;PA;Benevolent Gentleman;High;M539005;x
539016;Head of State;レオポルド・セダール・サンゴール;36;LWR;Die-hard Reformer;High;M539016;x
539017;Head of Government;ジャン＝ルイ・ベイリエ;38;SL;Naive Optimist;High;M539008;x
539018;Head of Government;クリスティアン・レグレ;44;SL;Political Protege;High;M539006;x
539019;Head of Government;アンリ・ド・モデュイ;45;SL;Corporate Suit;High;M533025;x
539020;Head of Government;フェルディナンド・J・L・ルージェ;36;PA;Backroom Backstabber;High;M539003;x
539021;Head of Government;モクタール・ウルド・ダッダ;36;LWR;Silent Workhorse;High;M539021;x
539022;Foreign Minister;ジャン・デザンティ;38;SL;Biased Intellectual;High;M539022;x
539023;Foreign Minister;オーギュスト・カルヴェル;42;SL;Apologetic Clerk;High;M539023;x
539024;Foreign Minister;ジャン＝ルイ・ベイリエ;36;PA;General Staffer;High;M539008;x
539025;Foreign Minister;モディボ・ケイタ;36;LWR;Apologetic Clerk;High;M539025;x
539026;Minister of Armament;モーリス・ギョード;39;SL;Tank Proponent;Medium;M539026;x
539027;Minister of Armament;レオポルド・セダール・サンゴール;43;SL;Administrative Genius;Medium;M539016;x
539028;Minister of Armament;クリスティアン・レグレ;36;PA;Air Superiority Proponent;Medium;M539006;x
539029;Minister of Armament;ママドゥー・ディア;36;LWR;Battle Fleet Proponent;Medium;M539029;x
539030;Minister of Security;ジャン・クルエ・デ・ペルシェ;42;SL;Prince of Terror;Medium;M539030;x
539031;Minister of Security;ポール・リベイレ;45;SL;Efficient Sociopath;Medium;M539031;x
539032;Minister of Security;オズワルド・デュランド;36;PA;Back Stabber;Medium;M533026;x
539033;Minister of Security;フィリ・ダボ・シソコ;43;PA;Crime Fighter;Medium;M539033;x
539034;Minister of Security;ママドゥー・コナテ;36;LWR;Prince of Terror;Medium;M539034;x
539035;Head of Military Intelligence;レネ・V・M・バルト;43;SL;Political Specialist;Medium;M539014;x
539036;Head of Military Intelligence;マルティン・カイラ;36;PA;Dismal Enigma;Medium;M539005;x
539037;Head of Military Intelligence;アウア・ケイタ;36;LWR;Industrial Specialist;Medium;M539037;x
539038;Chief of Staff;ポール・モゲズ;43;SL;School of Psychology;Medium;M539038;x
539039;Chief of Staff;レオン・カイラ;36;PA;School of Defence;Medium;M538001;x
539040;Chief of Staff;アブダラ・スマレ;36;LWR;School of Fire Support;Medium;M539040;x
539041;Chief of Army;アイメ・テセール;42;SL;Decisive Battle Doctrine;Medium;M539041;x
539042;Chief of Army;アンリ・ヴェルディエ;36;PA;Static Defence Doctrine;Medium;M539042;x
539043;Chief of Army;アンリ・ロル＝タンギー;36;LWR;Decisive Battle Doctrine;Medium;M539043;x
539044;Chief of Navy;ジャン・デザンティ;36;PA;Indirect Approach Doctrine;Medium;M539022;x
539045;Chief of Navy;ウスマーヌ・イブラヒム・サル;36;LWR;Decisive Naval Battle Doctrine;Medium;M539045;x
539046;Chief of Air Force;イヴ・ムリエル;42;SL;Army Aviation Doctrine;Medium;M539046;x
539047;Chief of Air Force;オーギュスト・カルヴェル;36;PA;Naval Aviation Doctrine;Medium;M539023;x
539048;Chief of Air Force;ウマール・ウッセイヌ;36;LWR;Air Superiority Doctrine;Medium;M539048;x
