MAN;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
58001;Head of State;溥儀 (プーイー);35;PA;Puyi;High;M58001;x
58002;Head of Government;張景惠 (チャン・チンフイ);35;FA;Happy Amateur;High;M58002;x
58003;Foreign Minister;張景惠 (チャン・チンフイ);35;FA;Iron Fisted Brute;Medium;M58002;x
58004;Minister of Armament;李紹庚 (リー・シャオケン);35;FA;Military Entrepreneur;Medium;M58004;x
58005;Minister of Security;チン・チューハン;35;FA;Back Stabber;Medium;M58005;x
58006;Head of Military Intelligence;川島芳子;35;PA;Moikawashima;Medium;M58006;x
58007;Chief of Staff;吉興 (チ・シン);35;FA;School of Defence;Medium;M58007;x
58008;Chief of Army;吉興 (チ・シン);35;FA;Static Defence Doctrine;Medium;M58007;x
58009;Chief of Navy;セルゲイ・ラミルチェフ;35;FA;Indirect Approach Doctrine;Medium;M58009;x
58010;Chief of Air Force;横山正幸;35;FA;Vertical Envelopment Doctrine;Medium;M58010;x
58011;Head of State;川島芳子;40;PA;Popular Figurehead;High;M58006;x
58012;Head of State;溥儀 (プーイー);41;NS;Popular Figurehead;High;M58001;x
58013;Head of State;溥儀 (プーイー);35;FA;Popular Figurehead;High;M58001;x
58014;Head of Government;劉春福 (リオウ・ツェンフォウ);37;FA;Naive Optimist;High;M58014;x
58015;Head of Government;于深澄 (ウェイ・チェンチェン);38;FA;Old General;High;M58015;x
58016;Head of Government;安達峰一郎;41;FA;Silent Workhorse;High;M58016;x
58017;Head of Government;松山常次郎;43;FA;Happy Amateur;High;M58017;x
58019;Head of Government;婁晨 (ロー・チェン);45;PA;Happy Amateur;High;M58019;x
58020;Head of Government;チャオ・シンチュウ;46;PA;Political Protege;High;M58020;x
58021;Foreign Minister;蔡運升 (ツァイ・ユンシェン);37;FA;Ideological Crusader;Medium;M58021;x
58022;Foreign Minister;貝祖詒 (ペイ・ツーイー);38;FA;Great Compromiser;Medium;M58022;x
58023;Foreign Minister;飯田楠雄;41;FA;Iron Fisted Brute;Medium;M58023;x
58024;Foreign Minister;永井松三;43;FA;Ideological Crusader;Medium;M58024;x
58025;Foreign Minister;李紹庚 (リー・シャオケン);44;FA;Biased Intellectual;Medium;M58004;x
58026;Foreign Minister;オエイ・フイラン;45;PA;The Cloak N Dagger Schemer;Very Low;M58026;x
58027;Foreign Minister;溥儀 (プーイー);46;PA;Great Compromiser;Very High;M58001;x
58028;Minister of Armament;劉春福 (リオウ・ツェンフォウ);37;FA;Battle Fleet Proponent;Medium;M58014;x
58029;Minister of Armament;石黒四郎;38;FA;Submarine Proponent;Medium;M58029;x
58030;Minister of Armament;津島壽一;41;FA;Laissez-Faire Capitalist;Medium;M58030;x
58031;Minister of Armament;石井菊次郎;43;PA;Strategic Air Proponent;Medium;M58031;x
58032;Minister of Armament;目賀田種太郎;44;PA;Air to Ground Proponent;Medium;M58032;x
58033;Minister of Armament;顧維均 (キュイン・ウェリントン・クー);45;PA;Corrupt Kleptocrat;Very Low;M58033;x
58034;Minister of Armament;ロー・ツァンイン;46;PA;Administrative Genius;Very High;M58034;x
58036;Minister of Security;蘇成 (ソウメ・チェン);38;FA;Crime Fighter;Medium;M58036;x
58037;Minister of Security;安達峰一郎;41;FA;Prince of Terror;Low;M58016;x
58038;Minister of Security;林権助;43;FA;Crime Fighter;Low;M58038;x
58040;Minister of Security;タン・ツァイフォウ;45;PA;Crooked Kleptocrat;Very Low;M58040;x
58041;Minister of Security;チャオ・チュウウ;46;PA;Man of the People;Very High;M58041;x
58042;Head of Military Intelligence;王寵惠 (ワン・チャンフイ);37;FA;Naval Intelligence Specialist;Medium;M58042;x
58043;Head of Military Intelligence;于深澄 (ウェイ・チェンチェン);38;FA;Dismal Enigma;High;M58015;x
58044;Head of Military Intelligence;齋藤博;41;FA;Logistics Specialist;High;M58044;x
58045;Head of Military Intelligence;松山常次郎;43;FA;Industrial Specialist;Medium;M58017;x
58046;Head of Military Intelligence;深井英五;44;FA;Dismal Enigma;Medium;M58046;x
58047;Head of Military Intelligence;ラン・ファンメイ;45;PA;Naval Intelligence Specialist;Very Low;M58047;x
58048;Head of Military Intelligence;チャン・スリー;46;PA;Industrial Specialist;Very High;M58048;x
58049;Chief of Staff;刑士廉 (シン・シリアン);37;FA;School of Psychology;Medium;M58049;x
58050;Chief of Staff;川島芳子;38;PA;School of Mass Combat;Medium;M58006;x
58051;Chief of Staff;中島今朝吾;41;FA;School of Defence;Medium;M58051;x
