MEX;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
36001;Head of State;ラサロ・カルデナス;36;SD;Autocratic Charmer;High;M36001;x
36002;Head of Government;ラサロ・カルデナス;36;SD;Flamboyant Tough Guy;High;M36001;x
36003;Foreign Minister;エドゥアルド・アイ;36;SD;Great Compromiser;Medium;M36003;x
36004;Minister of Armament;エンリケ・エストラダ・レイノソ;36;SD;Infantry Proponent;High;M36004;x
36005;Minister of Security;フランシスコ・U・ベナビデス;36;SD;Man of the People;Medium;M36005;x
36006;Head of Military Intelligence;プルタルコ・E・カリェス;36;SD;Political Specialist;Medium;M36006;x
36007;Chief of Staff;ベンハミン・G・イル;36;SD;School of Defence;Very High;M36007;x
36008;Chief of Army;パブロ・キロガ・エスカミリョ;36;SD;Static Defence Doctrine;Medium;M36008;x
36009;Chief of Navy;エクトル・メイクセイロ;36;SD;Open Seas Doctrine;Medium;M36009;x
36010;Chief of Air Force;グスタボ・サリナス・カミナ;36;SD;Air Superiority Doctrine;Medium;M36010;x
36032;Head of State;マヌエル・アビラ・カマチョ;40;SD;Stern Imperialist;High;M36032;x
36033;Head of State;ミゲル・アレマン・バルデス;46;SD;Benevolent Gentleman;High;M36033;x
36034;Head of State;マヌエル・M・マルケス;40;SC;Insignificant Layman;High;M36034;x
36035;Head of State;ルイス・ブスタマンテ・ベニテス;46;SC;Powerhungry Demagogue;High;M36035;x
36036;Head of State;ピノ・G・カリェス;40;PA;Resigned Generalissimo;High;M36011;x
36037;Head of State;ファン・アンドリュー・アルマサン;46;PA;Popular Figurehead;High;M36014;x
36038;Head of State;ビセンテ・ロンバルド・トレダーノ;40;LE;Barking Buffoon;High;M36021;x
36039;Head of State;プロコピオ・エレーラ;46;LE;Die-hard Reformer;High;M36025;x
36041;Head of Government;マヌエル・アビラ・カマチョ;40;SD;Corporate Suit;High;M36032;x
36042;Head of Government;ミゲル・アレマン・バルデス;46;SD;Smiling Oilman;High;M36033;x
36043;Head of Government;マヌエル・M・マルケス;40;SC;Old General;High;M36034;x
36044;Head of Government;ルイス・ブスタマンテ・ベニテス;46;SC;Silent Workhorse;High;M36035;x
36045;Head of Government;ルイス・G・キンタナ;40;FA;Political Protege;High;M36012;x
36046;Head of Government;ファン・アンドリュー・アルマサン;46;PA;Happy Amateur;High;M36014;x
36047;Head of Government;ビセンテ・ロンバルド・トレダーノ;40;LE;Happy Amateur;High;M36021;x
36048;Head of Government;プロコピオ・エレーラ;46;LE;Naive Optimist;High;M36025;x
36050;Foreign Minister;エセキエル・パディーリャ・ペニャロサ;40;SD;Iron Fisted Brute;Medium;M36050;x
36051;Foreign Minister;フランシスコ・カスティリョ・ナヘラ;45;SD;General Staffer;Medium;M36051;x
36052;Foreign Minister;ハイメ・トレス・ボデ;46;SD;Apologetic Clerk;Medium;M36052;x
36053;Foreign Minister;アレッソ・メレシオ;40;SC;Biased Intellectual;Medium;M36053;x
36054;Foreign Minister;ファン・アンドリゥー・アラマサ;44;SC;Great Compromiser;Medium;M36054;x
36055;Foreign Minister;ファン・G・ラスカラン;46;SC;Apologetic Clerk;Medium;M36055;x
36056;Foreign Minister;ピノ・G・カリェス;40;PA;Biased Intellectual;Very Low;M36011;x
36057;Foreign Minister;フランシスコ・R・セラノ;46;PA;General Staffer;Medium;M36057;x
36058;Foreign Minister;マリアーノ・ポントン;40;LE;The Cloak N Dagger Schemer;Very High;M36023;x
36059;Foreign Minister;ビセンテ・ロンバルド・トレダーノ;43;LE;Biased Intellectual;Very Low;M36021;x
36060;Foreign Minister;マヌエル・C・テリェス;46;LE;Apologetic Clerk;Medium;M36060;x
36061;Minister of Armament;エミリオ・ポルテス・ヒル;38;SD;Submarine Proponent;Medium;M36061;x
36062;Minister of Armament;リオベルト・G・マケオ;40;SD;Battle Fleet Proponent;Medium;M36062;x
36063;Minister of Armament;ホセ・マヌエル・プイグ;42;SD;Theoretical Scientist;Medium;M36063;x
36064;Minister of Armament;アントニオ・カストロ・レアル;44;SD;Tank Proponent;Medium;M36064;x
36065;Minister of Armament;アドルフォ・ルイス・コルティネス;46;SD;Administrative Genius;Medium;M36065;x
36066;Minister of Armament;フランシスコ・R・セラノ;40;SC;Resource Industrialist;Medium;M36057;x
36067;Minister of Armament;フロレンティノ・サンタナ;46;SC;laissez-faire capitalist;Medium;M36067;x
36068;Minister of Armament;ファン・アンドリュー・アルマサン;40;FA;Corrupt Kleptocrat;Medium;M36014;x
36069;Minister of Armament;マヌエル・M・マルケス;43;PA;laissez-faire capitalist;Medium;M36034;x
36070;Minister of Armament;ルイス・G・キンタナ;46;PA;Military Entrepreneur;Low;M36012;x
36071;Minister of Armament;ドロレス・サンタピアボ;40;LE;Air to Ground Proponent;Medium;M36071;x
36072;Minister of Armament;フランシスコ・I・カシアン;43;LE;Administrative Genius;Medium;M36024;x
36073;Minister of Security;アンドレス・F・フィゲロア;38;SD;Crime Fighter;Medium;M36073;x
36074;Minister of Security;ヘナロ・エストラダ;40;SD;Prince of Terror;High;M36074;x
