MLY;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
565001;Head of State;サー・ステントン・トーマス;35;ML;Weary Stiffneck;High;M565001;x
565002;Head of Government;サー・ジェラルド・W・R・テンプラー;35;ML;Old General;High;M565002;x
565003;Foreign Minister;サー・ヘンリー・ゴールズワーシー・ガーニー;35;ML;General Staffer;High;M565003;x
565004;Minister of Armament;サー・ヒュー・スタイン・フレーザー;35;ML;Tank Proponent;Medium;M565004;x
565005;Minister of Security;チャールズ・ヒックス;35;ML;Back Stabber;Medium;M565005;x
565006;Head of Military Intelligence;サー・ジェラルド・E・J・ジェント;35;ML;Technical Specialist;Medium;M565006;x
565007;Chief of Staff;サー・ウィリアム・ドビー;35;ML;School of Psychology;Medium;M565007;x
565008;Chief of Army;アーサー・パーシヴァル;35;ML;Static Defence Doctrine;Medium;M565008;x
565009;Chief of Navy;ジョン・アチャーリー;35;ML;Decisive Naval Battle Doctrine;Medium;M565009;x
565010;Chief of Air Force;G・T・ジャーマン;35;ML;Air Superiority Doctrine;Medium;M565010;x
565011;Head of State;トゥンク・アウドゥル・ラーマン;35;SD;Popular Figurehead;High;M565011;x
565012;Head of State;ペラク藩王イスカンダー1世;35;PA;Pig-headed Isolationist;High;M565012;x
565013;Head of Government;デーヴィッド・S・マーシャル;35;SD;Corporate Suit;High;M565013;x
565014;Head of Government;ケランタン藩王イブラヒム4世;35;PA;Backroom Backstabber;High;M565014;x
565015;Foreign Minister;タン・チェンク・ロック;35;SD;Great Compromiser;High;M565015;x
565016;Foreign Minister;ハムザ・ウル＝ライル;35;PA;The Cloak N Dagger Schemer;High;M565016;x
565017;Minister of Armament;アブドゥル・ラーマン・シャー;35;SD;Military Entrepreneur;Medium;M565017;x
565018;Minister of Armament;トーマス・アシュトン・オブ・ハイド;41;ML;Resource Industrialist;Medium;M565018;x
565019;Minister of Armament;ヤヒヤ・ウル＝ナイム;35;PA;laissez-faire capitalist;Medium;M565019;x
565020;Minister of Security;リム・ユー・ホック;35;SD;Prince of Terror;Medium;M565020;x
565021;Minister of Security;アーサー・E・ヤング;42;ML;Crime Fighter;Medium;M565021;x
565022;Minister of Security;ナグリ・センビラン藩王トゥアンク・ムハンメド;35;PA;Efficient Sociopath;Medium;M565022;x
565023;Minister of Security;アブドゥル・ハミド・アフマド;42;PA;Silent Lawyer;Medium;M565023;x
565024;Head of Military Intelligence;ムハンメド・ヤング・ベサール;35;SD;Dismal Enigma;Medium;M565024;x
565025;Head of Military Intelligence;リー・クアン・ユー;43;SD;Industrial Specialist;Medium;M565025;x
565026;Head of Military Intelligence;サー・ジェラルド・W・R・テンプラー;43;ML;Logistics Specialist;Medium;M565026;x
565027;Head of Military Intelligence;アブドゥル・マナプ・ビン・トロク;35;PA;Political Specialist;Medium;M565027;x
565028;Head of Military Intelligence;タンピン藩王イドルス・ビン・トゥンカ;41;PA;Naval Intelligence Specialist;Medium;M565028;x
565029;Chief of Staff;アブドゥル・ハミド・シャー;35;SD;School of Defence;Medium;M565029;x
565030;Chief of Staff;トゥンク・アブドゥル・ラーマン;44;SD;School of Manoeuvre;Medium;M565030;x
565031;Chief of Staff;イブラヒム・アル＝マンスール;35;PA;School of Mass Combat;Medium;M565031;x
565032;Chief of Army;ムヒブ・サルタン・バドリシャー;35;SD;Guns and Butter Doctrine;Medium;M565032;x
565033;Chief of Army;ロバート・ブルック＝ポファム;42;ML;Elastic Defence Doctrine;Medium;L1051;x
565034;Chief of Army;サー・ジェラルド・W・R・テンプラー;45;ML;Decisive Battle Doctrine;Medium;M565034;x
565035;Chief of Army;ペルリス藩王ハルン・プトラ;35;PA;Armoured Spearhead Doctrine;Medium;M565035;x
565036;Chief of Navy;モハンメド・ラーマン・アリ;35;SD;Base Control Doctrine;Medium;M565036;x
565037;Chief of Navy;ペルリス藩王サイド・ウル＝ライル;35;PA;Open Seas Doctrine;Medium;M565037;x
565038;Chief of Air Force;ワン・スレイマン;35;SD;Carpet Bombing Doctrine;Medium;M565038;x
565039;Chief of Air Force;セランゴール藩王ヒサム2世;35;PA;Naval Aviation Doctrine;Medium;M565039;x
565100;Head of Military Intelligence;ハリマオ;38;PA;Dismal Enigma;Medium;M565100;x
565101;Head of State;トゥンク・アブドゥル・ラーマン;35;PA;Popular Figurehead;High;M565011;x
