MOR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
531001;Head of State;ムハンメド5世;36;SC;Powerhungry Demagogue;High;M531001;x
531002;Head of Government;マルセル・ペイルトン;36;SC;Ambitious Union Boss;High;M530005;x
531003;Foreign Minister;アフメド・ベラフレジュ;36;SC;Biased Intellectual;High;M531003;x
531004;Minister of Armament;エミール・ユーグ;36;SC;Military Entrepreneur;Medium;M531004;x
531005;Minister of Security;フランシス＝ルイ・クロゾン;36;SC;Back Stabber;Medium;M531005;x
531006;Head of Military Intelligence;ルネ・カサン;36;SC;Dismal Enigma;Medium;M531006;x
531007;Chief of Staff;テオフィル・ラ・ギラン;36;SC;School of Manoeuvre;Medium;M531007;x
531008;Chief of Army;アルベール・ギヨーム;36;SC;Decisive Battle Doctrine;Medium;M531008;x
531009;Chief of Navy;ジョルジュ・カバニエ;36;SC;Decisive Naval Battle Doctrine;Medium;M531009;x
531010;Chief of Air Force;エドゥアール・コルニグリオン＝モリニエ;36;SC;Army Aviation Doctrine;Medium;M531010;x
531011;Head of State;アッラル・エル＝ファシ;36;LWR;Weary Stiffneck;High;M531011;x
531012;Head of Government;シャルル・ノグ;36;SC;Old General;High;L24124;x
531013;Head of Government;ガブリエル・ピュオー;43;SC;Silent Workhorse;High;M528008;x
531014;Head of Government;エリック・ラボンヌ;46;SC;Naive Optimist;High;M531014;x
531015;Head of Government;アッラル・エル＝ファシ;36;LWR;Flamboyant Tough Guy;High;M531011;x
531016;Head of Government;メフディ・ベン＝バルカ;46;LWR;Smiling Oilman;High;M531016;x
531017;Foreign Minister;アブダッラー・イブラヒム;43;SC;The Cloak N Dagger Schemer;High;M531017;x
531018;Foreign Minister;サナ・マディハ;36;LWR;The Cloak N Dagger Schemer;High;M531018;x
531019;Foreign Minister;メフディ・ベン＝バルカ;44;LWR;Apologetic Clerk;High;M531016;x
531020;Minister of Armament;エリック・ラボンヌ;43;SC;Resource Industrialist;Medium;M531014;x
531021;Minister of Armament;メフディ・ベン＝バルカ;45;SC;Air Superiority Proponent;Medium;M531016;x
531022;Minister of Armament;ルネ・カサン;36;LWR;Air to Ground Proponent;Medium;M531022;x
531023;Minister of Security;エドゥアール・コルニグリオン＝モリニエ;42;SC;Compassionate Gentleman;Medium;M531023;x
531024;Minister of Security;モハンメド・ウフキル;46;SC;Efficient Sociopath;Medium;M531024;x
531025;Minister of Security;ムバラク・ベッカル;36;LWR;Prince of Terror;Medium;M531025;x
531026;Head of Military Intelligence;アッラル・エル＝ファシ;42;SC;Political Specialist;Medium;M531011;x
531027;Head of Military Intelligence;ムバラク・ベッカル;46;SC;Industrial Specialist;Medium;M531025;x
531028;Head of Military Intelligence;アフメド・ドリミ;36;LWR;Logistics Specialist;Medium;M531028;x
531029;Chief of Staff;ジャック・ド・ラ・ボラルディエル;42;SC;School of Mass Combat;Medium;M531029;x
531030;Chief of Staff;マフード・ガルバウイ;45;SC;School of Psychology;Medium;M531030;x
531031;Chief of Staff;イスレム・ハジラ;36;LWR;School of Mass Combat;Medium;M531031;x
531032;Chief of Staff;マフード・ガルバウイ;45;LWR;School of Psychology;Medium;M531030;x
531033;Chief of Army;ジョルジュ・ジャンペラン;42;SC;Armoured Spearhead Doctrine;Medium;M531033;x
531034;Chief of Army;アブダッラー・ヌミチ;45;SC;Static Defence Doctrine;Medium;M531034;x
531035;Chief of Army;イスレム・ハジラ;36;LWR;Elastic Defence Doctrine;Medium;M531031;x
531036;Chief of Army;アブダッラー・ヌミチ;44;LWR;Static Defence Doctrine;Medium;M531034;x
531037;Chief of Navy;ジャメル・アブデルムネム;45;SC;Power Projection Doctrine;Medium;M531037;x
531038;Chief of Navy;ルネ・カサン;36;LWR;Base Control Doctrine;Medium;M531022;x
531039;Chief of Navy;ジャメル・アブデルムネム;45;LWR;Power Projection Doctrine;Medium;M531037;x
531040;Chief of Air Force;クリスチャン・マルテル;42;SC;Air Superiority Doctrine;Medium;M531040;x
531041;Chief of Air Force;ファウジ・ジュマナ;45;SC;Vertical Envelopment Doctrine;Medium;M531041;x
531042;Chief of Air Force;アフメド・ドリミ;36;LWR;Carpet Bombing Doctrine;Medium;M531028;x
531043;Chief of Air Force;ファウジ・ジュマナ;45;LWR;Vertical Envelopment Doctrine;Medium;M531041;x
