MTN;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
544001;Head of State;セクラ・ドルリェヴィッチ;36;FA;Autocratic Charmer;High;M544001;x
544002;Head of Government;ブラザ・ジュカノヴィッチ;36;FA;Ambitious Union Boss;High;M544002;x
544003;Foreign Minister;ヨヴァン・S・プラメネッチ;36;FA;Iron Fisted Brute;High;M544003;x
544004;Minister of Armament;オイゲン・フォン・アルボリ;36;FA;Corrupt Kleptocrat;Medium;M544004;x
544005;Minister of Security;リューボ・ヴクセヴィッチ;36;FA;Silent Lawyer;Medium;M544005;x
544006;Head of Military Intelligence;ミルティン・ボジッチ;36;FA;Political Specialist;Medium;M544006;x
544007;Chief of Staff;ルカ・ゴジュナ;36;FA;School of Psychology;Medium;M544007;x
544008;Chief of Army;アント・グヴォズデノヴィッチ;36;FA;Armoured Spearhead Doctrine;Medium;M544008;x
544009;Chief of Navy;ミタル・マルティノヴィッチ;36;FA;Open Seas Doctrine;Medium;M544009;x
544010;Chief of Air Force;ボーラ・トドロヴィッチ;36;FA;Naval Aviation Doctrine;Medium;M544010;x
544011;Head of State;ミハイロ1世;36;SC;Popular Figurehead;High;M544011;x
544012;Head of State;イヴァン・リバル;36;LWR;Pig-headed Isolationist;High;M20093;x
544013;Head of Government;サヴォ・セロヴィッチ;36;SC;Political Protege;High;M544013;x
544014;Head of Government;パヴレ・ジュリシッチ;36;LWR;Old General;High;M544014;x
544015;Foreign Minister;ミタル・マルティノヴィッチ;36;FA;General Staffer;High;M544009;x
544016;Foreign Minister;ミルティン・ヴシネッチ;36;SC;Apologetic Clerk;High;M544016;x
544017;Foreign Minister;ヨヴァン・デュシッチ;36;LWR;The Cloak N Dagger Schemer;High;M544017;x
544018;Minister of Armament;クレステ・ジュリシッチ;42;FA;Tank Proponent;Medium;M544018;x
544019;Minister of Armament;ドゥーハン・ヴコヴィッチ;36;SC;Air to Sea Proponent;Medium;M544019;x
544020;Minister of Armament;ゴセ・コリセフスキ;36;LWR;Infantry Proponent;Medium;M544020;x
544021;Minister of Security;カール・ヴォルフ;42;FA;Efficient Sociopath;Medium;M544021;x
544022;Minister of Security;ミトロファン・バン;36;SC;Back Stabber;Medium;M544022;x
544023;Minister of Security;イヴァン・グヴェンコフスキ;36;LWR;Prince of Terror;Medium;M544023;x
544024;Head of Military Intelligence;ミルコ・ティルクヴィッチ;36;SC;Dismal Enigma;Medium;M544024;x
544025;Head of Military Intelligence;キロ・フィリポヴィッチ;36;LWR;Industrial Specialist;Medium;M544025;x
544026;Chief of Staff;バルタサル・ウリャレヴィッチ;36;SC;School of Mass Combat;Medium;M544026;x
544027;Chief of Staff;パヴレ・ジュリシッチ;36;LWR;School of Defence;Medium;M544014;x
544028;Chief of Army;ヴィルヘルム・ベーレント;42;FA;Static Defence Doctrine;Medium;M544028;x
544029;Chief of Army;ボジダル・ヤンコヴィッチ;36;SC;Guns and Butter Doctrine;Medium;M544029;x
544030;Chief of Army;ミラン・チェリッチ;36;LWR;Elastic Defence Doctrine;Medium;M544030;x
544031;Chief of Navy;エヴゲニー・ポポヴィッチ;36;SC;Decisive Naval Battle Doctrine;Medium;M544031;x
544032;Chief of Navy;ジュラジ・ネグロス;36;LWR;Indirect Approach Doctrine;Medium;M544032;x
544033;Chief of Air Force;ブランコ・ペトロヴィッチ;36;SC;Air Superiority Doctrine;Medium;M544033;x
544034;Chief of Air Force;スロボダン・ヨヴァノヴィッチ;36;LWR;Vertical Envelopment Doctrine;Medium;M544034;x
544035;Head of State;イェレナ1世;36;FA;Popular Figurehead;High;M544035;x
