NAM;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
570001;Head of State;デーヴィッド・G・コンラディ;36;ML;Autocratic Charmer;High;M570001;x
570002;Head of Government;ペトルス・I・ホーヘンンハウト;36;ML;Ambitious Union Boss;High;M570002;x
570003;Foreign Minister;ティールマン・J・デ・ヴィラース・ルース;36;ML;The Cloak N Dagger Schemer;High;M570003;x
570004;Minister of Armament;コーネリウス・ボアズ;36;ML;laissez-faire capitalist;Medium;M570004;x
570005;Minister of Security;ニコラス・J・デ・ウェット;36;ML;Man of the People;Medium;M570005;x
570006;Head of Military Intelligence;ピーター・ローアルーフ;36;ML;Industrial Specialist;Medium;M570006;x
570007;Chief of Staff;ジョン・E・J・ワンストーン;36;ML;School of Manoeuvre;Medium;M570007;x
570008;Chief of Army;リカルド・ヴァン・デッフェルズ;36;ML;Static Defence Doctrine;Medium;M570008;x
570009;Chief of Navy;リンハルト・デビアス;36;ML;Decisive Naval Battle Doctrine;Medium;M570009;x
570010;Chief of Air Force;フランシス・ダルトン;36;ML;Vertical Envelopment Doctrine;Medium;M570010;x
570011;Head of State;ピーター・ガイル博士;36;PA;Powerhungry Demagogue;High;M570011;x
570012;Head of Government;C・J・ランゲンホーフェン;36;PA;Silent Workhorse;High;M570012;x
570013;Foreign Minister;ベティ・コンラディ;36;PA;Iron Fisted Brute;High;M570013;x
570014;Minister of Armament;クリスティアン・ヴァン・デン・ヘーヴァー;36;PA;Military Entrepreneur;Medium;M570014;x
570015;Minister of Security;ヘンドリク・デ・トッテンベルク;36;PA;Back Stabber;Medium;M570015;x
570016;Head of Military Intelligence;エイドリアン・ゲウェルテン;36;PA;Political Specialist;Medium;M570016;x
570017;Chief of Staff;ニルス・ノーベル;36;PA;School of Fire Support;Medium;M570017;x
570018;Chief of Army;ヘンドリク・ヴァン・インメン;36;PA;Decisive Battle Doctrine;Medium;M570018;x
570019;Chief of Navy;ヘンドリク・ブールズ;36;PA;Base Control Doctrine;Medium;M570019;x
570020;Chief of Air Force;ミヘル・デ・フロート;36;PA;Naval Aviation Doctrine;Medium;M570020;x
