NOR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
14001;Head of State;ハーコン7世;36;SD;Weary Stiffneck;High;M14001;x
14002;Head of Government;ヨハン・ニューゴールスヴォルド;36;SD;Ambitious Union Boss;High;M14002;x
14003;Foreign Minister;ハルヴダン・コート;36;SD;Biased Intellectual;Medium;M14003;x
14004;Minister of Armament;アドルフ・インドレーベ;36;SD;Resource Industrialist;Medium;M14004;x
14005;Minister of Security;トリグブ・H・リー;36;SD;Man of the People;Medium;M14005;x
14006;Head of Military Intelligence;アルフレート・ロシェ＝ルンド;36;SD;Logistics Specialist;Low;M14006;x
14007;Chief of Staff;オットー・ルーゲ;36;SD;School of Defence;Medium;M14075;x
14008;Chief of Army;クリスティアン・K・ラーケ;36;SD;Guns and Butter Doctrine;Medium;M14008;x
14009;Chief of Navy;ヤコブ・フォン・デル・リッペ;36;SD;Indirect Approach Doctrine;Medium;M14009;x
14010;Chief of Air Force;ヤコブ・フォン・デル・リッペ;36;SD;Army Aviation Doctrine;Medium;M14009;x
14032;Head of State;ハーコン7世;36;ML;Weary Stiffneck;High;M14001;x
14034;Head of State;エーリング・サンドバーグ;45;PA;Autocratic Charmer;High;M14014;x
14036;Head of Government;C・J・ハンブロ;37;ML;Silent Workhorse;High;M14036;x
14037;Head of Government;エイナー・ゲルハルセン;41;SD;Political Protege;High;M14037;x
14038;Head of Government;アドルフ・ヴォルム＝ミュラー;41;SL;Happy Amateur;High;M14038;x
14039;Head of Government;パール・ベルク;45;ML;Backroom Backstabber;High;M14039;x
14040;Head of Government;アンダース・ランゲ;45;PA;Happy Amateur;High;M14040;x
14041;Foreign Minister;トリグブ・H・リー;41;SD;Iron Fisted Brute;High;M14005;x
14042;Foreign Minister;ハルバール・マントレイ・ランゲ;45;SD;General Staffer;High;M14042;x
14043;Foreign Minister;J・L・モーヴィンケル;36;SL;Ideological Crusader;Very High;M14043;x
14044;Foreign Minister;パール・ベルク;37;SL;Great Compromiser;High;M14039;x
14045;Foreign Minister;エリク・アンドレアス・コルバン;38;ML;Great Compromiser;High;M14045;x
14046;Foreign Minister;C・Ｊ・ハンブロ;39;ML;Great Compromiser;High;M14036;x
14047;Foreign Minister;ロルフ・アンドフォルド;45;SD;Apologetic Clerk;High;M14047;x
14048;Foreign Minister;アルベルト・ヴィルヤム・ハーゲリン;42;FA;Biased Intellectual;Low;M14048;x
14049;Foreign Minister;アダム・エーゲデ・ニーセン;41;ST;Iron Fisted Brute;Low;M14021;x
14050;Minister of Armament;フィン・ハーゲルップ;37;SD;Submarine Proponent;Medium;M14050;x
14051;Minister of Armament;オスカル・F・トルプ;39;SD;Resource Industrialist;Medium;M14051;x
14052;Minister of Armament;フレデリク・モンセン;40;SD;Tank Proponent;Medium;M14052;x
14053;Minister of Armament;イェンス・クリスティアン・ハウゲ;40;SD;Military Entrepreneur;High;M14053;x
14054;Minister of Armament;エリク・ブロフォス;45;SD;Air Superiority Proponent;High;M14054;x
14055;Minister of Armament;フレデリク・ベイクマン;36;SL;Infantry Proponent;Medium;M14055;x
14056;Minister of Armament;ヨハン・H・アンドレセン;38;ML;Resource Industrialist;Medium;M14056;x
14057;Minister of Armament;ベンヤミン・フォークト;40;ML;Battle Fleet Proponent;Medium;M14057;x
14058;Minister of Armament;ミヒャエルー・ハンソン;41;SL;Strategic Air Proponent;Medium;M14058;x
14059;Minister of Armament;エーリング・サンドバーグ;43;SL;Infantry Proponent;Very Low;M14014;x
14060;Minister of Armament;グンナー・ヤーン;45;SL;laissez-faire capitalist;Medium;M14060;x
14061;Minister of Armament;アルベルト・ヴィルヤム・ハーゲリン;41;FA;Tank Proponent;Low;M14048;x
14062;Minister of Armament;フレデリク・プリッツ;42;FA;Submarine Proponent;Medium;M14062;x
14063;Minister of Armament;カール・フレーリヒ・ハンセン;43;FA;Military Entrepreneur;Low;M14063;x
14064;Minister of Armament;エミール・ロヴリーン;45;ST;Military Entrepreneur;Low;M14022;x
14065;Minister of Security;テルイェ・ヴォルド;39;SD;Silent Lawyer;Medium;M14065;x
14066;Minister of Security;アスビョルン・ブリン;43;SD;Crime Fighter;Low;M14066;x
14067;Minister of Security;ハーコン・リー;45;SD;Prince of Terror;High;M14067;x
14068;Minister of Security;アルネ・スンデ;37;SL;Silent Lawyer;High;M14068;x
14069;Minister of Security;エーリング・サンドバーグ;43;SL;Compassionate Gentleman;Very Low;M14014;x
14070;Minister of Security;ロルフ・フグレサング;42;FA;Efficient Sociopath;Very Low;M14070;x
14071;Head of Military Intelligence;ベルトラム・ディバット・ブロクマン;36;ML;Dismal Enigma;Medium;M14071;x
14072;Head of Military Intelligence;ヴィルヘルム・エヴァング;43;SD;Political Specialist;Medium;M14072;x
14073;Head of Military Intelligence;グンナー・ヤーン;45;SL;Industrial Specialist;Medium;M14060;x
14074;Head of Military Intelligence;カール・A・マルティンセン;44;NS;Dismal Enigma;Low;M14074;x
14075;Chief of Staff;オットー・ルーゲ;36;SD;School of Defence;High;M14007;x
14076;Chief of Staff;ビルイェル・フレデリク・モッツフェルト;44;SD;School of Manoeuvre;Medium;M14076;x
14077;Chief of Staff;ヨハン・ベイクマン;42;ML;School of Mass Combat;Very High;M14077;x
14078;Chief of Staff;ヴィルヘルム・フォン・タンゲン＝ハンステン;46;ML;School of Fire Support;Very High;M14078;x
14079;Chief of Staff;ハルヴォー・ハンソン;46;ML;School of Psychology;Very High;M14079;x
14080;Chief of Army;オットー・ルーゲ;40;SD;Guns and Butter Doctrine;Medium;M14075;x
14081;Chief of Army;オラフ・アフ・ノルゲ;43;SD;Elastic Defence Doctrine;Very High;M14081;x
14082;Chief of Army;イルゲ・バッケ;42;NS;Decisive Battle Doctrine;Medium;M14082;x
14083;Chief of Navy;ヘンリー・ディーセン;37;SD;Open Seas Doctrine;Medium;M14083;x
14084;Chief of Navy;グンナー・ホヴデナク;41;SD;Decisive Naval Battle Doctrine;Medium;M14084;x
14085;Chief of Navy;クリストファー・メイヤー;38;ML;Base Control Doctrine;Medium;M14085;x
14086;Chief of Navy;ハンス・コルネリウセン;41;ML;Indirect Approach Doctrine;Medium;M14086;x
14087;Chief of Navy;トーレイフ・フェルスタッド;41;FA;Indirect Approach Doctrine;Medium;M14087;x
14088;Chief of Navy;キェル・スタッブ・イルゲンス;42;FA;Decisive Naval Battle Doctrine;Medium;M14088;x
14089;Chief of Air Force;ヒャルマール・リーサー＝ラーセン;37;SD;Army Aviation Doctrine;Medium;M14089;x
14090;Chief of Air Force;ビャーネ・レン;45;SD;Vertical Envelopment Doctrine;Medium;M14090;x
14091;Chief of Air Force;ハラール・ブルスガール;36;SL;Naval Aviation Doctrine;Medium;M14091;x
14092;Chief of Air Force;カール・グリクセン;37;SL;Air Superiority Doctrine;Medium;M14092;x
14093;Chief of Air Force;トリグヴェ・クリンゲンベルグ;37;SL;Army Aviation Doctrine;Medium;M14093;x
14094;Chief of Air Force;オーレ・ライスタッド;39;SL;Carpet Bombing Doctrine;Medium;M14094;x
14095;Head of Military Intelligence;カール・フレーリヒ・ハンセン;45;FA;Industrial Specialist;Low;M14063;x
14011;Head of State;ヨセフ・テルボーヴェン;36;FA;Resigned Generalissimo;High;M14011;x
14012;Head of Government;ヴィドクン・クヴィスリング;36;FA;Corporate Suit;High;M14012;x
14013;Foreign Minister;ヴィドクン・クヴィスリング;36;FA;The Cloak N Dagger Schemer;High;M14012;x
14015;Minister of Security;ヨナス・リー;36;NS;Crime Fighter;High;M14015;x
14016;Head of Military Intelligence;オリファー・ムリスタッド;36;FA;Dismal Enigma;High;M14016;x
14017;Chief of Staff;スヴェレ・リースンクス;36;FA;School of Defence;High;M14017;x
14018;Chief of Army;コンラート・サンドロ;36;FA;Static Defence Doctrine;High;M14018;x
14019;Chief of Navy;ベルテル・ブルン;36;FA;Open Seas Doctrine;Medium;M14019;x
14020;Chief of Air Force;トリグヴェ・グラン;36;FA;Air Superiority Doctrine;High;M14020;x
14021;Head of State;アダム・エーゲデ・ニーセン;36;ST;Insignificant Layman;High;M14021;x
14022;Head of Government;エミール・ロヴリーン;36;ST;Smiling Oilman;High;M14022;x
14023;Foreign Minister;ペーダー・フルボトン;36;LE;Ideological Crusader;Medium;M14023;x
14024;Minister of Armament;ヘンリー・ヴィルヘルム・クリスティアンセン;36;ST;Military Entrepreneur;High;M14024;x
14025;Minister of Security;サミュエル・ティトレスタッド;36;LE;Prince of Terror;High;M14025;x
14026;Head of Military Intelligence;アスビョルン・スンデ;36;ST;Political Specialist;Very High;M14026;x
14027;Chief of Staff;アルネ・ガウスル;36;LE;School of Defence;High;M14027;x
14028;Chief of Army;アルネ・ガウスル;36;LE;Elastic Defence Doctrine;Medium;M14027;x
14029;Chief of Navy;スクレ・ストーハイル;36;LWR;Decisive Naval Battle Doctrine;Medium;M14029;x
14030;Chief of Air Force;ヘンリク・ノルビ;36;LWR;Carpet Bombing Doctrine;Medium;M14030;x
14096;Head of Government;オスカル・F・トルプ;51;SD;Smiling Oilman;High;M14051;x
14097;Minister of Armament;ニルス・ランヘレ;51;SD;Resource Industrialist;High;M14097;x
14098;Minister of Security;オスカル・C・グンデルセン;46;SD;Silent Lawyer;High;M14098;x
