PAL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
557001;Head of State;サー・ハロルド・マクマイケル;36;ML;Autocratic Charmer;High;M550005;x
557002;Head of Government;サー・ジョン・R・チャンセラー;36;ML;Flamboyant Tough Guy;High;M557002;x
557003;Foreign Minister;ナジフ・アル＝カリディ;36;ML;Ideological Crusader;High;M557003;x
557004;Minister of Armament;ジョージ・フムシ;36;ML;Military Entrepreneur;Medium;M557004;x
557005;Minister of Security;ムサ・カサム・アル＝フセイニ;36;ML;Prince of Terror;Medium;M557005;x
557006;Head of Military Intelligence;フレデリック・G・ピーク;36;ML;Political Specialist;Medium;M91008;x
557007;Chief of Staff;サー・ハーバート・サミュエル;36;ML;School of Mass Combat;Medium;M557007;x
557008;Chief of Army;G・H・C・スピンルス;36;ML;Elastic Defence Doctrine;Medium;L320014;x
557009;Chief of Navy;F・B・ツアーズ;36;ML;Indirect Approach Doctrine;Medium;L1396;x
557010;Chief of Air Force;J・T・フルハード;36;ML;Vertical Envelopment Doctrine;Medium;L1441;x
557011;Head of State;ハジ・アミン・アル・フセイン;36;NS;Pig-headed Isolationist;High;M557011;x
557012;Head of State;サー・ハーバート・サミュエル;36;PA;Stern Imperialist;High;M557007;x
557013;Head of State;ファイド・アル＝アラミ;36;SD;Benevolent Gentleman;High;M557013;x
557014;Head of State;ルヒ・アル＝カリディ;36;LWR;Barking Buffoon;High;M557014;x
557015;Head of Government;ユーセフ・パシャ・アル＝カリディ;36;NS;Political Protege;High;M557015;x
557016;Head of Government;サー・ハーバート・プルーマー;36;PA;Old General;High;M557016;x
557017;Head of Government;アフマド・シュカイリー;36;SD;Happy Amateur;High;M557017;x
557018;Head of Government;ハジ・ムスタファ・アッブーシ;36;LWR;Ambitious Union Boss;High;M557018;x
557019;Foreign Minister;ラゲード・ナシャスビビ;36;NS;Iron Fisted Brute;High;M557019;x
557020;Foreign Minister;サー・グリーンフェル・ウォーコップ;36;PA;General Staffer;High;M557020;x
557021;Foreign Minister;ハリー・C・ルーク;36;SD;Great Compromiser;High;M557021;x
557022;Foreign Minister;ハフィズ・パシャ・アブドゥル・ハディ;36;LWR;Apologetic Clerk;High;M557022;x
557023;Minister of Armament;アルフレッド・ロック;36;NS;Air to Ground Proponent;Medium;M557023;x
557024;Minister of Armament;アブドゥッラー・ジャファー・ダラル;36;PA;Air Superiority Proponent;Medium;M557024;x
557025;Minister of Armament;ルヒ・アブドゥル・ハディ;36;SD;laissez-faire capitalist;Medium;M557025;x
557026;Minister of Armament;シャリフ・ナシル・アル＝カグリ;36;LWR;Infantry Proponent;Medium;M557026;x
557027;Minister of Security;アウニ・アブドゥル・ハディ;36;NS;Crooked Kleptocrat;Medium;M557027;x
557028;Minister of Security;ジョージ・アンティノウス;36;PA;Compassionate Gentleman;Medium;M557028;x
557029;Minister of Security;ニコラス・アブド;36;SD;Silent Lawyer;Medium;M557029;x
557030;Minister of Security;デケル・シュクリ;36;LWR;Back Stabber;Medium;M557030;x
557031;Head of Military Intelligence;アブ・ソウード博士;36;NS;Technical Specialist;Medium;M557031;x
557032;Head of Military Intelligence;マスード・アル＝ジンナー;36;PA;Industrial Specialist;Medium;M557032;x
557033;Head of Military Intelligence;ファルク・ハイダル;36;SD;Logistics Specialist;Medium;M557033;x
557034;Head of Military Intelligence;マジド・アブド＝エル＝ハック;36;LWR;Dismal Enigma;Medium;M557034;x
557035;Chief of Staff;アリ・ジェマル・パシャ;36;NS;School of Fire Support;Medium;M557035;x
557036;Chief of Staff;サー・ハーバート・プルーマー;36;PA;School of Defence;Medium;M557016;x
557037;Chief of Staff;アラン・G・カニンガム;41;ML;School of Manoeuvre;Medium;M557037;x
557038;Chief of Staff;ファルク・ハイダル;36;SD;School of Psychology;Medium;M557033;x
557039;Chief of Staff;ジャーフラ・パシャ;36;LWR;School of Defence;Medium;M557039;x
557040;Chief of Army;アリ・アル＝ムッタリブ;36;NS;Guns and Butter Doctrine;Medium;M557040;x
557041;Chief of Army;サー・グリーンフェル・ウォーコップ;36;PA;Static Defence Doctrine;Medium;M557020;x
557042;Chief of Army;ジョン・ゴート卿;42;ML;Armoured Spearhead Doctrine;Medium;L1138;x
557043;Chief of Army;リワ・アル＝マワウィー;36;SD;Elastic Defence Doctrine;Medium;M557043;x
557044;Chief of Army;シャリフ・ナシル・アル＝カグリ;36;LWR;Guns and Butter Doctrine;Medium;M557026;x
557045;Chief of Navy;アリ・ジェマル・パシャ;36;NS;Base Control Doctrine;Medium;M557035;x
557046;Chief of Navy;ロドニー・タットン＝サイクス;36;PA;Decisive Naval Battle Doctrine;Medium;L300023;x
557047;Chief of Navy;アルフレッド・ハワード;36;SD;Open Seas Doctrine;Medium;M557047;x
557048;Chief of Navy;アフマド・ワシ・パシャ;36;LWR;Power Projection Doctrine;Medium;M557048;x
557049;Chief of Air Force;モハンメド・アジミ・パシャ;36;NS;Army Aviation Doctrine;Medium;M512096;x
557050;Chief of Air Force;アブドゥッラー・ジャファー・ダラル;36;PA;Air Superiority Doctrine;Medium;M557024;x
557051;Chief of Air Force;ジェームズ・ロジャース;36;SD;Carpet Bombing Doctrine;Medium;M557051;x
557052;Chief of Air Force;ムハンメド・アル＝タイフ;36;LWR;Naval Aviation Doctrine;Medium;M557052;x
