PAN;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
95001;Head of State;アルモディオ・アリアス・デ・ラ・マドリ;36;ML;Autocratic Charmer;High;M95001;x
95002;Head of Government;アルモディオ・アリアス・デ・ラ・マドリ;36;ML;Corporate Suit;High;M95001;x
95003;Foreign Minister;ナルシソ・ガライ・ディアス;36;SL;Ideological Crusader;Medium;M95003;x
95004;Minister of Armament;ダニエル・C・ピンソン;36;ML;laissez-faire capitalist;Medium;M95004;x
95005;Minister of Security;イグナシオ・E・メンドーサ;36;SL;Back Stabber;Medium;M95005;x
95006;Head of Military Intelligence;エセキエル・フェルナンデス・ハエン;36;ML;Dismal Enigma;Medium;M95006;x
95007;Chief of Staff;ファン・レモン;36;SL;School of Psychology;Medium;M95007;x
95008;Chief of Army;ボリバル・ビリャリノ;36;ML;Guns and Butter Doctrine;Medium;M95008;x
95009;Chief of Navy;ファン・A・エルナンデス;36;SL;Decisive Naval Battle Doctrine;Medium;M95009;x
95010;Chief of Air Force;ファン・レモン;36;ML;Naval Aviation Doctrine;Medium;M95007;x
95031;Head of State;ファン・デモステネス・アロセマナ;36;SC;Resigned Generalissimo;High;M95031;x
95032;Head of State;アルヌルフォ・アリアス・デ・ラ・マドリ;40;ML;Popular Figurehead;High;M95032;x
95033;Head of State;リカルド・デ・ラ・グアルディア;41;PA;Powerhungry Demagogue;High;M95013;x
95034;Head of State;アルヌルフォ・アリアス・デ・ラ・マドリ;45;SL;Autocratic Charmer;High;M95034;x
95035;Head of State;エンリケ・ヒメネス・ブリン;46;PA;Stern Imperialist;High;M95035;x
95036;Head of Government;カルロス・サバラ;36;SC;Old Admiral;High;M95036;x
95037;Head of Government;アルヌルフォ・アリアス・デ・ラ・マドリ;40;ML;Corporate Suit;High;M95032;x
95038;Head of Government;アウグスト・サムエル・ボイド;41;PA;Ambitious Union Boss;High;M95038;x
95039;Head of Government;マヌエル・D・グラナドス;45;SL;Silent Workhorse;High;M95039;x
95040;Head of Government;ホセ・アウグスティン・アランゴ;46;PA;Political Protege;High;M95011;x
95041;Foreign Minister;ラウル・デ・ルー・イ・ガルシア;36;ML;Biased Intellectual;Medium;M95041;x
95042;Foreign Minister;ホセ・レフェブレ・デ・ラ・オッサ;36;SC;Great Compromiser;Medium;M95042;x
95043;Foreign Minister;ナルシソ・ガライ・ディアス;38;PA;Apologetic Clerk;Medium;M95003;x
95044;Foreign Minister;ファン・デモステネス・アロセマナ;38;SC;The Cloak N Dagger Schemer;Medium;M95031;x
95045;Foreign Minister;アウグスト・サムエル・ボイド;40;ML;Iron Fisted Brute;Medium;M95038;x
95046;Foreign Minister;リカルド・デ・ラ・グアルディア;41;PA;Biased Intellectual;High;M95013;x
95047;Foreign Minister;オクタビオ・ファブレガ・ロペス;42;SC;Iron Fisted Brute;High;M95047;x
95048;Foreign Minister;サムエル・ルイス・アランガ;45;PA;Great Compromiser;High;M95048;x
95049;Foreign Minister;ロベルト・ヒメネス・デ・ルー;45;ML;Great Compromiser;High;M95049;x
95050;Foreign Minister;オラシオ・アルファロ・ディアス;46;PA;General Staffer;High;M95050;x
95051;Foreign Minister;エルマノ・カスティリョ・バリド;47;SC;Apologetic Clerk;High;M95051;x
95052;Minister of Armament;ネストル・ウリベ・スアレス;36;SC;Infantry Proponent;Medium;M95052;x
95053;Minister of Armament;ホセ・ペセ;40;SL;Resource Industrialist;Medium;M95053;x
95056;Minister of Armament;エンリケ・ヒメネス・ブリン;45;SL;Tank Proponent;Medium;M95035;x
95057;Minister of Armament;イグナシオ・E・メンドーサ;46;SC;Infantry Proponent;Medium;M95005;x
95058;Minister of Security;ラオウル・アリアス・アマドール;36;SC;Man of the People;Medium;M95015;x
95059;Minister of Security;カルロス・メンドーサ;40;SL;Crime Fighter;Medium;M95059;x
95060;Minister of Security;ファン・レモン;41;SC;Man of the People;Medium;M95007;x
95061;Minister of Security;ニコラス・アルディト・バルレッタ;45;SL;Compassionate Gentleman;Medium;M95061;x
95062;Minister of Security;ホセ・アビラ;46;SC;Crime Fighter;Medium;M95062;x
95063;Head of Military Intelligence;エルネスト・ファブレガ・ロペス;36;SC;Dismal Enigma;Medium;M95063;x
95064;Head of Military Intelligence;ビクトル・パレハ;40;SL;Industrial Specialist;Medium;M95025;x
95065;Head of Military Intelligence;バルドメロ・タルテ;41;PA;Logistics Specialist;Medium;M95016;x
95066;Head of Military Intelligence;イグナシオ・C・ガルセス;45;SL;Naval Intelligence Specialist;Medium;M95066;x
95067;Head of Military Intelligence;ホセ・レフェブレ・デ・ラ・オッサ;46;SC;Industrial Specialist;Medium;M95042;x
95068;Chief of Staff;ボリバル・ビリャリノ;36;SC;School of Defence;Medium;M95008;x
95069;Chief of Staff;ファン・ホセ・パラダ;40;SL;School of Manoeuvre;Medium;M95020;x
95070;Chief of Staff;パシフィシオ・マルシアガ;41;PA;School of Psychology;Medium;M95017;x
95071;Chief of Staff;ホセ・ゴメス・アヤン;45;SL;School of Fire Support;Medium;M95071;x
95073;Chief of Army;ファン・レモン;36;SC;Guns and Butter Doctrine;Medium;M95007;x
95074;Chief of Army;エンリコ・ファブレゴ・パス;40;ML;Static Defence Doctrine;Medium;M95018;x
95077;Chief of Army;オマル・トリホス;46;PA;Armoured Spearhead Doctrine;Medium;M95077;x
95080;Chief of Navy;アルトゥーロ・オスボルネ・イラガ;41;PA;Open Seas Doctrine;Medium;M95019;x
95082;Chief of Air Force;マルコス・A・ゲラベル;36;SC;Army Aviation Doctrine;Medium;M95082;x
95083;Chief of Air Force;ファン・ホセ・パラダ;40;ML;Air Superiority Doctrine;Medium;M95020;x
95084;Chief of Air Force;カルロス・サバラ;41;SC;Air Superiority Doctrine;Medium;M95036;x
95086;Chief of Air Force;ネストル・ウリベ・スアレス;46;SC;Carpet Bombing Doctrine;Medium;M95052;x
95087;Head of State;エセキエル・フェルナンデス・ハエン;39;SC;Insignificant Layman;Medium;M95006;x
95088;Head of Government;エセキエル・フェルナンデス・ハエン;39;SC;Smiling Oilman;Medium;M95006;x
95089;Head of Government;アウグスト・サムエル・ボイド;40;SC;Ambitious Union Boss;High;M95038;x
95090;Head of State;アウグスト・サムエル・ボイド;40;SC;Barking Buffoon;High;M95038;x
95011;Head of State;ホセ・アウグスティン・アランゴ;36;PA;Resigned Generalissimo;High;M95011;x
95012;Head of Government;ホセ・アウグスティン・アランゴ;36;PA;Old General;High;M95011;x
95021;Head of State;フロイド・N・ブリットン・シニア;36;LE;Pig-headed Isolationist;High;M95021;x
95022;Head of Government;フロイド・N・ブリットン・シニア;36;LE;Happy Amateur;High;M95021;x
95023;Foreign Minister;ルイス・コスタ・アリアス;36;LWR;Ideological Crusader;Medium;M95023;x
95024;Minister of Armament;フロイド・N・ブリットン・シニア;36;LE;Administrative Genius;Medium;M95021;x
95025;Minister of Security;ビクトル・パレハ;36;LE;Crooked Kleptocrat;Medium;M95025;x
95027;Chief of Staff;アドルフォ・グティエレス・クラルク;36;LE;School of Defence;Medium;M95027;x
95028;Chief of Army;マヌエル・リオス・ウリベ;36;LWR;Armoured Spearhead Doctrine;Medium;M95028;x
95029;Chief of Navy;フェルディナンド・エルナンデス・イトゥアルテ;36;LWR;Power Projection Doctrine;Medium;M95029;x
95030;Chief of Air Force;マルガリータ・ベリョソ・ヒメネス;36;LE;Vertical Envelopment Doctrine;Medium;M95030;x
95091;Head of State;ドミンゴ・ディアス・アロセメナ;48;SC;Weary Stiffneck;High;M95091;x
95092;Head of Government;ドミンゴ・ディアス・アロセメナ;48;SC;Silent Workhorse;High;M95091;x
95093;Minister of Security;エンリケ・デ・オバリオ;48;SC;Back Stabber;Medium;M95093;x
95094;Head of State;ダニエル・C・ピンソン;49;ML;Benevolent Gentleman;High;M95004;x
95095;Head of Government;アルシアビデス・アロセメナ;49;ML;Corporate Suit;High;M95095;x
95096;Head of State;アルシアビデス・アロセメナ;51;SC;Insignificant Layman;High;M95095;x
95097;Head of Government;ファン・レモン;51;SC;Old General;High;M95007;x
