PAR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
42001;Head of State;エウセビオ・アヤラ;36;ML;Benevolent Gentleman;High;M42001;x
42002;Head of Government;エウセビオ・アヤラ;36;ML;Corporate Suit;High;M42001;x
42003;Foreign Minister;ルイス・アルベルト・リアル;36;ML;The Cloak N Dagger Schemer;Medium;M42003;x
42004;Minister of Armament;フェデリコ・チャべス;36;ML;Infantry Proponent;Medium;M42004;x
42005;Minister of Security;ニコラス・デルガド;36;ML;Prince of Terror;Medium;M42005;x
42006;Head of Military Intelligence;ファン・マヌエル・フルトス;36;ML;Logistics Specialist;Medium;M42006;x
42007;Chief of Staff;イゴール・エルン;36;ML;School of Defence;Medium;M42007;x
42008;Chief of Army;マヌエル・T・アポンテ;36;ML;Static Defence Doctrine;Medium;M42008;x
42009;Chief of Navy;マヌエル・T・アポンテ;36;ML;Indirect Approach Doctrine;Medium;M42008;x
42010;Chief of Air Force;ビセンテ・アルモナシド;36;ML;Air Superiority Doctrine;Medium;M42010;x
42061;Head of State;ラファエル・フランコ;36;SD;Resigned Generalissimo;High;M42047;x
42062;Head of State;フェリックス・パイバ;37;SC;Insignificant Layman;High;M42062;x
42063;Head of State;ホセ・エスティガリビア・インサウラルデ;39;SD;Autocratic Charmer;High;M42063;x
42064;Head of State;イゲニオ・モリニゴ・マルティネス;40;PA;Barking Buffoon;High;M42064;x
42065;Head of Government;エウヘニオ・ガライ;36;SD;Ambitious Union Boss;High;M42065;x
42066;Head of Government;フェリックス・パイバ;37;SC;Smiling Oilman;High;M42062;x
42067;Head of Government;ホセ・エスティガリビア・インサウラルデ;39;SD;Happy Amateur;High;M42063;x
42068;Head of Government;イゲニオ・モリニゴ・マルティネス;40;PA;Old General;High;M42064;x
42069;Head of Government;ライムンド・ロロン・ヴィラサンティ;44;SC;Political Protege;High;M42069;x
42070;Foreign Minister;ファン・ステファニチ;36;LWR;Ideological Crusader;Medium;M42049;x
42072;Foreign Minister;セシリオ・バエス;37;SD;Iron Fisted Brute;Medium;M42072;x
42073;Foreign Minister;ルイス・アベリノ・アルガノ;37;SL;Great Compromiser;Medium;M42041;x
42074;Foreign Minister;フスト・パストル・プリエト;39;SC;Ideological Crusader;Medium;M42074;x
42075;Foreign Minister;エリアス・アヤラ;39;SC;Biased Intellectual;Medium;M42043;x
42076;Foreign Minister;トマス・A・サロモニ;39;SD;Ideological Crusader;Medium;M42076;x
42078;Foreign Minister;ルイス・アベリノ・アルガノ;40;PA;Great Compromiser;Medium;M42041;x
42079;Foreign Minister;ファン・マヌエル・アルバルテ;44;SC;Apologetic Clerk;Medium;M42079;x
