PER;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
53001;Head of State;レザー・パフラヴィー;36;PA;Resigned Generalissimo;High;M53001;x
53002;Head of Government;マフムード・ジャム;36;PA;Silent Workhorse;High;M53002;x
53003;Foreign Minister;イノヤトゥラー・カーン・サミ;36;PA;Great Compromiser;Medium;M53003;x
53004;Minister of Armament;アーマッド・カーン・ナクジャーヴァン;36;PA;Battle Fleet Proponent;Medium;M53004;x
53005;Minister of Security;アリ・アクバー・デイヴァ;36;PA;Back Stabber;Medium;M53005;x
53006;Head of Military Intelligence;レザー・ミザニ;36;PA;Naval Intelligence Specialist;Medium;M53006;x
53007;Chief of Staff;レザー・パフラヴィー;36;PA;School of Defence;Medium;M53001;x
53008;Chief of Army;アブドレザ・アフカーミ;36;PA;Static Defence Doctrine;Medium;M53008;x
53009;Chief of Navy;アーマッド・ミラ・コスラヴァニ;36;PA;Indirect Approach Doctrine;High;M53009;x
53010;Chief of Air Force;アーマッド・カーン・ナクジャーヴァン;36;PA;Naval Aviation Doctrine;High;M53004;x
53031;Head of State;モハンマド・レザー・パフラヴィー;41;SC;Benevolent Gentleman;High;M53011;x
53032;Head of State;モハンマド・レザー・パフラヴィー;41;PA;Autocratic Charmer;High;M53011;x
53033;Head of Government;アフマド・マティーン・ダフタリー;39;FA;Naive Optimist;High;M53033;x
53034;Head of Government;アリー・マンスール;40;PA;Old General;High;M53034;x
53035;Head of Government;モハンマド・アリー・フォルーギー;41;SC;Political Protege;High;M53015;x
53036;Head of Government;アリー・ソヘイリー;43;SL;Smiling Oilman;High;M53036;x
53037;Head of Government;アフマド・ガヴァーム;42;SC;Happy Amateur;High;M53037;x
53038;Head of Government;モハンマド・サーエド;44;SC;Silent Workhorse;High;M53038;x
53039;Head of Government;モルテザーゴリー・バヤート;44;SL;Flamboyant Tough Guy;High;M53039;x
53040;Head of Government;エブラーヒーム・ハキーミー;45;PA;Backroom Backstabber;High;M53040;x
53041;Head of Government;モフセン・サドル;45;SC;Corporate Suit;High;M53041;x
53042;Foreign Minister;ムスタファ・アディル;37;PA;Biased Intellectual;Medium;M53042;x
53043;Foreign Minister;ミリア・ムーシン・カーン;38;PA;Ideological Crusader;Medium;M53043;x
53044;Foreign Minister;アリー・ソヘイリー;39;PA;Iron Fisted Brute;Low;M53036;x
53045;Foreign Minister;ムザファー・アラム;39;PA;Apologetic Clerk;Medium;M53045;x
53046;Foreign Minister;イブラヒム・アラム;40;FA;The Cloak N Dagger Schemer;Medium;M53046;x
53047;Foreign Minister;アマリ・ジャワド;40;FA;Biased Intellectual;Medium;M53047;x
53048;Foreign Minister;アリー・ソヘイリー;41;SL;The Cloak N Dagger Schemer;Medium;M53036;x
53049;Foreign Minister;モハンマド・サーエド;42;SC;Great Compromiser;High;M53038;x
53051;Foreign Minister;ナスルラ・インティザム;44;SL;Biased Intellectual;Medium;M53051;x
53052;Foreign Minister;アヌシャーヴァン・セパーボディ;45;PA;Apologetic Clerk;Medium;M53052;x
53053;Foreign Minister;アブル・カシム・ナジム;45;SC;The Cloak N Dagger Schemer;Medium;M53053;x
53054;Foreign Minister;アフマド・ガヴァーム;46;SC;Ideological Crusader;High;M53037;x
53055;Foreign Minister;モハンマド・モサデック;46;SL;The Cloak N Dagger Schemer;Medium;M53013;x
53056;Minister of Armament;レザー・ミザニ;37;PA;Resource Industrialist;Medium;M53006;x
53057;Minister of Armament;ミルザ・リザ・アルファ・ドウレー;37;PA;Infantry Proponent;Medium;M53057;x
53058;Minister of Armament;アルフレッド・ルドルフ・ジマーマン;38;SC;laissez-faire capitalist;Medium;M53014;x
53059;Minister of Armament;アーマッド・カーン・ナクジャーヴァン;38;PA;Air to Sea Proponent;High;M53004;x
53060;Minister of Armament;アーマッド・ミラ・コスラヴァニ;39;PA;Submarine Proponent;High;M53009;x
53061;Minister of Armament;アブドレザ・アフカーミ;39;FA;Military Entrepreneur;Medium;M53008;x
53062;Minister of Armament;モハンマド・ナクジャヴァニ;40;FA;Tank Proponent;Medium;M53062;x
53063;Minister of Armament;モルテザ・ヤズディ;40;FA;Air Superiority Proponent;Medium;M53024;x
53064;Minister of Armament;サイド・サル＝ディン・タバタバイ;41;SC;Battle Fleet Proponent;Medium;M53012;x
53065;Minister of Armament;ゾカ・ドウレー;43;SL;Theoretical Scientist;Medium;M53065;x
53066;Minister of Armament;モハンマド・バフラミ;44;SC;Strategic Air Proponent;Medium;M53026;x
53067;Minister of Armament;ゾカ・ドウレー;45;PA;Tank Proponent;Medium;M53065;x
53068;Minister of Armament;ジャファー・ピシェヴァリ;45;SC;Resource Industrialist;Medium;M53023;x
53069;Minister of Armament;アヌシャーヴァン・セパーボディ;46;SC;Administrative Genius;Medium;M53052;x
53070;Minister of Security;ソレイマン・ミルザ;36;PA;Crime Fighter;Medium;M53022;x
53071;Minister of Security;ミルザ・リザ・アルファ・ドウレー;36;PA;Back Stabber;Medium;M53057;x
