PHI;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
50001;Head of State;マニュエル・ケソン;35;SL;Die-hard Reformer;High;M50001;x
50002;Head of Government;セルヒオ・オスメニャナ;35;SL;Silent Workhorse;High;M50002;x
50003;Foreign Minister;キンティン・パレデス;35;SL;Apologetic Clerk;Low;M50003;x
50004;Minister of Armament;エルピディオ・キリノ;35;SL;laissez-faire capitalist;Medium;M50004;x
50005;Minister of Security;ホセ・ユロ;35;SL;Compassionate Gentleman;Medium;M50005;x
50006;Head of Military Intelligence;ベニト・N・エブエン;35;SL;Logistics Specialist;High;M50006;x
50007;Chief of Staff;パウリノ・サントス;35;SL;School of Psychology;Medium;M50007;x
50008;Chief of Army;レオンシオ・S・タン;35;SL;Guns and Butter Doctrine;Very High;M50008;x
50009;Chief of Navy;サンティアゴ・ヌバル;35;SL;Open Seas Doctrine;Medium;M50009;x
50010;Chief of Air Force;ペラージョ・クルス;35;SL;Army Aviation Doctrine;Medium;M50010;x
50031;Head of State;エルピディオ・キリノ;35;SC;Pig-headed Isolationist;High;M50004;x
50032;Head of State;エミリオ・アギナルド;35;SD;Popular Figurehead;High;M50032;x
50033;Head of State;ファン・スムロング;41;SD;Barking Buffoon;High;M50033;x
50034;Head of State;セルヒオ・オスメニャナ;44;SL;Stern Imperialist;High;M50002;x
50035;Head of State;マニュエル・ロハス;45;SL;Resigned Generalissimo;High;M50035;x
50036;Head of Government;エルピディオ・キリノ;35;SC;Silent Workhorse;High;M50004;x
50037;Head of Government;ラフェル・リワナグ;35;SD;Political Protege;High;M50037;x
50038;Head of Government;ファン・スムロング;41;SD;Happy Amateur;High;M50033;x
50039;Foreign Minister;マニュエル・ケソン;37;SL;The Cloak N Dagger Schemer;High;M50001;x
50040;Foreign Minister;ホアキン・エリサルデ;38;SL;Great Compromiser;High;M50040;x
50041;Foreign Minister;セルヒオ・オスメニャナ;39;SL;Iron Fisted Brute;Low;M50002;x
50042;Foreign Minister;マヌエル・クアドリノ;40;SL;Biased Intellectual;Very Low;M50042;x
50043;Foreign Minister;ファン・スムロング;41;SD;Biased Intellectual;Medium;M50033;x
50044;Foreign Minister;エルピディオ・キリノ;35;SC;Ideological Crusader;Medium;M50004;x
50045;Foreign Minister;フェルディナンド・マルコス;45;SC;Iron Fisted Brute;Medium;M50013;x
50046;Foreign Minister;エミリオ・アギナルド;35;SD;Ideological Crusader;Medium;M50032;x
50047;Minister of Armament;アントニオ・デ・ラス・アラス;35;SL;laissez-faire capitalist;Low;M50014;x
50048;Minister of Armament;ラフェル・リワナグ;35;SD;Submarine Proponent;Medium;M50037;x
50049;Minister of Armament;マニュエル・ロハス;38;SC;Air to Sea Proponent;Medium;M50035;x
50050;Minister of Armament;マヌエル・クアドリノ;41;SL;Corrupt Kleptocrat;Very Low;M50042;x
50051;Minister of Armament;セラフィン・ファウスト;41;SC;Administrative Genius;Medium;M50051;x
50052;Minister of Armament;カルロス・P・ガルシア;41;SD;Battle Fleet Proponent;Medium;M50052;x
50053;Minister of Armament;ホセ・G・ダビド;42;SC;Resource Industrialist;Medium;M50053;x
50054;Minister of Armament;ラモン・マグサイサイ;45;SC;Tank Proponent;Medium;M50054;x
50055;Minister of Armament;ディオスダド・P・マカパガル;45;SD;Military Entrepreneur;Medium;M50055;x
50056;Minister of Security;パルド・デ・タベラ;35;SD;Prince of Terror;Medium;M50056;x
50057;Minister of Security;レオンシオ・S・タン;38;SL;Back Stabber;High;M50008;x
50058;Minister of Security;ラモン・アポリナリオ;39;SL;Man of the People;Medium;M50058;x
50059;Minister of Security;ティラノ・クラベサ;40;SC;Efficient Sociopath;Low;M50059;x
50060;Minister of Security;テオフィロ・シソン;41;SC;Compassionate Gentleman;Medium;M50060;x
50061;Minister of Security;ホセ・P・ラウレル;41;SC;Silent Lawyer;Medium;M50061;x
50062;Minister of Security;ホセ・M・クリソル;42;SD;Crooked Kleptocrat;Low;M50062;x
50064;Minister of Security;アルベルト・ラモス;44;SL;Silent Lawyer;Medium;M50064;x
50065;Minister of Security;セラフィン・ファウスト;45;SC;Silent Lawyer;Medium;M50051;x
50066;Minister of Security;ホセ・G・ルクバン;45;SC;Efficient Sociopath;Medium;M50066;x
50067;Minister of Security;ラモン・キスンビング;45;SL;Man of the People;Medium;M50067;x
50068;Chief of Staff;バシリオ・J・バルデス;39;SC;School of Defence;Low;M50017;x
50069;Chief of Staff;アウグスト・フラド;44;SL;School of Mass Combat;Medium;M50069;x
50070;Chief of Staff;キリント・P・エバンヘリスタ;45;SL;School of Manoeuvre;High;M50070;x
50072;Chief of Army;ベニト・N・エブエン;37;SL;Decisive Battle Doctrine;High;M50006;x
50073;Chief of Army;ビセンテ・P・リム;39;SL;Elastic Defence Doctrine;Medium;M50073;x
50074;Chief of Army;エラクリオ・アラノ;44;SL;Armoured Spearhead Doctrine;High;M50074;x
50075;Chief of Army;マテオ・M・カピンピン;45;SL;Guns and Butter Doctrine;Medium;M50075;x
50076;Chief of Army;ラファエル・ハランドニ;46;SL;Guns and Butter Doctrine;Medium;M50076;x
50077;Head of Military Intelligence;ハメス・ウィルソン;35;SL;Naval Intelligence Specialist;High;M50077;x
50078;Head of Military Intelligence;レスリー・アイリーン・ウィーラー;38;SL;Technical Specialist;High;M50078;x
50079;Head of Military Intelligence;フィデル・セグンド;39;SL;Logistics Specialist;High;M50079;x
50080;Head of Military Intelligence;ベニグノ・ラモス;42;SL;Political Specialist;Very Low;M50016;x
