POL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
13001;Head of State;イグナツィ・モシチツキ;35;PA;Stern Imperialist;High;M13001;x
13002;Head of Government;マリアン・ズィンドラム＝コシチャウコフスキ;35;PA;Flamboyant Tough Guy;High;M13002;x
13003;Foreign Minister;ユゼフ・ベック;35;PA;General Staffer;High;M13003;x
13004;Minister of Armament;タデウシュ・カスプジツキ;35;PA;Military Entrepreneur;Medium;M13004;x
13005;Minister of Security;ヴワディスワフ・ラチュキェヴィチ;35;PA;Crime Fighter;Medium;M13005;x
13006;Head of Military Intelligence;T・ペルチンスキ・グジェゴシ;35;PA;Logistics Specialist;High;M13006;x
13007;Chief of Staff;エドヴァルト・リッツ＝シミグウィ;35;PA;School of Defence;High;M13007;x
13008;Chief of Army;エドヴァルト・リッツ＝シミグウィ;35;PA;Decisive Battle Doctrine;High;M13007;x
13009;Chief of Navy;ジャージー・スウィルスキ;35;PA;Open Seas Doctrine;Medium;M13009;x
13010;Chief of Air Force;ジョゼフ・ザジャック;35;PA;Air Superiority Doctrine;Medium;M13010;x
13032;Head of State;カジミエルズ・ソスンコウスキ;39;SC;Resigned Generalissimo;High;M13032;x
13033;Head of State;ボレスワフ・ビェルト;45;LWR;Stern Imperialist;High;M13033;x
13034;Head of State;ボレスワフ・ビェルト;47;ST;Barking Buffoon;High;M13033;x
13035;Head of State;ボレスラウ・ウィエニアワ＝ドルゴスゾウスキ;39;SL;Benevolent Gentleman;High;M13035;x
13036;Head of State;イグナツィ・ヤン・パデレフスキ;36;SC;Weary Stiffneck;High;M13036;x
13037;Head of State;ヴワディスワフ・ラチュキェヴィチ;39;ML;Insignificant Layman;High;M13005;x
13038;Head of State;ワンダ・ワシレフスカヤ;37;LWR;Die-hard Reformer;High;M13038;x
13039;Head of State;ヴワディスワフ・ゴムウカ;42;LWR;Popular Figurehead;High;M13039;x
13040;Head of State;ヴァレリー・スワベク;35;PA;Insignificant Layman;High;M13040;x
13041;Head of Government;フェリツィヤン・スワヴォイ・スクワトコフスキ;36;PA;Naive Optimist;High;M13041;x
13042;Head of Government;ヴォイチェフ・コルファンティ;36;SL;Happy Amateur;High;M13042;x
13043;Head of Government;ヴワディスワフ・シコルスキ;39;SC;Old General;High;M13043;x
13044;Head of Government;スタニスラス・A・ネイマン;39;SD;Smiling Oilman;High;M13044;x
13045;Head of Government;ミエチスラフ・ミカロウィッツ;42;SD;Ambitious Union Boss;High;M13045;x
13046;Head of Government;スタニスワフ・ミコワイチク;43;ML;Corporate Suit;High;M13046;x
13047;Head of Government;トマシュ・アルチシェフスキ;44;SL;Political Protege;High;M13047;x
13048;Head of Government;エドヴァルト・オスプカ＝モラフスキ;45;LWR;Political Protege;High;M13022;x
13049;Head of Government;ユゼフ・ツィランキェヴィチ;47;ST;Silent Workhorse;High;M13049;x
13050;Head of Government;ローマン・ドモウスキ;36;FA;Backroom Backstabber;High;M13050;x
13051;Head of Government;タデウシュ・ビエレッキ;36;NS;Happy Amateur;High;M13051;x
13052;Head of Government;ユージェニウスズ・クワイアトコウスキ;37;SL;Naive Optimist;High;M13052;x
13053;Head of Government;マルセリ・ノウォトコ;41;ST;Political Protege;High;M13053;x
13054;Head of Government;ジャン・クワピンスキ;44;SC;Corporate Suit;High;M13054;x
13055;Head of Government;スタニスラフ・オシエッキ;36;SD;Happy Amateur;High;M13055;x
13056;Head of Government;ボレスラウ・ドロブナー;43;LWR;Naive Optimist;High;M13056;x
13058;Foreign Minister;アウグスト・ザレスキ;39;SC;Ideological Crusader;High;M13012;x
13059;Foreign Minister;エドワード・ラジンスキ;41;SC;Biased Intellectual;Medium;M13059;x
13060;Foreign Minister;タデウシュ・ローマー;43;ML;Apologetic Clerk;Medium;M13060;x
13061;Foreign Minister;アダム・タルノウスキ;44;SL;Iron Fisted Brute;High;M13061;x
13062;Foreign Minister;エドヴァルト・オスプカ＝モラフスキ;45;LWR;The Cloak N Dagger Schemer;Medium;M13022;x
13063;Foreign Minister;ウィンセンティ・ルジモフスキ;45;SD;Great Compromiser;High;M13063;x
13064;Foreign Minister;ジグムント・モゼレフスキ;47;ST;Biased Intellectual;High;M13064;x
13065;Foreign Minister;ジャン・ピエカルキーウィッツ;39;SD;Biased Intellectual;Medium;M13065;x
13066;Foreign Minister;ヘンリク・レオン・ストラスバーガー;38;SL;Biased Intellectual;High;M13066;x
13067;Foreign Minister;ジェドルゼジ・ギエルティク;36;FA;Ideological Crusader;Medium;M13067;x
13068;Foreign Minister;イグナツィ・ヤン・パデレフスキ;36;SD;General Staffer;High;M13036;x
13069;Foreign Minister;ボレスラウ・ドロブナー;43;LWR;Ideological Crusader;Low;M13056;x
13070;Foreign Minister;アダム・プロクニク;45;SD;Biased Intellectual;Low;M13070;x
13071;Foreign Minister;ノーバート・バルリッキ;43;LWR;Ideological Crusader;Medium;M13021;x
13072;Minister of Armament;ユージェニウスズ・クワイアトコウスキ;36;PA;Administrative Genius;Very High;M13052;x
13073;Minister of Armament;カシミーア・エーレンバーグ;39;SC;Laissez-Faire Capitalist;Medium;M13073;x
13074;Minister of Armament;ブロニスラウ・レガルスキ;41;SC;Infantry Proponent;High;M13074;x
13075;Minister of Armament;ルドウィク・W・ラジヒマン;43;ML;Resource Industrialist;High;M13075;x
13076;Minister of Armament;ヴォイチェフ・コルファンティ;43;ML;Military Entrepreneur;Medium;M13042;x
13077;Minister of Armament;スタニスラス・A・ネイマン;44;SL;Administrative Genius;High;M13044;x
13078;Minister of Armament;ヘルマン・リーバーマン;45;SD;Theoretical Scientist;Medium;M13027;x
13079;Minister of Armament;ヒラリー・ミンク;47;ST;Air to Sea Proponent;Medium;M13079;x
13080;Minister of Armament;レオン・コズロウスキ;37;NS;Infantry Proponent;Medium;M13080;x
13081;Minister of Armament;ヘンリク・レオン・ストラスバーガー;37;SD;Laissez-Faire Capitalist;Medium;M13066;x
13082;Minister of Armament;アダム・コック;36;SL;Resource Industrialist;Medium;M13082;x
13083;Minister of Armament;スタニスラフ・グラビンスキ;36;FA;Laissez-Faire Capitalist;Medium;M13083;x
13084;Minister of Armament;ジャン・ステファン・ハネマン;44;ST;Air to Ground Proponent;Medium;M13084;x
13085;Minister of Armament;ジョゼフ・ニエクコ;36;SD;Resource Industrialist;Medium;M13085;x
13086;Minister of Armament;ミカエル・ロラ＝ジミエルスキ;44;ST;Tank Proponent;Medium;M13086;x
13087;Minister of Armament;ジョゼフ・ホーラー;36;SL;Military Entrepreneur;Medium;M13087;x
13088;Minister of Armament;タデウシュ・リコウスキ;39;SD;Administrative Genius;Medium;M13088;x
13089;Minister of Security;フェリツィヤン・スワヴォイ・スクワトコフスキ;36;PA;Efficient Sociopath;High;M13041;x
13090;Minister of Security;アダム・ローズ;39;SC;Crime Fighter;Medium;M13090;x
13091;Minister of Security;ユージェニウスズ・クワイアトコウスキ;40;SC;Prince of Terror;Very High;M13052;x
13092;Minister of Security;マージャン・ルドジンスキ;43;ML;Back Stabber;Medium;M13092;x
13093;Minister of Security;アントーニ・ローマン;43;ML;Silent Lawyer;Low;M13093;x
13094;Minister of Security;ウィンセンティ・ウィトス;44;SL;Man of the People;High;M13094;x
13095;Minister of Security;ミエチスラフ・ニージアルコウスキ;45;SD;Crime Fighter;Medium;M13095;x
13096;Minister of Security;ジャクブ・バーマン;47;ST;Prince of Terror;Medium;M13096;x
13097;Minister of Security;スタニスワフ・ミコワイチク;39;SD;Man of the People;Medium;M13046;x
