POR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
9001;Head of State;アントニオ・デ・フラゴソ・カルモナ;36;PA;Stern Imperialist;High;M9001;x
9002;Head of Government;A・オリヴェイラ・サラザール;36;PA;Portugal Father;High;M9002;x
9003;Foreign Minister;A・オリヴェイラ・サラザール;36;PA;Ideological Crusader;Very High;M9002;x
9004;Minister of Armament;ラウル・ブランダン;36;PA;Resource Industrialist;Medium;M9004;x
9005;Minister of Security;マリオ・パイス・ソウサ;36;PA;Crooked Kleptocrat;High;M9005;x
9006;Head of Military Intelligence;ペドロ・テオトニオ・ペレイラ;36;PA;Dismal Enigma;High;M9006;x
9007;Chief of Staff;タッソ・ミランダ・カブラル;36;PA;School of Fire Support;Very High;M9007;x
9008;Chief of Army;J・A・ロバト・グエラ;36;PA;Guns and Butter Doctrine;High;M9008;x
9009;Chief of Navy;ジャイメ・アフレイショ;36;PA;Base Control Doctrine;Very High;M9009;x
9010;Chief of Air Force;マニュエル・ゴウヴェイア;36;PA;Vertical Envelopment Doctrine;High;M9010;x
9041;Foreign Minister;アフォンソ・コスタ;37;SC;The Cloak N Dagger Schemer;Medium;M9041;x
9042;Foreign Minister;ルイス・アルメイダ・ブラガ;38;SC;Iron Fisted Brute;Low;M9042;x
9043;Foreign Minister;D・フェザス・ヴィタル;41;SC;General Staffer;Medium;M9022;x
9044;Foreign Minister;ルイス・ウルリシュ;42;SL;Great Compromiser;Medium;M9023;x
9045;Foreign Minister;ジャビエル・コルデイロ;43;PA;Biased Intellectual;Medium;M9045;x
9046;Foreign Minister;フランシスコ・クーニャ・レアル;45;SL;The Cloak N Dagger Schemer;Low;M9013;x
9047;Foreign Minister;アルフレド・ピメンタ;45;PA;Ideological Crusader;High;M9026;x
9048;Foreign Minister;ジョゼ・カエイロ・ダ・マタ;47;PA;Great Compromiser;High;M9048;x
9049;Minister of Armament;ジョゼ・H・ヴァス・ラポーソ;36;SC;Infantry Proponent;Medium;M9049;x
9050;Minister of Armament;H・M・パイヴァ・コウセイロ;37;SC;Submarine Proponent;Medium;M9028;x
9051;Minister of Armament;ジョアン・シャガス;37;SC;Military Entrepreneur;Medium;M9051;x
9052;Minister of Armament;ヴァスコ・カルヴァーリョ;37;SC;Theoretical Scientist;Medium;M9052;x
9053;Minister of Armament;ジョアン・ヌメス・コスタ;38;PA;Air to Ground Proponent;High;M9053;x
9054;Minister of Armament;アントニオ・サルディーニョ;38;PA;Administrative Genius;High;M9024;x
9055;Minister of Armament;アルベルト・モンサラス;39;FA;Laissez-Faire Capitalist;Medium;M9055;x
9056;Minister of Armament;アントニオ・M・B・フェレイラ;39;SC;Tank Proponent;Medium;M9056;x
9057;Minister of Armament;ジャイメ・コルテサン;40;SD;Tank Proponent;Very Low;M9012;x
9058;Minister of Armament;アルミンド・モンテイロ;44;PA;Battle Fleet Proponent;Very High;M9058;x
9059;Minister of Armament;F・サルガド・ゼーニャ;46;LE;Military Entrepreneur;Low;M9034;x
9060;Minister of Security;アフォンソ・ルーカス;36;SC;Silent Lawyer;High;M9025;x
9061;Minister of Security;M・ノブレ・メロ;36;PA;Efficient Sociopath;Very High;M9061;x
9062;Minister of Security;アキリノ・リベイロ;37;SC;Crime Fighter;High;M9062;x
9063;Minister of Security;J・コスタ・レイテ;41;PA;Back Stabber;High;M9063;x
9064;Minister of Security;アルフレド・ピメンタ;43;PA;Prince of Terror;Very High;M9026;x
9065;Minister of Security;J・ボテーリョ・モニス;44;FA;Compassionate Gentleman;High;M9065;x
9066;Minister of Security;エンリケ・ガルヴァン;45;PA;Man of the People;Medium;M9066;x
9067;Head of Military Intelligence;ジュリオ・ダンタス;38;PA;Industrial Specialist;High;M9067;x
9068;Head of Military Intelligence;ジョアン・ペレイラ・バストス;39;PA;Logistics Specialist;High;M9016;x
9069;Head of Military Intelligence;アウグスト・ヴァスコンセロス;42;PA;Technical Specialist;High;M9069;x
9070;Chief of Staff;J・A・シルヴァ・バストス;38;PA;School of Mass Combat;High;M9027;x
9071;Chief of Staff;エドゥアルド・A・マルケス;42;PA;School of Fire Support;High;M9071;x
9072;Chief of Army;J・M・ノルトン・マトス;36;SL;Static Defence Doctrine;Very Low;M9072;x
9073;Chief of Army;ロラン・プレト;42;FA;Armoured Spearhead Doctrine;Very High;M9073;x
9074;Chief of Army;J・バロス・ロドリゲス;44;FA;Elastic Defence Doctrine;Very High;M9074;x
9075;Chief of Navy;クィンタン・メイレレス;39;PA;Open Seas Doctrine;Very High;M9029;x
9076;Chief of Navy;アメリコ・デウス・トマス;44;PA;Open Seas Doctrine;High;M9076;x
9077;Chief of Air Force;オルティンス・ベテンコート;37;PA;Naval Aviation Doctrine;High;M9077;x
9078;Chief of Air Force;J・M・サルメント・ベイレス;43;SC;Carpet Bombing Doctrine;Low;M9020;x
9079;Chief of Air Force;ウンベルト・デルガド;47;SL;Air Superiority Doctrine;Medium;M9079;x
9011;Head of State;ラウル・ブランダン;36;SL;Insignificant Layman;High;M9004;x
9012;Head of Government;ジャイメ・コルテサン;36;SD;Smiling Oilman;High;M9012;x
9015;Minister of Security;ラウル・プロエンサ;36;SD;Back Stabber;Low;M9015;x
9017;Chief of Staff;ラウル・ブランダン;36;SL;School of Defence;Medium;M9004;x
9018;Chief of Army;ウンベルト・カルモナ;36;SL;Static Defence Doctrine;Low;M9018;x
9019;Chief of Navy;ジョゼ・サルメント・ピメンテル;36;SD;Base Control Doctrine;High;M9019;x
9020;Chief of Air Force;J・M・サルメント・ベイレス;36;SD;Naval Aviation Doctrine;High;M9020;x
9031;Head of State;ベント・ゴンサルヴェス;36;LE;Weary Stiffneck;High;M9031;x
9032;Head of Government;ベント・ゴンサルヴェス;36;LE;Happy Amateur;High;M9031;x
9033;Foreign Minister;H・バリラン・ルアス;36;LWR;Ideological Crusader;Very Low;M9033;x
9035;Minister of Security;アルヴァロ・カニャール;36;LE;Man of the People;High;M9035;x
9036;Head of Military Intelligence;アントニオ・セルゴ;36;LWR;Industrial Specialist;Medium;M9036;x
9037;Chief of Staff;ジョゼ・A・P・レベロ;36;LE;School of Psychology;Very High;M9037;x
9038;Chief of Army;ジョゼ・A・P・レベロ;36;LWR;Guns and Butter Doctrine;Very High;M9037;x
9039;Chief of Navy;ベント・ゴンサルヴェス;36;LE;Power Projection Doctrine;Very High;M9031;x
9040;Chief of Air Force;アントニオ・セルゴ;36;LWR;Carpet Bombing Doctrine;Medium;M9036;x
9080;Head of State;フランスシコ・クラヴェイロ・ロペス;51;PA;Resigned Generalissimo;High;M9080;x
9081;Foreign Minister;パウロ・クーニャ;50;PA;Apologetic Clerk;Very High;M9081;x
