ROM;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
22001;Head of State;カロル2世;35;SC;Autocratic Charmer;High;M22001;x
22002;Head of Government;ゲオルグ・タタレスク;35;SC;Silent Workhorse;High;M22002;x
22003;Foreign Minister;ニコラエ・ティトゥレスク;35;SC;Great Compromiser;Medium;M22003;x
22004;Minister of Armament;コンスタンチン・ブラティアヌ;35;SC;Resource Industrialist;High;M22004;x
22005;Minister of Security;イストラーテ・マイセスク;35;SC;Silent Lawyer;Medium;M22005;x
22006;Head of Military Intelligence;ミハイル・モルゾフ;35;SC;Logistics Specialist;Very High;M22006;x
22007;Chief of Staff;イオン・アントネスク;35;SC;School of Psychology;High;M22007;x
22008;Chief of Army;マリン・シアウス;35;SC;Static Defence Doctrine;Low;M22008;x
22009;Chief of Navy;ニコラエ・カランフィル;35;SC;Decisive Naval Battle Doctrine;Low;M22009;x
22010;Chief of Air Force;ダンテ・ヴィザンテ;35;SC;Air Superiority Doctrine;Medium;M22010;x
22031;Head of State;カロル2世;36;SL;Autocratic Charmer;High;M22001;x
22032;Head of State;カロル2世;36;PA;Autocratic Charmer;High;M22001;x
22034;Head of State;ミハイ1世;39;SC;Insignificant Layman;High;M22011;x
22035;Head of State;ミハイ1世;39;FA;Insignificant Layman;High;M22011;x
22037;Head of State;ミハイ・ホーエンツォレルン＝ジグマリンゲン;39;LWR;Popular Figurehead;High;M22011;x
22038;Head of State;コンスタンチン・I・パルホン;36;ST;Powerhungry Demagogue;High;M22038;x
22039;Head of State;カロル2世;36;NS;Autocratic Charmer;High;M22001;x
22040;Head of State;ミハイ1世;39;NS;Insignificant Layman;High;M22011;x
22041;Head of Government;オクタヴィアン・ゴガ;38;SL;Happy Amateur;High;M22041;x
22042;Head of Government;大主教ミロン;38;PA;Happy Amateur;High;M22042;x
22164;Minister of Armament;ミリタ・コンスタンティネスク;39;SC;Balanced Budget Economy;High;M22164;x
22165;Minister of Armament;ミルチャ・カンチツォフ;36;SC;Balanced Budget Economy;High;M22165;x
22043;Head of Government;アーマンド・カリネスキュー;39;SL;Smiling Oilman;High;M22043;x
22044;Head of Government;ゲオルグ・アルゲシアヌ;39;SL;Silent Workhorse;High;M22044;x
22045;Head of Government;コンスタンチン・アルゲトイアヌ;39;SL;Political Protege;High;M22045;x
22047;Head of Government;イオン・ギガーツ;40;SL;Corporate Suit;High;M22047;x
22048;Head of Government;イオン・アントネスク;40;FA;Old General;High;M22007;x
22049;Head of Government;コンスタンチン・サナテスキュー;44;PA;Old General;High;M22049;x
22050;Head of Government;ニコラエ・ラデスク;44;SC;Happy Amateur;High;M22050;x
22051;Head of Government;ペトル・グローザ;45;ST;Backroom Backstabber;High;M22022;x
22052;Head of Government;ゲオルグ・ゲオルギ＝デジュ;52;ST;Political Protege;High;M22052;x
22053;Head of Government;コーネリウ・コドレアヌ;36;NS;Flamboyant Tough Guy;High;M22053;x
22054;Head of Government;ホリア・シマ;38;NS;Happy Amateur;High;M22054;x
22055;Head of Government;イウリウ・マニウ;38;SD;Naive Optimist;High;M22055;x
22056;Head of Government;コンスタンチン・ブラティアヌ;45;SC;Corporate Suit;High;M22004;x
22057;Foreign Minister;イオン・アントネスク;36;SC;General Staffer;Medium;M22007;x
22058;Foreign Minister;イストラーテ・マイセスク;38;SL;Great Compromiser;Medium;M22005;x
22059;Foreign Minister;ゲオルグ・タタレスク;38;PA;Iron Fisted Brute;Medium;M22002;x
22166;Minister of Armament;ゲオルグ・タタレスク;34;SC;Balanced Budget Economy;Medium;M22002;x
22070;Foreign Minister;ニコラエ・ペトレスク＝コムネン;38;PA;Apologetic Clerk;Medium;M22070;x
22071;Foreign Minister;グリゴレ・ガフェンク;39;SL;Biased Intellectual;Low;M22071;x
22072;Foreign Minister;イオン・ギガーツ;40;SC;Ideological Crusader;Medium;M22047;x
22073;Foreign Minister;コンスタンチン・アルゲトイアヌ;39;SC;General Staffer;Medium;M22045;x
22074;Foreign Minister;ミハイル・マノイレスク;40;SL;Apologetic Clerk;Medium;M22074;x
22075;Foreign Minister;ミハイル・スターザ;40;FA;Ideological Crusader;Medium;M22013;x
22076;Foreign Minister;イオン・アントネスク;40;FA;General Staffer;Medium;M22007;x
22077;Foreign Minister;ミハイ・アントネスク;40;FA;The Cloak N Dagger Schemer;Low;M22077;x
22078;Foreign Minister;グリゴレ・ニクレスコ＝ブゼスティ;44;PA;Apologetic Clerk;Medium;M22078;x
22079;Foreign Minister;コンスタンチン・ヴィソイアヌ;44;SC;The Cloak N Dagger Schemer;Medium;M22079;x
22080;Foreign Minister;ゲオルグ・タタレスク;45;LE;Iron Fisted Brute;Medium;M22002;x
22081;Foreign Minister;アナ・パウカー;47;ST;Ideological Crusader;Very High;M22023;x
22082;Foreign Minister;コーネリウ・コドレアヌ;37;NS;Ideological Crusader;Low;M22053;x
22083;Foreign Minister;コンスタンチン・I・パルホン;37;ST;Great Compromiser;Low;M22038;x
22084;Foreign Minister;イウリウ・ホスー;38;SD;Great Compromiser;Medium;M22084;x
22085;Foreign Minister;イオン・アントネスク;40;NS;General Staffer;Medium;M22012;x
22086;Foreign Minister;ジョルジュ・オプレスク;38;SD;Biased Intellectual;Medium;M22086;x
22087;Minister of Armament;ヴァージル・マドギアル;38;SL;Administrative Genius;Medium;M22087;x
22088;Minister of Armament;カイウス・ブレディシアヌ;38;PA;Laissez-Faire Capitalist;High;M22088;x
22089;Minister of Armament;コンスタンチン・ブラティアヌ;39;SL;Resource Industrialist;High;M22004;x
22091;Minister of Armament;イウリウ・マニウ;39;SC;Administrative Genius;Medium;M22055;x
22092;Minister of Armament;コンスタンチン・アントニアーデ;40;SL;Laissez-Faire Capitalist;Low;M22092;x
22093;Minister of Armament;ゲオルグ・ポトピアヌ;40;FA;Military Entrepreneur;High;M22093;x
22094;Minister of Armament;ゲオルグ・ドブレ;42;FA;Infantry Proponent;High;M22094;x
22095;Minister of Armament;ニコラエ・ストエネスク;44;PA;Tank Proponent;Medium;M22095;x
22096;Minister of Armament;ミハイル・ラコヴィツァ;44;SC;Infantry Proponent;High;M22096;x
22097;Minister of Armament;コンスタンチン・パパナセ;43;NS;Administrative Genius;Low;M22014;x
22098;Minister of Armament;ヴァシル・ルカ;45;ST;Administrative Genius;High;M22024;x
22099;Minister of Security;アーマンド・カリネスキュー;38;SL;Prince of Terror;High;M22043;x
22100;Minister of Security;セザレ・ヴァイダ＝ヴォイエヴォド;38;PA;Crime Fighter;Medium;M22100;x
22101;Minister of Security;イオン・ミハラチェ;39;SL;Man of the People;Low;M22101;x
22102;Minister of Security;アレクサンダー・キュザ;39;SD;Prince of Terror;Medium;M22102;x
22104;Minister of Security;ヴァシル・ゴルディス;40;SL;Man of the People;Medium;M22104;x
22105;Minister of Security;イストラーテ・マイセスク;40;FA;Crime Fighter;Medium;M22005;x
22106;Minister of Security;ダビド・ポペスク;41;FA;Prince of Terror;Medium;M22106;x
22107;Minister of Security;イオン・ボイテアノ;44;PA;Man of the People;Medium;M22107;x
22108;Minister of Security;ニコラエ・ラデスク;44;SC;Compassionate Gentleman;High;M22050;x
22109;Minister of Security;オーレル・アルデア;45;SC;Back Stabber;Medium;M22109;x
22110;Minister of Security;ホリア・シマ;40;NS;Efficient Sociopath;High;M22054;x
22111;Minister of Security;イオン・ペトロヴィセスク;43;NS;Efficient Sociopath;Low;M22015;x
22112;Minister of Security;テオハリ・ジョルジェスク;45;ST;Back Stabber;High;M22025;x
22113;Head of Military Intelligence;ヘレネ・ヴァカレスコ;38;SL;Dismal Enigma;Medium;M22113;x
22114;Head of Military Intelligence;ニコラエ・ストエネスク;38;PA;Political Specialist;Medium;M22095;x
22115;Head of Military Intelligence;ニコラス・ティトゥレスコ;39;SL;Industrial Specialist;Medium;M22115;x
22117;Head of Military Intelligence;ゲオルグ・サヴォイア;39;SC;Logistics Specialist;Low;M22117;x
22118;Head of Military Intelligence;イオシフ・イアコビチ;40;FA;Logistics Specialist;Very High;M22118;x
22119;Head of Military Intelligence;ペトレ・アントネスク;41;FA;Dismal Enigma;Very High;M22119;x
22120;Head of Military Intelligence;ユーゲン・クリステスク;43;NS;Dismal Enigma;Very High;M22016;x
22121;Head of Military Intelligence;デメトレ・ジャンコヴィシ;45;ST;Political Specialist;Medium;M22026;x
22122;Head of Military Intelligence;セルゲイ・ニコラウ;46;ST;Technical Specialist;High;M22122;x
22123;Chief of Staff;ミハイル・ラコヴィツァ;38;SL;School of Manoeuvre;High;M22096;x
22124;Chief of Staff;フロリア・テネスク;38;PA;School of Defence;Low;M22124;x
22125;Chief of Staff;ヨアン・イルクス;39;SL;School of Defence;Medium;M22125;x
22126;Chief of Staff;コンスタンチン・パンタツ;39;SC;School of Defence;High;M22126;x
22127;Chief of Staff;イオン・アントネスク;40;FA;School of Mass Combat;High;M22007;x
22128;Chief of Staff;ラドゥ・コルネ;43;FA;School of Manoeuvre;High;M22128;x
22129;Chief of Staff;コンスタンチン・サナテスキュー;44;PA;School of Fire Support;High;M22049;x
22130;Chief of Staff;ゲオルグ＝シナイア・イオネスク;44;SC;School of Defence;Medium;M22130;x
22131;Chief of Staff;ミハイル・ラスカー;45;ST;School of Mass Combat;Very High;M22027;x
22132;Chief of Staff;プラトン・チルノーガ;36;NS;School of Psychology;High;M22132;x
22133;Chief of Staff;ゲオルグ・アルゲシアヌ;40;NS;School of Fire Support;Medium;M22133;x
22134;Chief of Staff;イオン・アントネスク;43;NS;School of Psychology;High;M22012;x
22135;Chief of Army;コスティン・イオナスク;38;SL;Static Defence Doctrine;High;M22135;x
22136;Chief of Army;ゲオルグ・ミハイル;38;PA;Decisive Battle Doctrine;Medium;M22136;x
22138;Chief of Army;ゲオルグ・タタレスク;39;SC;Guns and Butter Doctrine;Medium;M22138;x
22139;Chief of Army;イリエ・ステフリア;40;FA;Guns and Butter Doctrine;High;M22139;x
22142;Chief of Army;コンスタンチン・サナテスキュー;44;PA;Elastic Defence Doctrine;High;M22049;x
22143;Chief of Army;ニコラエ・ラデスク;44;SC;Decisive Battle Doctrine;High;M22050;x
22144;Chief of Army;ダミアン・ラスク;45;ST;Armoured Spearhead Doctrine;Medium;M22028;x
22145;Chief of Army;アレクサンドル・イオアニチウ;38;NS;Armoured Spearhead Doctrine;Medium;M22018;x
22147;Chief of Navy;ホリア・マセラリウ;38;PA;Indirect Approach Doctrine;High;M22019;x
22150;Chief of Navy;ヨアン・ジョルジェスク;43;FA;Indirect Approach Doctrine;Medium;M22150;x
22151;Chief of Navy;ニコラエ・ソヴァ;44;PA;Base Control Doctrine;High;M22151;x
22152;Chief of Navy;ニコライ・デュカ・ディ・シルヴァニア;44;SC;Open Seas Doctrine;High;M22152;x
22153;Chief of Navy;ゲオルグ・イリエスカ;45;ST;Power Projection Doctrine;Medium;M22029;x
22155;Chief of Air Force;ゲオルグ・ジエネスク;38;PA;Army Aviation Doctrine;High;M22020;x
22158;Chief of Air Force;アーミル・ゲオルギウ;40;FA;Air Superiority Doctrine;Medium;M22158;x
22159;Chief of Air Force;パウル・テオドレスク;44;PA;Carpet Bombing Doctrine;Medium;M22159;x
22160;Chief of Air Force;ゲオルグ・ヴァシリウ;44;SC;Naval Aviation Doctrine;Low;M22160;x
22161;Chief of Air Force;エマノイル・イオネスク;45;ST;Army Aviation Doctrine;High;M22030;x
22162;Head of State;ペトル・グローザ;36;ST;Powerhungry Demagogue;High;M22022;x
22163;Foreign Minister;シモン・ブギッチ;52;ST;Apologetic Clerk;Very High;M22163;x
