RUS;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
4153;Head of State;キリル1世;36;FA;Weary Stiffneck;High;M4080;x
4154;Head of Government;グレゴリー・ジレンコフ;36;FA;Silent Workhorse;High;M4081;x
4155;Foreign Minister;ニコライ・ポクロフスキー;36;FA;General Staffer;Low;M4082;x
4156;Minister of Armament;ニコライ・マクラコフ;36;FA;Military Entrepreneur;Medium;M4083;x
4157;Minister of Security;ウラディミール・マリシュキン;36;FA;Back Stabber;Very High;M4084;x
4158;Head of Military Intelligence;ミハイル・ミーンドロフ;36;FA;Dismal Enigma;Very High;M4085;x
4159;Chief of Staff;アントン・デニキン;36;FA;School of Mass Combat;High;M4086;x
4161;Chief of Navy;ボリス・マカロフ;36;FA;Decisive Naval Battle Doctrine;High;M4088;x
4163;Head of State;アンドレイ・ヴラソフ;36;NS;Resigned Generalissimo;High;M4090;x
4164;Head of State;ウラディミール4世;36;PA;Benevolent Gentleman;High;M4091;x
4165;Head of State;アレクサンドル・ケレンスキー;36;SC;Die-hard Reformer;High;M4092;x
4166;Head of Government;ニコライ・エジョフ;36;ST;Backroom Backstabber;High;M4031;x
4095;Head of Government;イラクリジ・ツェレテリー;36;SC;Naive Optimist;High;M4095;x
4096;Foreign Minister;ボリス・スターマー;36;FA;Iron Fisted Brute;Low;M4096;x
4097;Foreign Minister;フェドール・チチェリン;36;NS;Biased Intellectual;Low;M4097;x
4098;Foreign Minister;ゲオルギ・ブラソフ;36;NS;The Cloak N Dagger Schemer;Low;M4098;x
4099;Foreign Minister;ボリス・チェルノフ;36;PA;Apologetic Clerk;Low;M4099;x
4100;Foreign Minister;ピオトル・プレハノフ;36;PA;Ideological Crusader;Low;M4100;x
4101;Foreign Minister;オレグ・ミルユコフ;36;SC;Great Compromiser;Low;M4101;x
4102;Foreign Minister;パヴェル・コノヴァロフ;36;SC;Apologetic Clerk;Low;M4102;x
4103;Minister of Armament;セルゲイ・ロジャンコ;36;FA;Resource Industrialist;Medium;M4103;x
4104;Minister of Armament;ニコラス・クラスノフ;36;NS;Administrative Genius;Medium;M4104;x
4105;Minister of Armament;ボリス・コメネノフ;36;NS;Resource Industrialist;Medium;M4105;x
4106;Minister of Armament;ゲオルギ・ブラソフ;36;PA;Resource Industrialist;Medium;M4098;x
4107;Minister of Armament;ユリジ・ロゼンフェルド;36;PA;Theoretical Scientist;Medium;M4107;x
4108;Minister of Armament;セルゲイ・サヴィンコフ;36;SC;Theoretical Scientist;Medium;M4108;x
