SAF;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
70001;Head of State;クラレンドン伯爵ジョージ・ヴィリエ;36;ML;Stern Imperialist;High;M70001;x
70002;Head of Government;ジェームズ・ヘルツォーク;36;ML;Old General;High;M70002;x
70003;Foreign Minister;ジェームズ・ヘルツォーク;36;ML;General Staffer;Very High;M70002;x
70004;Minister of Armament;ニコラース・ハフェンハ;36;ML;laissez-faire capitalist;Very High;M70004;x
70005;Minister of Security;ヤン・C・スマッツ;36;ML;Man of the People;High;M70005;x
70006;Head of Military Intelligence;ヤン・C・スマッツ;36;ML;Logistics Specialist;Medium;M70005;x
70007;Chief of Staff;ピエール・ファン･レイネフェルト;36;ML;School of Manoeuvre;Very High;M70007;x
70008;Chief of Army;ヤン・C・スマッツ;36;ML;Armoured Spearhead Doctrine;Very High;M70005;x
70009;Chief of Navy;ピエール・オリヴァー＝ノール;36;ML;Open Seas Doctrine;Very High;M70009;x
70010;Chief of Air Force;ピエール・ファン･レイネフェルト;36;ML;Air Superiority Doctrine;Very High;M70007;x
70022;Head of State;クラレンドン伯爵ジョージ・ヴィリエ;36;SC;Stern Imperialist;High;M70001;x
70023;Head of State;サー・パトリック・ダンカン;37;ML;Autocratic Charmer;High;M70023;x
70024;Head of State;サー・パトリック・ダンカン;37;SC;Autocratic Charmer;High;M70023;x
70025;Head of State;ニコラース・J・デ・ウェット;43;SC;Insignificant Layman;High;M70025;x
70026;Head of State;ニコラース・J・デ・ウェット;43;ML;Insignificant Layman;High;M70025;x
70027;Head of State;ギデオン・B・ヴァン・ジル;47;ML;Pig-headed Isolationist;High;M70027;x
70028;Head of State;ギデオン・B・ヴァン・ジル;47;SC;Pig-headed Isolationist;High;M70027;x
70029;Head of Government;D・F・マラン;36;SC;Flamboyant Tough Guy;High;M70029;x
70030;Head of Government;ヤン・C・スマッツ;38;ML;Backroom Backstabber;High;M70005;x
70031;Foreign Minister;ゲルト・クロンジェ;36;PA;Iron Fisted Brute;High;M70031;x
70032;Foreign Minister;エリック・H・ロウ;36;SC;Biased Intellectual;Very High;M70032;x
70033;Foreign Minister;レジナルド・ブランケンバーグ;37;SC;Biased Intellectual;High;M70033;x
70034;Foreign Minister;グラハム・ボータ;38;ML;Apologetic Clerk;High;M70034;x
70035;Foreign Minister;ヤン・C・スマッツ;38;ML;Ideological Crusader;Very High;M70005;x
70036;Foreign Minister;E・G・ジャンセン;41;ML;Great Compromiser;High;M70036;x
70037;Foreign Minister;ピエール・ファン･レイネフェルト;41;SC;General Staffer;Very High;M70007;x
70038;Foreign Minister;L・J・ド・プレシス;43;PA;Ideological Crusader;High;M70013;x
70039;Foreign Minister;D・F・マラン;43;SC;The Cloak N Dagger Schemer;Medium;M70029;x
70040;Minister of Armament;C・デ・ウィーンバーグ・ド・トイト;36;PA;Tank Proponent;Medium;M70015;x
70041;Minister of Armament;ヨハネス・G・ストレイダム;37;PA;Resource Industrialist;Very High;M70041;x
70042;Minister of Armament;ジェームズ・ヘルツォーク;38;ML;Infantry Proponent;Very High;M70002;x
70043;Minister of Armament;S・P・レ・ルー;38;ML;Administrative Genius;Low;M70043;x
70045;Minister of Armament;H・J・ヴァン・ダー・ビル;39;ML;Theoretical Scientist;Very High;M70045;x
70046;Minister of Armament;W・E・マデリー;39;ML;Administrative Genius;High;M70046;x
70047;Minister of Armament;アドルフ・マラン;40;ML;Air to Ground Proponent;Low;M70047;x
70048;Minister of Armament;チャールズ・T・テ・ウォーター;41;ML;Resource Industrialist;High;M70048;x
70049;Minister of Armament;オズワルド・ピロウ;41;PA;Military Entrepreneur;Medium;M70014;x
70050;Minister of Armament;コルネリス・ファン・ズイヘンブロッへ;42;SC;Submarine Proponent;Very High;M70050;x
70051;Minister of Armament;ピエール・オリヴァー＝ノール;43;SC;Battle Fleet Proponent;Very High;M70009;x
70052;Minister of Armament;P・O・サウア;43;SC;laissez-faire capitalist;Very High;M70052;x
70053;Minister of Armament;マリヌス・ヴァン・オスターケンプ;45;SC;Air to Sea Proponent;Low;M70053;x
70055;Minister of Security;ヘンドリック・F・フェルヴールト;36;SC;Prince of Terror;High;M70055;x
70056;Minister of Security;N・J・ヴァン・ダー・メルウェ;36;SC;Compassionate Gentleman;High;M70056;x
70057;Minister of Security;C・R・スワート;37;SC;Silent Lawyer;Very High;M70057;x
70058;Minister of Security;C・F・スタラード;38;ML;Silent Lawyer;High;M70058;x
70059;Minister of Security;T・E・ドンゲス;38;SC;Man of the People;High;M70059;x
70060;Minister of Security;D・F・マラン;38;SC;Crime Fighter;Low;M70029;x
70061;Minister of Security;E・G・ジャンセン;39;ML;Silent Lawyer;High;M70036;x
70062;Minister of Security;ヨハネス・G・ストレイダム;40;SC;Back Stabber;Very High;M70041;x
70063;Minister of Security;F・C・エラスムス;41;SC;Efficient Sociopath;Very High;M70063;x
70064;Minister of Security;C・デ・ウィーンバーグ・ド・トイト;43;PA;Crime Fighter;Medium;M70015;x
70065;Head of Military Intelligence;B・J・スコーマン;36;SC;Logistics Specialist;Medium;M70065;x
70066;Head of Military Intelligence;ジャノット・デ・ラ・トゥーリエ;39;SC;Naval Intelligence Specialist;Very High;M70066;x
70067;Head of Military Intelligence;セイモア・ジャクリン;40;PA;Political Specialist;Medium;M70016;x
70068;Head of Military Intelligence;エリック・ロウ;43;SC;Technical Specialist;Very High;M70032;x
70069;Head of Military Intelligence;C・R・スワート;43;SC;Dismal Enigma;Very High;M70057;x
70070;Head of Military Intelligence;ニコラース・ハフェンハ;45;SC;Industrial Specialist;Very High;M70004;x
70071;Chief of Staff;ジェームズ・ミッチェル＝ベーカー;37;SC;School of Manoeuvre;Medium;M70071;x
70072;Chief of Staff;レオナルド・ベイヤーズ;40;SC;School of Defence;Medium;M70072;x
70073;Chief of Staff;C・デ・ウィーンバーグ・ド・トイト;43;PA;School of Fire Support;Medium;M70015;x
70074;Chief of Staff;ヤン・C・スマッツ;44;ML;School of Mass Combat;High;M70005;x
70075;Chief of Staff;ロバート・パーマー;44;SC;School of Psychology;High;M70075;x
70076;Chief of Army;ジョシュア・F・ナウデ;36;SC;Guns and Butter Doctrine;Very High;M70076;x
70077;Chief of Army;ジェームズ・ミッチェル＝ベーカー;39;ML;Decisive Battle Doctrine;Medium;M70071;x
70078;Chief of Army;C・デ・ウィーンバーグ・ド・トイト;42;PA;Armoured Spearhead Doctrine;Medium;M70015;x
70079;Chief of Army;レオナルド・ベイヤーズ;43;SC;Static Defence Doctrine;Medium;M70072;x
70080;Chief of Army;ピエール・ファン･レイネフェルト;43;ML;Elastic Defence Doctrine;Very High;M70007;x
70081;Chief of Army;フランソワ・セロン;46;SC;Armoured Spearhead Doctrine;Medium;M70081;x
70082;Chief of Navy;ジャノット・デ・ラ・トゥーリエ;36;SC;Decisive Naval Battle Doctrine;Very High;M70066;x
70083;Chief of Navy;コルネリス・ファン・ズイヘンブロッへ;38;SC;Indirect Approach Doctrine;Very High;M70050;x
70084;Chief of Air Force;クリストフェル・ヴェンター;40;ML;Vertical Envelopment Doctrine;Very High;M70084;x
70085;Chief of Air Force;アドルフ・マラン;41;SC;Army Aviation Doctrine;Low;M70047;x
