SAL;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
77001;Head of State;マキシミリアノ・エルナンデス・マルティネス;36;PA;Resigned Generalissimo;High;M77001;x
77002;Head of Government;マキシミリアノ・エルナンデス・マルティネス;36;PA;Old General;High;M77001;x
77003;Foreign Minister;ミゲル・アンヘル・アラウジョ;36;SC;Biased Intellectual;Medium;M77003;x
77004;Minister of Armament;アルベルト・ゴメス・サラテ;36;PA;Infantry Proponent;Medium;M77004;x
77005;Minister of Security;フィデル・クリスティノ・ガライ;36;PA;Back Stabber;Medium;M77005;x
77006;Head of Military Intelligence;オスカル・A・ボラノス;36;PA;Industrial Specialist;Medium;M77006;x
77007;Chief of Staff;マルコ・A・モリナ;36;PA;School of Mass Combat;Medium;M77007;x
77008;Chief of Army;マキシミリアノ・エルナンデス・マルティネス;36;PA;Elastic Defence Doctrine;High;M77001;x
77009;Chief of Navy;ラウル・ロドルフィ・サンチェス;36;PA;Open Seas Doctrine;Medium;M77009;x
77010;Chief of Air Force;ウンベルト・アベルレ;36;PA;Army Aviation Doctrine;Medium;M77010;x
77031;Head of State;アンドレス・イグナシオ・メネンデス;44;SL;Benevolent Gentleman;High;M77011;x
77032;Head of State;オスミン・アギレ・イ・サリナス;44;PA;Powerhungry Demagogue;High;M77032;x
77033;Head of State;サルバドル・カストネダ・カストロ;45;SC;Die-hard Reformer;High;M77033;x
77034;Head of Government;アンドレス・イグナシオ・メネンデス;44;SL;Naive Optimist;High;M77011;x
77035;Head of Government;オスミン・アギレ・イ・サリナス;44;PA;Old General;High;M77032;x
77036;Head of Government;サルバドル・カストネダ・カストロ;45;SC;Smiling Oilman;High;M77033;x
77037;Foreign Minister;アルトゥーロ・ラモン・アビラ;42;SC;The Cloak N Dagger Schemer;Medium;M77013;x
77038;Foreign Minister;フリオ・エンリケ・アビラ;44;SD;Iron Fisted Brute;Medium;M77038;x
77039;Foreign Minister;アルベルト・アルゲリョ・ロウセル;44;PA;Great Compromiser;Medium;M77039;x
77040;Foreign Minister;エクトル・エスコバル・セラノ;45;SC;General Staffer;Medium;M77040;x
77041;Foreign Minister;ホアキン・レイバ・イ・リェイダ;46;ML;Biased Intellectual;Medium;M77041;x
77042;Minister of Armament;ピオ・ロメロ・ボスケ;38;SL;Administrative Genius;Medium;M77012;x
77043;Minister of Armament;ペドロ・ハイメ・デ・マテウ;38;SC;laissez-faire capitalist;Medium;M77043;x
77044;Minister of Armament;ホセ・マリア・ケリャル;45;ML;Tank Proponent;Very Low;M77022;x
77045;Minister of Armament;ホセ・グスタボ・ゲレロ;44;SL;Resource Industrialist;Medium;M77045;x
77046;Minister of Security;ペドロ・ハイメ・デ・マテウ;37;SL;Man of the People;Medium;M77043;x
77047;Minister of Security;ホセ・アダン・パラダ;39;PA;Compassionate Gentleman;Medium;M77015;x
77048;Minister of Security;ペドロ・ハイメ・デ・マテウ;41;SC;Man of the People;Medium;M77043;x
77049;Head of Military Intelligence;アルマンド・モリナ・メナ;41;SC;Dismal Enigma;Medium;M77016;x
77050;Head of Military Intelligence;サルバドル・ペナ・トレホ;44;SD;Logistics Specialist;Medium;M77026;x
77051;Head of Military Intelligence;ラウラ・H・デ・サラサル;44;SL;Technical Specialist;Medium;M77023;x
77052;Chief of Staff;アンドレス・イグナシオ・メネンデス;38;PA;School of Defence;Medium;M77011;x
77054;Chief of Army;マウロ・エスピノラ・カストロ;43;SC;Decisive Battle Doctrine;Medium;M77018;x
77055;Chief of Army;ホセ・アンヘル・カスティリョ;44;SD;Guns and Butter Doctrine;Low;M77028;x
77056;Chief of Navy;オラシオ・カルネホ・イバネス;40;SC;Indirect Approach Doctrine;Medium;M77019;x
77058;Chief of Air Force;リカルド・アブレゴ・アブレゴ;43;SC;Vertical Envelopment Doctrine;Medium;M77020;x
77059;Chief of Air Force;ミルトン・アンドラデ・カブレラ;44;SD;Army Aviation Doctrine;Medium;M77030;x
77060;Chief of Staff;オスミン・アギレ・イ・サリナス;44;PA;School of Mass Combat;High;M77032;x
77061;Chief of Army;オスミン・アギレ・イ・サリナス;44;PA;Elastic Defence Doctrine;High;M77032;x
77062;Minister of Armament;ホセ・グスタボ・ゲレロ;44;SC;laissez-faire capitalist;Medium;M77045;x
77063;Chief of Staff;サルバドル・カストネダ・カストロ;45;SC;School of Manoeuvre;High;M77033;x
77064;Chief of Army;エクトル・エスコバル・セラノ;45;SC;Armoured Spearhead Doctrine;Medium;M77040;x
77021;Head of State;アウグスティン・ファラブンド・マルティ;36;LE;Weary Stiffneck;High;M77021;x
77022;Head of Government;ホセ・マリア・ケリャル;36;LE;Naive Optimist;High;M77022;x
77023;Foreign Minister;ラウラ・H・デ・サラサル;36;LWR;Iron Fisted Brute;Medium;M77023;x
77025;Minister of Security;フランコ・エルナンデス・アビラ;36;LE;Compassionate Gentleman;Medium;M77025;x
77027;Chief of Staff;アウグスティン・ファラブンド・マルティ;36;LE;School of Fire Support;Medium;M77021;x
77065;Head of State;オスカル・A・オソリオ;48;PA;Resigned Generalissimo;High;M77065;x
77066;Head of Government;オスカル・A・オソリオ;48;PA;Old General;High;M77065;x
77067;Foreign Minister;フランコ・アミーゴ・パス;48;PA;Iron Fisted Brute;Medium;M77067;x
77068;Minister of Armament;ウンベルト・コスタ;48;PA;Air Superiority Proponent;Medium;M77068;x
77069;Minister of Security;マヌエル・デ・ヘセス・コルドバ;48;PA;Prince of Terror;Medium;M77069;x
77070;Head of Military Intelligence;レイナルド・ハリンド・ポール;48;PA;Naval Intelligence Specialist;Medium;M77070;x
77071;Chief of Staff;オスカル・A・ボラノス;48;PA;School of Defence;High;L360003;x
77072;Chief of Army;オスカル・A・オソリオ;48;PA;Decisive Battle Doctrine;High;M77065;x
77073;Chief of Navy;レイナルド・ハリンド・ポール;48;PA;Open Seas Doctrine;Medium;M77070;x
77074;Chief of Air Force;ウンベルト・コスタ;48;PA;Air Superiority Doctrine;Medium;M77068;x
77075;Chief of Army;マヌエル・デ・ヘセス・コルドバ;50;PA;Guns and Butter Doctrine;High;M77069;x
77076;Chief of Army;マヌエル・ホセ・マリア・レムス・ロペス;51;PA;Armoured Spearhead Doctrine;High;M77076;x
77077;Chief of Staff;マヌエル・デ・ヘセス・コルドバ;51;PA;School of Fire Support;High;M77069;x
