SCA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
514001;Head of State;クリスティアン10世;35;SD;Weary Stiffneck;High;M16001;x
514002;Head of Government;トルヴァルト・スタウニング;35;SD;Ambitious Union Boss;High;M16002;x
514003;Foreign Minister;ペール・アルビン・ハンソン;35;SD;Iron Fisted Brute;High;M7033;x
514004;Minister of Armament;グスタフ・メラー;35;SD;Laissez-Faire Capitalist;Medium;M7048;x
514005;Minister of Security;ヨハン・ニューゴールスヴォルド;35;SD;Man of the People;High;M14002;x
514006;Head of Military Intelligence;アルフレート・ロシェ＝ルンド;35;SD;Logistics Specialist;Low;M14006;x
514007;Chief of Staff;アーゲ・H・ヴェーデル;35;SD;School of Manoeuvre;Very High;M16119;x
514008;Chief of Army;オスカー・ニグレン;35;SD;Guns and Butter Doctrine;Medium;M7007;x
514009;Chief of Navy;アーゲ・H・ヴェーデル;35;SD;Open Seas Doctrine;Very High;M16119;x
514010;Chief of Air Force;トーステン・フリース;35;SD;Army Aviation Doctrine;Very High;M7010;x
514031;Head of State;クリスティアン10世;35;ML;Weary Stiffneck;High;M16001;x
514032;Head of State;フレデリク9世;47;SD;Autocratic Charmer;High;M16138;x
514033;Head of State;フレデリク9世;47;ML;Autocratic Charmer;High;M16138;x
514034;Head of Government;ペール・アルビン・ハンソン;42;SD;Corporate Suit;High;M7033;x
514035;Head of Government;エイナー・ゲルハルセン;46;SD;Political Protege;High;M14037;x
514036;Head of Government;C・J・ハンブロ;35;ML;Silent Workhorse;High;M14036;x
514037;Head of Government;アクセル・ペールソン・ブラムストルプ;40;ML;Happy Amateur;High;M7002;x
514038;Head of Government;クンド・クリステンセン;45;ML;Political Protege;High;M16043;x
514039;Foreign Minister;エーリク・スカヴェニウス;40;SD;Biased Intellectual;Very High;M16040;x
514040;Foreign Minister;トリグブ・H・リー;41;SD;Iron Fisted Brute;High;M14005;x
514041;Foreign Minister;ターゲ・エルランデル;46;SD;Great Compromiser;High;M7034;x
514042;Foreign Minister;エリク・アンドレアス・コルバン;35;ML;Great Compromiser;High;M14045;x
514043;Foreign Minister;ペール・インスランダー;39;ML;General Staffer;High;M7044;x
514044;Foreign Minister;クリスマス・ミュラー;45;ML;Biased Intellectual;Medium;M16041;x
514045;Minister of Armament;ヴィルヘルム・ブール;40;SD;Battle Fleet Proponent;High;M16039;x
514046;Minister of Armament;イェンス・クリスティアン・ハウゲ;41;SD;Military Entrepreneur;High;M14053;x
514047;Minister of Armament;ベルティル・オリーン;44;SD;Military Entrepreneur;Medium;M7037;x
514048;Minister of Armament;グスタフ・カッセル;35;ML;Administrative Genius;Medium;M7049;x
514049;Minister of Armament;エーリング・サンドバーグ;43;ML;Infantry Proponent;Very Low;M14014;x
514050;Minister of Armament;オーレ・ビョリュン・クラフト;45;ML;Resource Industrialist;Medium;M16042;x
514051;Minister of Security;アンダース・リンドステッド;37;SD;Compassionate Gentleman;Very High;M7061;x
514052;Minister of Security;J・C・イルゲンセン;42;SD;Crime Fighter;High;M16077;x
514053;Minister of Security;ハーコン・リー;45;SD;Prince of Terror;High;M14067;x
514054;Minister of Security;ハラルド・ペーターセン;35;ML;Crime Fighter;Very High;M16078;x
514055;Minister of Security;エーリング・サンドバーグ;43;ML;Compassionate Gentleman;Very Low;M14014;x
514056;Minister of Security;トルヴァルト・ベルグクエスト;44;ML;Man of the People;High;M7005;x
514057;Head of Military Intelligence;ヘルゲ・ユング;38;SD;Political Specialist;Low;M7006;x
514058;Head of Military Intelligence;ニールス・ボーア;41;SD;Technical Specialist;Very High;M16071;x
514059;Head of Military Intelligence;ヴィルヘルム・エヴァング;43;SD;Industrial Specialist;Medium;M14072;x
514060;Head of Military Intelligence;バートラム・ディヴァッド・ブロクマン;35;ML;Dismal Enigma;Medium;M14071;x
514061;Head of Military Intelligence;ルケ・ハンメルスケルド;41;ML;Industrial Specialist;High;M7070;x
514062;Head of Military Intelligence;H・M・ルンディング;45;ML;Logistics Specialist;High;M16090;x
514063;Chief of Staff;オットー・ルーゲ;38;SD;School of Defence;Medium;M14075;x
514064;Chief of Staff;エッベ・グルッツ;41;SD;School of Psychology;Very High;M16103;x
514065;Chief of Staff;ニルス・スヴェドルンド;46;SD;School of Fire Support;Very High;M7077;x
514066;Chief of Staff;オスカー・ニグレン;35;ML;School of Defence;Medium;M7007;x
514067;Chief of Staff;ハンス・A・ロルステッド;41;ML;School of Mass Combat;High;M16100;x
514068;Chief of Staff;ヴィルヘルム・フォン・タンゲン＝ハンステン;46;ML;School of Fire Support;Very High;M14078;x
514069;Chief of Army;ヴィルヘルム・W・プライアー;38;SD;Static Defence Doctrine;Medium;M16007;x
514070;Chief of Army;オーラヴ・アヴ・ノルゲ;42;SD;Elastic Defence Doctrine;Very High;M14081;x
514071;Chief of Army;ヘルゲ・ユング;44;SD;Armoured Spearhead Doctrine;Medium;M7006;x
514072;Chief of Army;パル・シルヴァン;35;ML;Static Defence Doctrine;Medium;M7079;x
514073;Chief of Army;オーラヴ・アヴ・ノルゲ;41;ML;Elastic Defence Doctrine;Very High;M14081;x
514074;Chief of Army;ヴィゴ・ヒャルフ;45;ML;Guns and Butter Doctrine;Low;L9531;x
514075;Chief of Navy;ヘンリー・ディーセン;37;SD;Decisive Naval Battle Doctrine;Medium;M14083;x
514076;Chief of Navy;カールー・ハンメリク;41;SD;Base Control Doctrine;Very High;M16121;x
514077;Chief of Navy;ゴスタ・エーレンスヴァルド;43;SD;Indirect Approach Doctrine;Medium;M7087;x
514078;Chief of Navy;エリク・パルムスティルナ;35;ML;Base Control Doctrine;Medium;M7050;x
514079;Chief of Navy;ハンス・コルネリウセン;41;ML;Indirect Approach Doctrine;Medium;M14086;x
514080;Chief of Navy;E・B・デ・クルクヴェコウアー;45;ML;Power Projection Doctrine;High;M16120;x
514081;Chief of Air Force;ヒャルマール・リーサー＝ラーセン;37;SD;Air Superiority Doctrine;Medium;M14089;x
514082;Chief of Air Force;イェンス・オットー・クラッグ;42;SD;Vertical Envelopment Doctrine;Very High;M16128;x
514083;Chief of Air Force;アクセル・リュンダール;44;SD;Naval Aviation Doctrine;Very High;M7092;x
514084;Chief of Air Force;トリグヴェ・クリンゲンベルグ;37;ML;Army Aviation Doctrine;Medium;M14093;x
514085;Chief of Air Force;ベングト・ノルデンショルド;42;ML;Vertical Envelopment Doctrine;High;M7070;x
514086;Chief of Air Force;カイ・ビルクステッド;45;ML;Air Superiority Doctrine;Very High;M16129;x
514011;Head of State;ヴィドクン・クヴィスリング;35;FA;Powerhungry Demagogue;High;M14012;x
514012;Head of Government;マルティン・エクストレム;35;FA;Naive Optimist;High;M7011;x
514013;Foreign Minister;エリク・フォン・ローセン;35;FA;Ideological Crusader;Very High;M7013;x
514014;Minister of Armament;フリッツ・クラウセン;35;FA;Infantry Proponent;High;M16011;x
514015;Minister of Security;スヴェン・ヘディン;35;FA;Back Stabber;Very High;M7015;x
514016;Head of Military Intelligence;ポール・ソマー;35;FA;Dismal Enigma;High;M16016;x
514017;Chief of Staff;コンラート・サンドロ;35;FA;School of Manoeuvre;High;M14018;x
514018;Chief of Army;フリッツ・フォン・シャルブルグ;35;FA;Guns and Butter Doctrine;Low;M16018;x
514019;Chief of Navy;バーテル・ブルン;35;FA;Open Seas Doctrine;Medium;M14019;x
514020;Chief of Air Force;アクセル・ギュレンクロック;35;FA;Army Aviation Doctrine;Low;M7020;x
514021;Head of State;アダム・エーゲデ・ニッセン;35;ST;Insignificant Layman;High;M14021;x
514022;Head of Government;アクセル・ラーセン;35;ST;Backroom Backstabber;High;M16021;x
514023;Foreign Minister;ペーダー・フルボトン;35;ST;Ideological Crusader;Medium;M14023;x
514024;Minister of Armament;アルフレート・イェンセン;35;ST;Tank Proponent;High;M16024;x
514025;Minister of Security;クンド・イェスパーセン;35;ST;Man of the People;High;M16086;x
514026;Head of Military Intelligence;スヴェン・リンデロト;35;ST;Naval Intelligence Specialist;High;M7021;x
514027;Chief of Staff;アルネ・ガウスル;35;ST;School of Defence;High;M14027;x
514028;Chief of Army;アクセル・ペターソン;35;ST;Decisive Battle Doctrine;Very High;unknown;x
514029;Chief of Navy;スクレ・ストーハイル;35;ST;Decisive Naval Battle Doctrine;Medium;M14029;x
514030;Chief of Air Force;クリスター・ロイタースヴァルド;35;LWR;Army Aviation Doctrine;Low;unknown;x
514091;Minister of Armament;アイモ・カヤンデル;41;ML;Resource Industrialist;Medium;M29054;x
514092;Minister of Armament;ペール・E・スヴェンヒュー;41;SC;Tank Proponent;High;M29001;x
514093;Minister of Security;アーンスト・V・L・ヴォン・ボーン;41;ML;Silent Lawyer;Medium;M29107;x
514094;Minister of Security;ヨウコ・イタラ;41;FA;Prince of Terror;Low;M29015;x
514095;Chief of Staff;カール・G・マンネルへイム;41;SC;Snow Miracle;Very High;M29034;x
514096;Chief of Army;カール・ヴォイノンマ;41;SD;Guns and Butter Doctrine;Very High;M29140;x
514097;Chief of Army;カール・G・マンネルへイム;41;SC;Decisive Battle Doctrine;Very High;M29034;x
514098;Chief of Navy;クラエス・ホロラ;41;SD;Open Seas Doctrine;High;M29148;x
