SCH;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
17001;Head of State;アルベルト・マイヤー;36;ML;Ruthless Powermonger;High;M17001;x
17002;Head of Government;アルベルト・マイヤー;36;ML;Silent Workhorse;High;M17001;x
17003;Foreign Minister;ジュゼッペ・モッタ;36;SL;Apologetic Clerk;Very High;M17003;x
17004;Minister of Armament;アルベルト・マイヤー;36;ML;laissez-faire capitalist;Very High;M17001;x
17005;Minister of Security;ヨハンネス・バウマン;36;ML;Compassionate Gentleman;Very High;M17005;x
17006;Head of Military Intelligence;ロジェ・マッソン;36;SL;Industrial Specialist;Very High;M17006;x
17007;Chief of Staff;ヤコブ・I・フーバー;36;SL;School of Fire Support;Very High;M17007;x
17008;Chief of Army;ヨハン・アウグスト・ズター;36;ML;Static Defence Doctrine;Very High;M17008;x
17009;Chief of Navy;レネ・フォン・グラフェンリート;36;ML;Base Control Doctrine;Very High;M17009;x
17010;Chief of Air Force;オスカー・ビダー;36;ML;Air Superiority Doctrine;Very High;M17010;x
17031;Head of State;ジュゼッペ・モッタ;37;SL;Stern Imperialist;High;M17003;x
17032;Head of State;ヨハンネス・バウマン;38;ML;Resigned Generalissimo;High;M17005;x
17033;Head of State;フィリップ・エッター;39;SL;Autocratic Charmer;High;M17033;x
17034;Head of State;マルセル・ピレ＝ゴラツ;40;SD;Popular Figurehead;High;M17034;x
17035;Head of State;エルンスト・ヴェター;41;ML;Powerhungry Demagogue;High;M17035;x
17037;Head of State;エンリコ・ツェリオ;43;SD;Die-hard Reformer;High;M17037;x
17038;Head of State;ヴァルター・シュタンプフリ;44;ML;Barking Buffoon;High;M17038;x
17039;Head of State;デドゥアルト・フォン・シュタイガー;45;SC;Benevolent Gentleman;High;M17039;x
17040;Head of State;カール・コベルト;46;ML;Pig-headed Isolationist;High;M17040;x
17042;Head of Government;ジュゼッペ・モッタ;37;SL;Silent Workhorse;High;M17003;x
17043;Head of Government;ヨハンネス・バウマン;38;ML;Ambitious Union Boss;High;M17005;x
17044;Head of Government;フィリップ・エッター;39;SL;Flamboyant Tough Guy;High;M17033;x
17045;Head of Government;マルセル・ピレ＝ゴラツ;40;SD;Political Protege;High;M17034;x
17046;Head of Government;エルンスト・ヴェター;41;ML;Backroom Backstabber;High;M17035;x
17048;Head of Government;エンリコ・ツェリオ;43;SD;Corporate Suit;High;M17037;x
17049;Head of Government;ヴァルター・シュタンプフリ;44;ML;Naive Optimist;High;M17038;x
17050;Head of Government;デドゥアルト・フォン・シュタイガー;45;SL;Smiling Oilman;High;M17039;x
17051;Head of Government;カール・コベルト;46;ML;Happy Amateur;High;M17040;x
17053;Foreign Minister;マルセル・ピレ＝ゴラツ;40;ML;Great Compromiser;Medium;M17034;x
17054;Foreign Minister;マックス・ペティットピエール;45;SL;Iron Fisted Brute;Very High;M17054;x
17055;Foreign Minister;ルドルフ・ゲルプケ;36;LE;Ideological Crusader;Medium;M17055;x
17056;Foreign Minister;パウル・ウステリ;37;ML;Ideological Crusader;High;M17056;x
17057;Foreign Minister;ヤコブ・I・フーバー;39;SL;General Staffer;High;M17007;x
17058;Foreign Minister;ニコラス・ルジューヌ;40;SL;Apologetic Clerk;High;M17058;x
17059;Foreign Minister;オットー・ビュス;41;SD;Iron Fisted Brute;High;M17059;x
17060;Foreign Minister;カール・ツェルトナー;41;SL;The Cloak N Dagger Schemer;High;M17060;x
17061;Foreign Minister;ユストゥス・シュテックリ;38;ML;Great Compromiser;Very High;M17061;x
17062;Foreign Minister;エンリコ・ツェリオ;42;SD;Ideological Crusader;High;M17037;x
17063;Foreign Minister;ヴァルター・シュタンプフリ;43;ML;Iron Fisted Brute;High;M17038;x
17064;Foreign Minister;マックス・カウフマン;44;SL;Biased Intellectual;High;M17064;x
17065;Foreign Minister;パウル・マンツ;45;SL;Great Compromiser;High;M17065;x
17066;Minister of Armament;フリードリヒ・トラウゴット＝ヴァーレン;40;ML;Resource Industrialist;Very High;M17066;x
17068;Minister of Armament;ハインリヒ・ハンドシャイン;37;SL;laissez-faire capitalist;Very High;M17068;x
17069;Minister of Armament;ヤコブ・モジマン;37;SL;Military Entrepreneur;Very High;M17069;x
17070;Minister of Armament;ヤコブ・I・フーバー;38;SL;Infantry Proponent;High;M17007;x
17071;Minister of Armament;エルンスト・ヴェター;39;ML;Resource Industrialist;Very High;M17035;x
17072;Minister of Armament;エルンスト・ヴェーバー;41;SL;Administrative Genius;Very High;M17072;x
17073;Minister of Armament;レオナルド・カステリ;42;SL;Tank Proponent;High;M17073;x
17074;Minister of Armament;エルンスト・ノプス;44;SD;Resource Industrialist;Very High;M17074;x
17075;Minister of Armament;オットー・ガス;38;SD;Air to Ground Proponent;Very High;M17075;x
17076;Minister of Armament;ジャン・ジニュー;42;ML;Resource Industrialist;Very High;M17076;x
17077;Minister of Armament;ヴェルナー・ジェニ;40;SD;Tank Proponent;Very High;M17077;x
17078;Minister of Armament;レオ・シュヴァイツァー;44;SD;Administrative Genius;Very High;M17078;x
17079;Minister of Armament;ルドルフ・ミンガー;44;ML;Administrative Genius;Very High;M17079;x
17080;Minister of Security;クレメンス・シュテックリ;44;ML;Silent Lawyer;Very High;M17080;x
17081;Minister of Security;エルンスト・ロリガー;44;SD;Man of the People;Very High;M17081;x
17082;Minister of Security;ハインリヒ・ロートムント;40;ML;Crime Fighter;Very High;M17082;x
17083;Minister of Security;ハンス・ロイピン;40;SD;Back Stabber;Very High;M17083;x
17084;Minister of Security;パウル・フルティヒ;42;ML;Silent Lawyer;Very High;M17084;x
17085;Minister of Security;グイド・ミーシャー;38;SD;Prince of Terror;Very High;M17085;x
17086;Minister of Security;ハインリヒ・アベック;36;ST;Crime Fighter;Very High;M17086;x
17087;Minister of Security;ギュスターヴ・アドール;36;ML;Man of the People;Very High;M17087;x
17088;Minister of Security;フェリーツ・カロンダー;36;SL;Back Stabber;Very High;M17088;x
17089;Minister of Security;エドモント・シュルテス;38;SL;Prince of Terror;Very High;M17089;x
17090;Minister of Security;ゴンザグ・ド・レイノルド;37;SL;Compassionate Gentleman;Very High;M17090;x
17091;Minister of Security;フーゴ・グシュヴィント;39;SL;Crime Fighter;Very High;M17091;x
17092;Minister of Security;デドゥアルト・フォン・シュタイガー;41;SL;Silent Lawyer;Very High;M17039;x
17093;Minister of Security;マックス・ヴァイベル;42;SL;Efficient Sociopath;Very High;M17093;x
17094;Minister of Security;トラウゴット・マイヤー;43;SD;Man of the People;Medium;M17025;x
17096;Head of Military Intelligence;ヴィリアム・ラパルト;38;ML;Industrial Specialist;Very High;M17096;x
17097;Head of Military Intelligence;ジル・ル・ピエール;39;SL;Logistics Specialist;Very High;M17097;x
