SER;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
547001;Head of State;ミルティン・ネディッチ;36;FA;Resigned Generalissimo;High;L46026;x
547002;Head of Government;ドラギサ・ツヴェトコヴィッチ;36;FA;Corporate Suit;High;M20032;x
547003;Foreign Minister;デュサン・シモヴィッチ;36;FA;Ideological Crusader;High;M20033;x
547004;Minister of Armament;スロボダン・ヨヴァノヴィッチ;36;FA;Military Entrepreneur;Medium;M20034;x
547005;Minister of Security;ミロス・トリフノヴィッチ;36;FA;Efficient Sociopath;Medium;M20035;x
547006;Head of Military Intelligence;ボジダル・プリック;36;FA;Technical Specialist;Medium;M20043;x
547007;Chief of Staff;マルコ・ボゾヴィッチ;36;FA;School of Manoeuvre;Medium;L46002;x
547008;Chief of Army;ミルティン・ネディッチ;36;FA;Armoured Spearhead Doctrine;Medium;L46026;x
547009;Chief of Navy;マリヤン・ポリッチ;36;FA;Decisive Naval Battle Doctrine;Medium;L46046;x
547010;Chief of Air Force;ペータル・ヴクセヴィッチ;36;FA;Army Aviation Doctrine;Medium;L46062;x
547011;Head of State;ヨシップ・ブロズ;36;LWR;Benevolent Gentleman;High;M20021;x
547012;Head of State;コスタ・タナゾヴィッチ;36;ML;Popular Figurehead;High;M547012;x
547013;Head of Government;ヨシップ・ブロズ;36;LWR;Happy Amateur;High;M20021;x
547014;Head of Government;イヴァン・スバシッチ;36;ML;Silent Workhorse;High;M20014;x
547015;Foreign Minister;イシドル・マンドレヴィッチ;42;FA;The Cloak N Dagger Schemer;Medium;M547015;x
547016;Foreign Minister;スタノエ・シミッチ;36;LWR;Apologetic Clerk;Medium;M20023;x
547017;Foreign Minister;エドヴァルド・カルデリ;36;ML;Biased Intellectual;Very High;M20047;x
547018;Foreign Minister;ドラゴミル・ヴィジッチ;41;ML;Iron Fisted Brute;Very High;M547018;x
547019;Minister of Armament;ミホヴィル・トマンドル;42;FA;Air Superiority Proponent;Medium;M547019;x
547020;Minister of Armament;ミレンティエ・ポポヴィッチ;36;LWR;Corrupt Kleptocrat;High;M20024;x
547021;Minister of Armament;ダヴォリン・イエンコ;42;LWR;Administrative Genius;High;M547021;x
547022;Minister of Armament;ラディスラフ・ポリッチ;36;ML;Laissez-Faire Capitalist;Medium;M20050;x
547023;Minister of Armament;ヴァサ・サイロヴィッチ;43;ML;Resource Industrialist;Medium;M547023;x
547024;Minister of Security;ハラルド・ターナー;41;FA;Prince of Terror;Medium;M547024;x
547025;Minister of Security;ミリュティン・バカル;42;FA;Compassionate Gentleman;Medium;M547025;x
547026;Minister of Security;ジョバ・ウドヴィスキ;36;LWR;Silent Lawyer;Medium;M547026;x
547027;Minister of Security;ドラゴリュブ・ステファニッチ;36;ML;Crime Fighter;Medium;M20061;x
547028;Minister of Security;ミリティン・ミランコヴィッチ;39;ML;Man of the People;Medium;M547028;x
547029;Head of Military Intelligence;レオナルド・コンティ;41;FA;Political Specialist;Medium;M547029;x
547030;Head of Military Intelligence;ラザ・コスティッチ;36;LWR;Industrial Specialist;Medium;M547030;x
547031;Head of Military Intelligence;ミハイル・ミロサエヴィッチ;36;ML;Logistics Specialist;Medium;M20068;x
547032;Head of Military Intelligence;ヴァサ・ジヴコヴィッチ;41;ML;Dismal Enigma;Medium;M547032;x
547033;Chief of Staff;アルサ・ジョヴァノヴィッチ;36;LWR;School of Fire Support;Medium;M20075;x
547034;Chief of Staff;ラディヴォエ・ジャンコヴィッチ;36;ML;School of Fire Support;Low;L46012;x
547035;Chief of Army;ボリボエ・ヨクシモヴィッチ;36;LWR;Guns and Butter Doctrine;High;L46013;x
547036;Chief of Army;ミハイロ・リュキッチ;36;ML;Elastic Defence Doctrine;High;L46020;x
547037;Chief of Navy;ヨシップ・ブロズ;36;LWR;Base Control Doctrine;High;M20029;x
547038;Chief of Navy;ボゴリュブ・イリッチ;36;ML;Open Seas Doctrine;High;M20029;x
547039;Chief of Air Force;ヨシップ・ブロズ;36;LWR;Vertical Envelopment Doctrine;Medium;M20028;x
547040;Chief of Air Force;ドラゴミル・ルカセヴィッチ;36;ML;Air Superiority Doctrine;Medium;L46055;x
547041;Head of State;ミハイロ1世;35;SC;Popular Figurehead;Medium;M544011;x
