SIA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
62001;Head of State;ラーマ8世;35;PA;Popular Figurehead;High;M62001;x
62002;Head of Government;プラヤー・パホンポンパユハセーナー;35;PA;Happy Amateur;High;M62002;x
62003;Foreign Minister;ハ・サムプタシリ;35;PA;Apologetic Clerk;Medium;M62003;x
62004;Minister of Armament;プラヤー・パホンポンパユハセーナー;35;PA;Corrupt Kleptocrat;Medium;M62002;x
62005;Minister of Security;プリーディー・パノムヨン;35;PA;Back Stabber;Low;M62005;x
62006;Head of Military Intelligence;プリーディー・パノムヨン;35;PA;Industrial Specialist;Medium;M62005;x
62007;Chief of Staff;プレーク・ピブーンソンクラーム;35;PA;School of Mass Combat;Medium;M62007;x
62008;Chief of Army;プレーク・ピブーンソンクラーム;35;PA;Guns and Butter Doctrine;High;M62007;x
62009;Chief of Navy;プリーディー・パノムヨン;35;PA;Base Control Doctrine;Medium;M62005;x
62010;Chief of Air Force;フラ・ヴェチャヤンラングサリト;35;PA;Army Aviation Doctrine;High;M62010;x
62031;Head of State;チャイナンド王子;42;PA;Autocratic Charmer;High;M62031;x
62032;Head of State;ラーマ8世;45;SC;Popular Figurehead;High;M62001;x
62033;Head of State;ラーマ9世;46;PA;Benevolent Gentleman;High;M62011;x
62035;Head of Government;プレーク・ピブーンソンクラーム;38;FA;Old General;High;M62007;x
62036;Head of Government;クワン・アパイウォン;44;PA;Silent Workhorse;High;M62036;x
62037;Head of Government;タウィー・ブンヤケート;45;SC;Smiling Oilman;High;M62015;x
62038;Head of Government;セーニー・プラーモート;46;SC;Corporate Suit;High;M62012;x
62039;Head of Government;クワン・アパイウォン;46;ML;Silent Workhorse;High;M62036;x
62040;Head of Government;プリーディー・パノムヨン;46;PA;Old Admiral;High;M62005;x
62041;Head of Government;サウォン・サムロングナワサワト;46;PA;Political Protege;High;M62029;x
62042;Head of Government;プラヤー・パホンポンパユハセーナー;39;SC;Happy Amateur;High;M62002;x
62043;Foreign Minister;ピア・チトナソングクフラ;38;FA;Apologetic Clerk;Medium;M62026;x
62044;Foreign Minister;ウィチト・ウィチトワサカルン;42;FA;Ideological Crusader;Very High;M62044;x
62045;Foreign Minister;プレーク・ピブーンソンクラーム;43;FA;General Staffer;High;M62007;x
62046;Foreign Minister;プリーディー・パノムヨン;43;FA;Iron Fisted Brute;Low;M62005;x
62047;Foreign Minister;アトハキティ・バノミオング;44;PA;Biased Intellectual;Medium;M62047;x
62048;Foreign Minister;タウィー・ブンヤケート;45;SC;General Staffer;Medium;M62015;x
62049;Foreign Minister;セーニー・プラーモート;45;SC;Ideological Crusader;Medium;M62012;x
62050;Foreign Minister;ディレク・プハジャヤナマ;45;ML;Great Compromiser;Low;M62014;x
62051;Foreign Minister;ティアリアン・フントラクール;46;PA;Apologetic Clerk;Medium;M62051;x
62052;Foreign Minister;サウォン・サムロングナワサワト;46;PA;The Cloak N Dagger Schemer;Medium;M62029;x
62054;Minister of Armament;ピア・ビダドコシャ;37;PA;Administrative Genius;Medium;M62054;x
62055;Minister of Armament;ピア・ウィチトチョラサイ;37;PA;Battle Fleet Proponent;Medium;M62055;x
62056;Minister of Armament;プリーディー・パノムヨン;38;FA;Tank Proponent;Low;M62005;x
62057;Minister of Armament;サーン・クリシュナムラ;39;SC;Air Superiority Proponent;Medium;M62057;x
62058;Minister of Armament;フラ・ヴェチャヤンラングサリト;41;FA;Air to Ground Proponent;High;M62010;x
62059;Minister of Armament;ピア・ブリナヴァラス;41;SC;Resource Industrialist;Medium;M62059;x
62060;Minister of Armament;チャルーン王子;43;FA;Military Entrepreneur;Medium;M62060;x
62061;Minister of Armament;ピア・チャレルマルキアルト;43;FA;Strategic Air Proponent;Medium;M62061;x
62062;Minister of Armament;ピア・プリーチャチョラユドハ;44;ML;Submarine Proponent;Medium;M62019;x
62063;Minister of Armament;ピア・サヤルンピカルト;44;PA;Air Superiority Proponent;Medium;M62063;x
