SIB;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
522001;Head of State;ニコライ・アヴクセンティエフ;35;PA;Benevolent Gentleman;High;M522001;x
522002;Head of Government;ヴァシリー・ボルディレフ;35;PA;Naive Optimist;High;M522002;x
522003;Foreign Minister;ヴィクトール・N・ペペリャエフ;35;PA;Apologetic Clerk;High;M522003;x
522004;Minister of Armament;ミハイル・ニキティン;35;PA;Strategic Air Proponent;Medium;M522004;x
522005;Minister of Security;ティミレヴァ・ラズートキン;35;PA;Man of the People;Medium;M522005;x
522006;Head of Military Intelligence;パヴェル・グレブホフ;35;PA;Political Specialist;Medium;M522006;x
522007;Chief of Staff;ピョートル・ボガスカノフ;35;PA;School of Psychology;Medium;M522007;x
522008;Chief of Army;ヤシャ・パルシンチェフ;35;PA;Static Defence Doctrine;Medium;M522008;x
522009;Chief of Navy;ヴァレリク・レシク;35;PA;Power Projection Doctrine;Medium;M517009;x
522010;Chief of Air Force;レフ・シュルキン;35;PA;Vertical Envelopment Doctrine;Medium;M522010;x
522012;Head of Government;ピョートル・ボロゴズキ;35;FA;Political Protege;High;M522012;x
522013;Foreign Minister;コンスタンティン・イグモフ;35;PA;Iron Fisted Brute;High;M522013;x
522014;Foreign Minister;アレクセイ・ガブリロヴィッチ;35;PA;Ideological Crusader;High;M522014;x
522015;Foreign Minister;ヤコヴ・パウチェンコ;35;FA;Great Compromiser;High;M522015;x
522016;Foreign Minister;ニコライ・ブルデンコ;35;FA;Apologetic Clerk;High;M522016;x
522017;Foreign Minister;ティホン・シャラモフ;35;FA;The Cloak N Dagger Schemer;High;M522017;x
522018;Minister of Armament;コンスタンティン・ティミリャザフ;35;PA;Resource Industrialist;Medium;M522018;x
522019;Minister of Armament;セルゲイ・ペトロヴィッチ;35;PA;Infantry Proponent;Medium;M522019;x
522020;Minister of Armament;ヴァシリー・クラメル;35;FA;Battle Fleet Proponent;Medium;M522020;x
522021;Minister of Armament;エヴァル・イリエンコフ;35;FA;Resource Industrialist;Medium;M522021;x
522022;Minister of Armament;イヴァン・クリウン;35;FA;Infantry Proponent;Medium;M522022;x
522023;Minister of Security;イヴァン・オブレイモフ;35;PA;Back Stabber;Medium;M522023;x
522024;Minister of Security;ニコライ・イツェンコ;35;PA;Prince of Terror;Medium;M522024;x
522025;Minister of Security;パヴェル・エムディン;35;FA;Prince of Terror;Medium;M522025;x
522026;Minister of Security;セルゲイ・スパソクコツキ;35;FA;Compassionate Gentleman;Medium;M522026;x
522027;Minister of Security;アンドリー・ポレノフ;35;FA;Back Stabber;Medium;M522027;x
522028;Head of Military Intelligence;ニコライ神父;35;PA;Dismal Enigma;Medium;M522028;x
522029;Head of Military Intelligence;ニコライ・グミレフ;35;PA;Technical Specialist;Medium;M522029;x
522030;Head of Military Intelligence;ミハイル・オストロウモフ;35;FA;Industrial Specialist;Medium;M522030;x
522031;Head of Military Intelligence;ピョートル・フィエフィロフ;35;FA;Political Specialist;Medium;M522031;x
522032;Head of Military Intelligence;ピョートル・パヴレンコ;35;FA;Dismal Enigma;Medium;M522032;x
522033;Chief of Staff;アレクサンデル・コルチャク;35;FA;School of Fire Support;Medium;M522033;x
522034;Chief of Army;ロマン・ヴレデン;35;FA;Armoured Spearhead Doctrine;Medium;M522034;x
522035;Chief of Navy;アレクサンデル・コルチャク;35;FA;Decisive Naval Battle Doctrine;Medium;M522035;x
522036;Chief of Air Force;ミハイル・クダエフ;35;FA;Air Superiority Doctrine;Medium;M522036;x
522037;Head of State;ミハイル・トハチェフスキー;35;PA;Revived man;Very High;M4007;x
522038;Chief of Staff;ミハイル・トハチェフスキー;35;PA;Deep Battle Proponent;High;M4007;x
522039;Chief of Army;ミハイル・トハチェフスキー;35;PA;Static Defence Doctrine;Very High;M4007;x
