SIE;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
554001;Head of State;サー・ヘンリー・モンク＝メイソン・ムーア;36;SC;Ruthless Powermonger;High;M550004;x
554002;Head of Government;サー・ダグラス・ジャーディン;36;SC;Backroom Backstabber;High;M554002;x
554003;Foreign Minister;サー・ヒューバート・クラドック・スティーヴンソン;36;SC;Great Compromiser;High;M554003;x
554004;Minister of Armament;ジェームズ・アルバート・ホール;36;SC;Air Superiority Proponent;Medium;M554004;x
554005;Minister of Security;ジョン・ハーバート・ダンカン;36;SC;Man of the People;Medium;M554005;x
554006;Head of Military Intelligence;ケネス・マクマーフィー＝ミルズ;36;SC;Technical Specialist;Medium;M554006;x
554007;Chief of Staff;ジョン・P・ムーアシェッド;36;SC;School of Manoeuvre;Medium;M554007;x
554008;Chief of Army;ロバート・リチャードソン;36;SC;Armoured Spearhead Doctrine;Medium;M554008;x
554009;Chief of Navy;フランク・ゴマソール;36;SC;Open Seas Doctrine;Medium;M554009;x
554010;Chief of Air Force;フレデリック・スティーヴンソン;36;SC;Naval Aviation Doctrine;Medium;M554010;x
554011;Head of State;サー・ミルトン・マルガイ;36;SD;Weary Stiffneck;High;M554011;x
554012;Head of Government;サー・アルバート・マルガイ;36;SD;Political Protege;High;M554012;x
554013;Foreign Minister;ユースタス・テイラー・カミングズ;36;SD;Ideological Crusader;High;M554013;x
554014;Minister of Armament;サー・バンジャ・テジャン＝ジー;41;SC;Resource Industrialist;Medium;M554014;x
554015;Minister of Armament;ラミナ・サンコー;36;SD;Military Entrepreneur;Medium;M554015;x
554016;Minister of Security;ジョン・カレファ・スマート;36;SD;Crime Fighter;Medium;M554016;x
554017;Head of Military Intelligence;カンデ・ブレー;36;SD;Logistics Specialist;Medium;M554017;x
554018;Head of Military Intelligence;モハンメド・サヌシ・ムスタファ;41;SD;Industrial Specialist;Medium;M554018;x
554019;Chief of Staff;ラフィジ・マナレー;36;SD;School of Fire Support;Medium;M554019;x
554020;Chief of Army;サナク・スティーヴンス;36;SD;Guns and Butter Doctrine;Medium;M554020;x
554021;Chief of Navy;アマドゥ・ウーリー;36;SD;Base Control Doctrine;Medium;M554021;x
554022;Chief of Air Force;エラ・コブロ・グラマ;36;SD;Army Aviation Doctrine;Medium;M554022;x
