SLO;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
31001;Head of State;アンドレイ・フリンカ;36;PA;Barking Buffoon;High;M31001;x
31002;Head of Government;ヨゼフ・ティソ;36;PA;Happy Amateur;High;M31002;x
31003;Foreign Minister;ヴォイテフ・トゥカ;36;PA;The Cloak N Dagger Schemer;Low;M31003;x
31004;Minister of Armament;パヴォル・テプランスキー;36;PA;Theoretical Scientist;Medium;M31004;x
31005;Minister of Security;フェルディナンド・ダーカンスキー;36;PA;Compassionate Gentleman;Low;M31005;x
31006;Head of Military Intelligence;ジャロスラフ・クラトクヴィル;36;PA;Industrial Specialist;High;M31006;x
31007;Chief of Staff;フェルディナンド・チャトロシュ;36;PA;School of Manoeuvre;Low;M31007;x
31008;Chief of Army;グスタフ・マーラー;36;PA;Armoured Spearhead Doctrine;High;L70010;x
31009;Chief of Navy;ヨゼフ・ホラ;36;PA;Decisive Naval Battle Doctrine;Medium;M31009;x
31010;Chief of Air Force;フリッツ・ゲザ;36;PA;Carpet Bombing Doctrine;Medium;M31010;x
31031;Head of State;ヨゼフ・ティソ;38;FA;Pig-headed Isolationist;High;M31002;x
31032;Head of State;ヨゼフ・ティソ;44;NS;Pig-headed Isolationist;High;M31002;x
31033;Head of State;カロル・シドー;45;PA;Popular Figurehead;High;M31033;x
31034;Head of Government;ヴォイテフ・トゥカ;38;FA;Naive Optimist;High;M31003;x
31035;Head of Government;ステファン・ティソ;44;NS;Backroom Backstabber;High;M31035;x
31036;Head of Government;カロル・シドー;45;PA;Silent Workhorse;High;M31033;x
31037;Foreign Minister;フェルディナンド・ダーカンスキー;38;FA;Great Compromiser;Very Low;M31005;x
31039;Foreign Minister;ステファン・ティソ;44;NS;Biased Intellectual;Very High;M31035;x
31040;Foreign Minister;ピーター・ジレムニッキー;45;PA;Apologetic Clerk;Very High;M31040;x
31041;Foreign Minister;ヨゼフ・クビン;46;SC;Apologetic Clerk;Low;M31019;x
31042;Minister of Armament;ミクラス・プルジンスキー;38;FA;Resource Industrialist;Medium;M31042;x
31043;Minister of Armament;ジャロスラフ・クラトクヴィル;44;NS;Military Entrepreneur;High;M31006;x
31045;Minister of Armament;エミル・レンドヴァイ;45;PA;Tank Proponent;High;M31045;x
31046;Minister of Armament;エドゥアール・バス＝シュミット;46;ML;laissez-faire capitalist;Medium;M31046;x
31047;Minister of Armament;ジンドリッヒ・ホンズル;46;ST;Military Entrepreneur;Medium;M31029;x
31048;Minister of Security;ジャンコ・ジェセンスキー;38;FA;Compassionate Gentleman;Low;M31048;x
31049;Minister of Security;フリッツ・ゲザ;39;FA;Compassionate Gentleman;Low;M31010;x
31050;Minister of Security;アレクサンダー・マッハ;40;NS;Efficient Sociopath;Low;M31050;x
31051;Minister of Security;ティド・ガスパール;41;FA;Prince of Terror;Medium;M31051;x
31052;Minister of Security;カロル・シドー;43;FA;Back Stabber;High;M31033;x
31053;Minister of Security;ヴティスラヴ・フルベック;45;PA;Silent Lawyer;High;M31053;x
31054;Head of Military Intelligence;グスタフ・マーラー;38;FA;Naval Intelligence Specialist;High;L70010;x
31055;Head of Military Intelligence;ハンス・ベルナルド;39;NS;Industrial Specialist;High;M31055;x
31056;Head of Military Intelligence;マンフレッド・ヴォン・キリンガー;40;NS;Logistics Specialist;High;M31056;x
31057;Head of Military Intelligence;ハンス・エラード・ルディン;41;NS;Political Specialist;High;M31057;x
31058;Head of Military Intelligence;ヴィルモス・ネジェドリー;45;PA;Technical Specialist;High;M31058;x
31059;Head of Military Intelligence;ジャロスラフ・メラン;46;SC;Industrial Specialist;High;M31059;x
31060;Chief of Staff;グスタフ・マーラー;38;FA;School of Fire Support;High;L70010;x
31061;Chief of Staff;オトマー・クベラ;44;NS;School of Mass Combat;Medium;M31061;x
31063;Chief of Army;フェルディナンド・チャトロシュ;38;FA;Guns and Butter Doctrine;Low;M31007;x
31064;Chief of Army;ヨゼフ・スネジダレク;44;NS;Decisive Battle Doctrine;High;M31064;x
31065;Chief of Army;エミル・レンドヴァイ;45;PA;Armoured Spearhead Doctrine;High;M31045;x
31066;Chief of Navy;ヨゼフ・トゥラネク;38;FA;Open Seas Doctrine;Medium;L70016;x
31068;Chief of Navy;ヴォジテク・ダウブナー;45;PA;Indirect Approach Doctrine;Medium;M31068;x
31069;Chief of Air Force;アントン・プラニック;38;FA;Army Aviation Doctrine;Medium;M31069;x
31070;Chief of Air Force;フランティセク・ストラカ;44;NS;Vertical Envelopment Doctrine;Medium;M31070;x
31071;Chief of Air Force;ヴォジテク・ダウブナー;45;PA;Air Superiority Doctrine;Medium;M31068;x
31011;Head of State;ヤン・スロバー・ヴァヴロ;36;SC;Insignificant Layman;High;M31011;x
31012;Head of Government;ダニエル・アートル;36;SC;Ambitious Union Boss;High;M31012;x
31013;Foreign Minister;ラディスラフ・スコヴィラ;36;SC;Great Compromiser;Low;M31013;x
31014;Minister of Armament;フランティセク・ハラス;36;ML;Infantry Proponent;Medium;M31014;x
31015;Minister of Security;ウリアン・パウリニー;36;SC;Man of the People;Low;M31015;x
31016;Head of Military Intelligence;エドゥアール・ウルクス;36;ML;Dismal Enigma;High;M31016;x
31017;Chief of Staff;ルドルフ・ヴィエスト;36;PA;School of Fire Support;Low;M31017;x
31018;Chief of Army;ルドルフ・ヴィエスト;36;PA;Decisive Battle Doctrine;High;M31017;x
31019;Chief of Navy;ヨゼフ・クビン;36;SC;Power Projection Doctrine;Medium;M31019;x
31020;Chief of Air Force;ヨゼフ・クビン;36;SC;Air Superiority Doctrine;Medium;M31019;x
31021;Head of State;ルドルフ・スランスキー;36;ST;Powerhungry Demagogue;High;M31021;x
31022;Head of Government;ミカエル・クノスコ;36;ST;Happy Amateur;High;M31022;x
31023;Foreign Minister;グスタフ・フサク;36;ST;Ideological Crusader;Low;M31023;x
31024;Minister of Armament;カレル・コンラッド;36;LE;Tank Proponent;Medium;M31024;x
31025;Minister of Security;フラノ・クラル;36;ST;Man of the People;Low;M31025;x
31026;Head of Military Intelligence;フランティセク・クラリナ;36;LE;Technical Specialist;High;M31026;x
31027;Chief of Staff;ジュリウス・ノスコ;36;ST;School of Psychology;Low;M31027;x
31028;Chief of Army;フランティセク・サデク;36;ST;Armoured Spearhead Doctrine;High;M31028;x
31029;Chief of Navy;ジンドリッヒ・ホンズル;36;ST;Open Seas Doctrine;Medium;M31029;x
31030;Chief of Air Force;シリル・ククタ;36;ST;Air Superiority Doctrine;Medium;M31030;x
