SOM;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
575001;Head of State;ロドルフォ・グラッツィアーニ;36;FA;Insignificant Layman;High;L6084;x
575002;Head of Government;ルッジェロ・サンティニ;36;FA;old airmarshal;High;L6232;x
575003;Foreign Minister;エンリコ・マルティニ;36;FA;Ideological Crusader;High;M575003;x
575004;Minister of Armament;ジョヴァンニ・フォルナリ;36;FA;Military Entrepreneur;Medium;M575004;x
575005;Minister of Security;カルロ・デ・シモネ;36;FA;Back Stabber;Medium;L6058;x
575006;Head of Military Intelligence;グスタヴォ・ペセンティ;36;FA;Dismal Enigma;Medium;M575006;x
575007;Chief of Staff;ラファエレ・オルランド;36;PA;School of Fire Support;Medium;L6111;x
575008;Chief of Army;フェデリコ・ロメロ;36;PA;Elastic Defence Doctrine;Medium;L6127;x
575009;Chief of Navy;ロレンツォ・ガスパリ;36;PA;Decisive Naval Battle Doctrine;Medium;L6171;x
575010;Chief of Air Force;エルネスト・ディ・フェルノ;36;PA;Naval Aviation Doctrine;Medium;L6206;x
575011;Head of State;アブドゥラヒ・イッサ・モハムド;44;SC;Popular Figurehead;High;M575011;x
575012;Head of State;サー・アーサー・ローレンス;39;SL;Barking Buffoon;High;M575012;x
575013;Head of Government;ハーバート・パイク＝ピース;39;SL;Political Protege;High;M575013;x
575014;Foreign Minister;エンリコ・アンゼロッティ;44;SC;The Cloak N Dagger Schemer;High;M575014;x
575015;Foreign Minister;サー・ダグラス・ホール;39;SL;Great Compromiser;High;M575015;x
575016;Foreign Minister;モハンメド・ハジ・エガル;45;SL;Iron Fisted Brute;High;M575016;x
575017;Minister of Armament;グレイム・シンクレア＝ロックハート;39;SL;Resource Industrialist;Medium;M575017;x
575018;Minister of Armament;ガバール・バーカ;45;SL;Tank Proponent;Medium;M575018;x
575019;Minister of Security;レスリー・サンドフォード;39;SL;Crime Fighter;Medium;M575019;x
575020;Minister of Security;ラシド・アリ・シェルマケ博士;45;SL;Compassionate Gentleman;Medium;M575020;x
575021;Head of Military Intelligence;フランチェスコ・カロセリ;44;SC;Political Specialist;Medium;M575021;x
575022;Head of Military Intelligence;ヘンリー・E・フィッツアラン＝ハワード;39;SL;Logistics Specialist;Medium;M575022;x
575023;Head of Military Intelligence;ジェラルド・フィッシャー;44;SL;Industrial Specialist;Medium;M575023;x
575024;Chief of Staff;A・L・W・ソームズ;39;SL;School of Manoeuvre;Medium;L1283;x
575025;Chief of Army;リチャード・マクリーリー;39;SL;Armoured Spearhead Doctrine;Medium;L1216;x
575026;Chief of Army;ムハンメド・シアド・バレ;45;SL;Guns and Butter Doctrine;Medium;M575026;x
575027;Chief of Navy;ハロルド・バローズ;39;SL;Indirect Approach Doctrine;Medium;L1330;x
575028;Chief of Air Force;ロバート・オクスランド;39;SL;Vertical Envelopment Doctrine;Medium;L1466;x
