SOV;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
4001;Head of State;ミハイル・カリーニン;35;ST;Weary Stiffneck;High;M4001;x
4002;Head of Government;ヨシフ・V・スターリン;35;ST;Paranoid Megalomaniac2;High;M4002;x
4003;Foreign Minister;マクシム・リトヴィノフ;35;ST;Persuader of Democracies;Medium;M4003;x
4004;Minister of Armament;ラーザリ・カガノーヴィチ;35;ST;Iron Lazar;High;M4004;x
4005;Minister of Security;ゲンリフ・ヤゴーダ;35;ST;Purged Purger;Low;M4005;x
4006;Head of Military Intelligence;ヤン・ベルジン;35;ST;Technical Specialist;Medium;M4006;x
4007;Chief of Staff;ミハイル・N・トハチェフスキー;35;LE;Deep Battle Proponent;Low;M4007;x
4008;Chief of Army;クリメント・Y・ヴォロシーロフ;35;ST;Guns and Butter Doctrine;Very High;M4008;x
4009;Chief of Navy;ウラディミール・M・オルロフ;35;LE;Indirect Approach Doctrine;Very Low;M4009;x
4010;Chief of Air Force;ヤコフ・I・アルクスニス;35;LE;Air Superiority Doctrine;High;M4010;x
4074;Head of State;ヨシフ・V・スターリン;35;ST;Ruthless Powermonger;Very High;M4002;x
4076;Head of State;ヴャチェスラフ・モロトフ;35;ST;Autocratic Charmer;High;M4034;x
4070;Head of State;ニコライ・シュヴェルニク;46;ST;Insignificant Layman;High;M4070;x
4021;Head of State;アレクサンドル・ケレンスキー;35;SL;Die-hard Reformer;High;M4021;x
4031;Head of State;ニコライ・エジョフ;35;PA;Barking Buffoon;High;M4031;x
4072;Head of Government;ヴャチェスラフ・モロトフ;35;ST;Collectivizer;High;M4034;x
4075;Head of Government;ラヴレンティ・P・ベリヤ;38;ST;Backroom Backstabber;High;M4041;x
4022;Head of Government;アレクサンドル・ケレンスキー;35;SL;Happy Amateur;High;M4021;x
4032;Head of Government;ニコライ・エジョフ;35;PA;Local Tyrant;High;M4031;x
4033;Foreign Minister;アンドレイ・ヴィシンスキー;35;ST;The Cloak N Dagger Schemer;Very High;M4033;x
4034;Foreign Minister;ヴャチェスラフ・モロトフ;38;ST;Iron Fisted Brute;High;M4034;x
4035;Foreign Minister;イワン・M・マイスキー;43;ST;Apologetic Clerk;High;M4035;x
4036;Minister of Armament;ゲオルギ・D・バジレヴィッチ;38;ST;Infantry Proponent;High;M4036;x
4037;Minister of Armament;ドミトリー・F・ウスチノフ;41;ST;Theoretical Scientist;High;M4037;x
4038;Minister of Armament;ボリス・L・ヴァニコフ;42;ST;Military Entrepreneur;Very High;M4038;x
4039;Minister of Security;ニコライ・エジョフ;37;ST;Efficient Sociopath;Medium;M4031;x
4040;Minister of Security;セミョーン・ウリツキー;37;ST;Crime Fighter;Medium;M4040;x
4041;Minister of Security;ラヴレンティ・P・ベリヤ;38;ST;Nkvd Secretary;Very High;M4041;x
4042;Minister of Security;アレクサンドル・G・オルロフ;38;ST;Efficient Sociopath;Medium;M4042;x
4043;Minister of Security;セミョーン・G・ゲンディン;38;ST;Efficient Sociopath;Medium;M4043;x
4044;Minister of Security;アレクセイ・P・パンフィーロフ;41;ST;Man of the People;Medium;M4044;x
4045;Head of Military Intelligence;ニコライ・エジョフ;35;PA;Technical Specialist;Undying;M4031;x
4046;Head of Military Intelligence;イワン・I・プロスクロフ;37;ST;Dismal Enigma;High;M4046;x
4047;Head of Military Intelligence;フィリップ・I・ゴリコフ;40;ST;Political Specialist;Very High;M4047;x
4048;Head of Military Intelligence;アレクセイ・P・パンフィーロフ;41;ST;Logistics Specialist;High;M4044;x
4049;Head of Military Intelligence;イワン・I・イリイチェフ;42;ST;Industrial Specialist;Very High;M4049;x
4050;Head of Military Intelligence;フョードル・F・クズネツォフ;45;ST;Technical Specialist;Very High;M4050;x
4051;Chief of Staff;ボリス・M・シャポシニコフ;37;ST;School of Mass Combat;Very High;M4051;x
4052;Chief of Staff;キリル・A・メレツコフ;40;ST;School of Psychology;High;M4052;x
4053;Chief of Staff;ゲオルギー・K・ジューコフ;41;ST;School of Fire Support;Medium;M4028;x
4054;Chief of Staff;アレクサンドル・M・ヴァシレフスキー;42;ST;School of Defence;High;M4076;x
4055;Chief of Staff;ニコライ・ブルガーニン;44;ST;School of Mass Combat;Low;M4055;x
4056;Chief of Staff;アレクセイ・I・アントノフ;45;ST;School of Psychology;Very High;M4056;x
4057;Chief of Staff;セルゲイ・M・シュテメンコ;46;ST;School of Manoeuvre;High;M4057;x
4058;Chief of Army;セミョーン・K・チモシェンコ;40;ST;Elastic Defence Doctrine;High;M4058;x
4059;Chief of Army;ヨシフ・V・スターリン;41;ST;Guns and Butter Doctrine;Medium;M4002;x
4060;Chief of Army;ロディオン・マリノフスキー;43;ST;Armoured Spearhead Doctrine;High;L10102;x
4061;Chief of Navy;ミハイル・V・ヴィクトロフ;38;ST;Power Projection Doctrine;Very Low;M4061;x
4062;Chief of Navy;ニコライ・クズネツォフ;39;ST;Decisive Naval Battle Doctrine;High;M4029;x
4063;Chief of Navy;イワン・S・イサコフ;40;LE;Base Control Doctrine;Low;M4063;x
4064;Chief of Air Force;アレクサンドル・D・ロクティオノフ;37;ST;Army Aviation Doctrine;Low;M4064;x
4065;Chief of Air Force;パヴェル・V・リチャゴフ;38;ST;Naval Aviation Doctrine;Medium;M4030;x
4066;Chief of Air Force;ヤコフ・V・スムシュケヴィッチ;35;LE;Army Aviation Doctrine;Medium;M4066;x
4067;Chief of Air Force;アレクサンドル・E・ゴロヴァノフ;40;LE;Army Aviation Doctrine;High;M4067;x
4068;Chief of Air Force;アレクサンドル・ノヴィコフ;42;ST;Air Superiority Doctrine;Very High;M4068;x
4069;Chief of Air Force;Y・V・ウラディミロッチ;43;ST;Carpet Bombing Doctrine;Medium;M4069;x
4011;Head of State;アンドレイ・ヴラソフ;35;PA;Resigned Generalissimo;High;M4011;x
4012;Head of Government;ゲオルギー・ジレンコフ;35;PA;Political Protege;High;M4012;x
4013;Foreign Minister;フョードル・ボガティルチュク;35;PA;Great Compromiser;Low;M4013;x
4014;Minister of Armament;アントン・シェグロフ;35;PA;Military Entrepreneur;Medium;M4014;x
4015;Minister of Security;ウラディミール・マリシュキン;35;PA;Back Stabber;Very High;M4015;x
4016;Head of Military Intelligence;ミハイル・ミーンドロフ;35;PA;Dismal Enigma;Very High;M4016;x
4017;Chief of Staff;フョードル・トリクヒン;35;PA;School of Mass Combat;High;M4017;x
4018;Chief of Army;ヴィタリー・マルツェフ;35;PA;Decisive Battle Doctrine;Very High;M4018;x
4019;Chief of Navy;バレンティン・P・ドロズド;35;PA;Power Projection Doctrine;High;M4019;x
4020;Chief of Air Force;セルゲイ・A・チェルヌイフ;35;PA;Army Aviation Doctrine;High;M4020;x
4023;Foreign Minister;ロシア大公ドミトリー;35;SC;Biased Intellectual;Medium;M4023;x
4024;Minister of Armament;ウラディミール・スミルノフ;35;SL;Laissez-Faire Capitalist;High;M4024;x
4025;Minister of Security;イゴール・トルベツコイ;35;SC;Man of the People;Medium;M4025;x
4026;Head of Military Intelligence;イゴール・トルベツコイ;35;SC;Technical Specialist;Medium;M4025;x
4027;Chief of Staff;コンスタンティン・K・ロコソフスキー;40;LWR;School of Manoeuvre;High;M4027;x
4028;Chief of Army;ゲオルギー・K・ジューコフ;35;PA;Decisive Battle Doctrine;Medium;M4028;x
4029;Chief of Navy;ニコライ・クズネツォフ;35;PA;Decisive Naval Battle Doctrine;Medium;M4029;x
4030;Chief of Air Force;パヴェル・V・リチャゴフ;35;PA;Army Aviation Doctrine;Medium;M4030;x
4071;Minister of Armament;ニコライ・ブルガーニン;53;ST;Resource Industrialist;High;M4071;x
4073;Minister of Armament;ヨシフ・V・スターリン;35;ST;Military Entrepreneur;Very High;M4002;x
4083;Head of State;クリメント・Y・ヴォロシーロフ;53;ST;Resigned Generalissimo;High;M4008;x
4081;Head of Government;ニキータ・フルシチョフ;58;ST;Flamboyant Tough Guy;High;M4075;x
4082;Minister of Armament;アレクサンドル・M・ヴァシレフスキー;49;ST;Infantry Proponent;High;M4076;x
4077;Minister of Security;セルゲイ・クルグロフ;53;ST;Back Stabber;Very High;M4077;x
4078;Head of Military Intelligence;ヴィクトル・アバクーモフ;46;ST;Logistics Specialist;Very High;M4078;x
4079;Head of Military Intelligence;セミョーン・イグナチェフ;51;ST;Political Specialist;Very High;M4079;x
4080;Head of Military Intelligence;イワン・セーロフ;53;ST;Technical Specialist;Very High;M4080;x
4084;Head of State;レオニード・ブレジネフ;60;ST;Stern Imperialist;High;M4084;x
4085;Head of Government;ゲオルギー・マレンコフ;53;ST;Political Protege;High;M4085;x
4086;Head of Government;ニコライ・ブルガーニン;55;ST;Old General;High;M4071;x
4087;Foreign Minister;ドミトリー・シェピーロフ;56;ST;Apologetic Clerk;Medium;M4087;x
4088;Foreign Minister;アンドレイ・グロムイコ;57;ST;The Cloak N Dagger Schemer;Medium;M4088;x
4089;Minister of Armament;ゲオルギー・K・ジューコフ;55;ST;Military Entrepreneur;High;M4028;x
4090;Minister of Armament;ロディオン・マリノフスキー;59;ST;Tank Proponent;High;L10102;x
4091;Minister of Security;ニコライ・ドゥドロフ;56;ST;Back Stabber;Very High;M4091;x
4092;Head of Military Intelligence;アレクサンドル・シェレーピン;58;ST;Political Specialist;Very High;M4092;x
4093;Head of Military Intelligence;ウラジーミル・セミチャストヌイ;61;ST;Dismal Enigma;Very High;M4093;x
4200;Head of Military Intelligence;セミョーン・ウリツキー;35;ST;Logistics Specialist;Very High;M4040;x
4201;Head of Military Intelligence;セミョーン・ゲンディン;37;ST;Dismal Enigma;Very High;M4043;x
4202;Head of Military Intelligence;アレクサンドル・オルロフ;38;ST;Political Specialist;Very High;M4042;x
4203;Head of Military Intelligence;ニコライ・トルソフ;47;ST;Logistics Specialist;Very High;M4203;x
4204;Head of Military Intelligence;マトヴェイ・ザハロフ;49;ST;Logistics Specialist;Very High;M4204;x
4205;Head of Military Intelligence;ミハイル・シャリン;52;ST;Technical Specialist;Very High;M4205;x
4206;Head of Military Intelligence;セルゲイ・シュテメンコ;56;LE;Industrial Specialist;Very High;M4057;x
4207;Head of Military Intelligence;ピョートル・イワシュチン;62;LE;Industrial Specialist;Very High;M4207;x
4208;Head of Government;ミハイル・N・トハチェフスキー;41;LE;Silent Workhorse;Very High;M4007;x
4209;Head of Government;ニコライ・ブハーリン;35;ST;Silent Workhorse;Very High;M4209;x
4210;Minister of Security;ニコライ・ブハーリン;35;ST;Health and Safety;Very High;M4209;x
4211;Head of Government;グリゴリー・ジノヴィエフ;35;ST;Political Protege;Very High;M4211;x
4212;Minister of Armament;レフ・カーメネフ;35;LWR;Administrative Genius;Very High;M4212;x
