SPR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
11001;Head of State;ニセト・アルカラ＝サモラ;36;SC;Weary Stiffneck;High;M11001;x
11002;Head of Government;マヌエル・ポルテラ・バリャダレス;36;SC;Naive Optimist;High;M11002;x
11003;Foreign Minister;ホアキン・ウルサイス・カダバル;36;ML;Apologetic Clerk;Low;M11003;x
11004;Minister of Armament;ホセ・メンディサバル・イ・ボニリャ;36;SC;Infantry Proponent;Medium;M11004;x
11005;Minister of Security;マヌエル・ポルテラ・バリャダレス;36;SC;Silent Lawyer;High;M11002;x
11006;Head of Military Intelligence;ファン・ヘレナンデス・サラビア;36;ML;Technical Specialist;Medium;M11006;x
11007;Chief of Staff;ホセ・ミアハ・メナント;36;SC;School of Mass Combat;Medium;M11007;x
11008;Chief of Army;ニコラス・モレロ・ロボ;36;SC;Static Defence Doctrine;Very High;M11008;x
11009;Chief of Navy;アントニオ・アサロラ・グレシリョン;36;SL;Indirect Approach Doctrine;High;M11009;x
11010;Chief of Air Force;ミゲル・ヌニェス・デ・プラド;36;SL;Naval Aviation Doctrine;Medium;M11010;x
11033;Head of State;マヌエル・アサニャ・ディアス;36;SL;Pig-headed Isolationist;High;M11033;x
11034;Head of State;アウグスト・バルシア・トレリェス;36;SD;Insignificant Layman;High;M11034;x
11038;Head of State;アルバロ・デ・アルボルノス・リミニアナ;38;LWR;Powerhungry Demagogue;High;M11038;x
11039;Head of State;フランシスコ・ラルゴ・カバリェロ;38;SD;Barking Buffoon;High;M11039;x
11040;Head of State;コミテ・セントラル・デ・ラ・CNT-FAI;38;LE;Insignificant Layman;High;M11040;x
11041;Head of State;ディエゴ・マルティネス・バリオ;39;SD;Benevolent Gentleman;High;M11041;x
11042;Head of State;ホセ・ディアス・ラモス;39;ST;Barking Buffoon;High;M11021;x
11044;Head of State;フリアン・ベステイロ・フェルナンデス;45;LWR;Insignificant Layman;High;M11044;x
11046;Head of State;ファン・ネグリン・ロペス;36;LWR;Die-hard Reformer;High;M11046;x
11049;Head of State;ドロレス・イバウリ・ゴメス;42;ST;Ruthless Powermonger;High;M11049;x
11051;Head of State;アレハンドロ・レルー・ガルシア;42;SD;Insignificant Layman;High;M11051;x
11053;Head of State;フアン3世;44;SC;Benevolent Gentleman;High;M11011;x
11055;Head of State;フアン3世;36;PA;Benevolent Gentleman;High;M11011;x
11058;Head of Government;ホセ・ディアス・ラモス;36;ST;Ambitious Union Boss;High;M11021;x
11059;Head of Government;サンティアゴ・カリリョ・ソラレス;42;ST;Political Protege;High;M11059;x
11060;Head of Government;ファン・ネグリン・ロペス;37;LWR;Naive Optimist;High;M11060;x
11061;Head of Government;ホアキン・アスカソ・ブドリア;38;LE;Happy Amateur;High;M11061;x
11062;Head of Government;フランシスコ・ラルゴ・カバリェロ;36;LWR;Smiling Oilman;High;M11039;x
11063;Head of Government;ルイス・ヒメネス・デ・アスア;39;LWR;Ambitious Union Boss;High;M11063;x
11064;Head of Government;マヌエル・アサニャ・ディアス;38;SD;Silent Workhorse;High;M11033;x
11065;Head of Government;インダレシオ・プリエト・トゥエロ;39;SD;Political Protege;High;M11065;x
11066;Head of Government;サンティアゴ・カサレス・キロガ;36;SD;Corporate Suit;High;M11066;x
11067;Head of Government;ホセ・ヒラル・ペレイラ;36;SD;Naive Optimist;High;M11067;x
11068;Head of Government;マヌエル・ポルテラ・バリャダレス;36;SL;Naive Optimist;High;M11002;x
11069;Head of Government;ディエゴ・マルティネス・バリオ;44;SL;Backroom Backstabber;High;M11069;x
11071;Head of Government;ホセ・マリア・ヒル＝ロブレス・キニョネス;36;SC;Political Protege;High;M11012;x
11072;Head of Government;クラウディオ・サンチェス・アルボルノス;39;SC;Smiling Oilman;High;M11072;x
11073;Head of Government;ミゲル・マウラ・ガマソ;42;SC;Corporate Suit;High;M11073;x
11074;Head of Government;ホセ・マリア・ヒル＝ロブレス・キニョネス;36;PA;Flamboyant Tough Guy;NA;M11012;x
11075;Foreign Minister;ヘスス・エルナンデス・イ・トマス;36;ST;Ideological Crusader;High;M11023;x
11076;Foreign Minister;ドロレス・イバウリ・ゴメス;37;ST;Iron Fisted Brute;High;M11049;x
11077;Foreign Minister;マルガリータ・ネルケン;39;ST;Biased Intellectual;Medium;M11077;x
11078;Foreign Minister;フリオ・アルバレス・デル・バーヨ;40;ST;Ideological Crusader;High;M11078;x
11079;Foreign Minister;サンティアゴ・カリリョ・ソラレス;44;ST;The Cloak N Dagger Schemer;Very High;M11059;x
11080;Foreign Minister;アンドレウ・ニン・イ・ペレス;36;LE;The Cloak N Dagger Schemer;High;M11080;x
11081;Foreign Minister;ホアキン・マウリン・フリア;37;LE;Ideological Crusader;High;M11081;x
11082;Foreign Minister;エドゥアルド・デ・グスマン;38;LE;Great Compromiser;High;M11082;x
11083;Foreign Minister;ホセ・ペイラス;39;LE;Apologetic Clerk;High;M11083;x
11084;Foreign Minister;ディエゴ・アバド・デ・サンティリャン;40;LE;Biased Intellectual;High;M11084;x
11085;Foreign Minister;フェルナンド・デ・ロス・リオス・ウルティ;36;LWR;The Cloak N Dagger Schemer;High;M11085;x
11086;Foreign Minister;ビクトリア・ケン;38;LWR;Great Compromiser;High;M11086;x
11087;Foreign Minister;フリアン・ベステイロ・フェルナンデス;39;LWR;Apologetic Clerk;High;M11044;x
11088;Foreign Minister;アルバロ・デ・アルボルノス・リミニアナ;40;LWR;Biased Intellectual;Medium;M11045;x
11089;Foreign Minister;フリオ・アルバレス・デル・バーヨ;38;LWR;Ideological Crusader;High;M11078;x
11090;Foreign Minister;マヌエル・アサニャ・ディアス;36;SD;Iron Fisted Brute;High;M11090;x
11091;Foreign Minister;リュイス・コンパニス・イ・ホベル;37;SD;Iron Fisted Brute;High;M11091;x
11092;Foreign Minister;ホセ・ヒラル・ペレイラ;37;SD;Biased Intellectual;High;M11092;x
11093;Foreign Minister;セバスティアン・ポサス・ペレア;39;SD;General Staffer;High;M11093;x
11094;Foreign Minister;サンティアゴ・カサレス・キロガ;39;SD;Apologetic Clerk;High;M11066;x
11095;Foreign Minister;ビビアノ・フェルナンデス・オソリオ;40;SD;Great Compromiser;High;M11095;x
11096;Foreign Minister;アウグスト・バルシア・トレリェス;36;SD;Ideological Crusader;High;M11034;x
11099;Foreign Minister;ディエゴ・マルティネス・バリオ;36;SL;The Cloak N Dagger Schemer;High;M11069;x
11101;Foreign Minister;ディエゴ・イダルゴ・デュラン;39;SL;General Staffer;High;M11101;x
11102;Foreign Minister;サルバドル・デ・マダリアガ;40;SL;Great Compromiser;Medium;M11102;x
11103;Foreign Minister;F・ロペス・ゴイコエチェア・インチャウランディエタ;41;SL;Ideological Crusader;High;M11103;x
11104;Foreign Minister;リカルド・サンペル・イバネス;43;SL;Biased Intellectual;Medium;M11104;x
11105;Foreign Minister;アンヘル・オソリオ・イ・ガリャルド;36;SC;Biased Intellectual;High;M11105;x
11106;Foreign Minister;クラウディオ・サンチェス・アルボルノス;37;SC;Ideological Crusader;High;M11106;x
11107;Foreign Minister;マヌエル・デ・イルージョ・イ・オリョ;38;SC;The Cloak N Dagger Schemer;Medium;M11107;x
11108;Foreign Minister;ハウメ・アイガデル・イ・ミロ;39;SC;Apologetic Clerk;High;M11108;x
11109;Foreign Minister;ニセト・アルカラ＝サモラ;39;SC;Great Compromiser;Low;M11109;x
11110;Foreign Minister;ホセ・マルティネス・デ・ベラスコ;36;PA;Iron Fisted Brute;Low;M11110;x
11111;Foreign Minister;マヌエル・ヒメネス・フェルナンデス;41;PA;The Cloak N Dagger Schemer;Medium;M11013;x
11112;Foreign Minister;エミリオ・デ・パラシオス・イ・ファウ;43;PA;Ideological Crusader;High;M11112;x
11113;Foreign Minister;ルイス・ルシア・ルシア;45;PA;Biased Intellectual;Low;M11113;x
11114;Minister of Armament;ビセンテ・ウリベ・ガルデアノ;36;ST;Administrative Genius;Very High;M11114;x
11115;Minister of Armament;ファン・コモレラ・イ・ソレル;38;ST;Resource Industrialist;Medium;M11026;x
11116;Minister of Armament;エテルビノ・ベガ・マルティネス;39;ST;Tank Proponent;Medium;M11116;x
11117;Minister of Armament;エンリケ・カストロ・デルガド;41;ST;Infantry Proponent;High;M11024;x
11118;Minister of Armament;ヘスス・エルナンデス・イ・トマス;44;ST;Theoretical Scientist;High;M11118;x
11119;Minister of Armament;ファン・ロペス・サンチェス;36;LE;Resource Industrialist;Medium;M11119;x
11120;Minister of Armament;アンヘル・ペスタナ;37;LE;Air to Ground Proponent;High;M11120;x
11121;Minister of Armament;ホアキン・マウリン・フリア;38;LE;Tank Proponent;High;M11081;x
11122;Minister of Armament;ホアキン・アスカソ・ブドリア;39;LE;Military Entrepreneur;Very High;M11061;x
11123;Minister of Armament;ファン・ペイロ・ベリス;42;LE;Administrative Genius;Medium;M11123;x
11124;Minister of Armament;フェデリカ・モンステニー・マネ;43;LE;Theoretical Scientist;Medium;M11124;x
11125;Minister of Armament;リカルド・サンス・ガルシア;44;LE;Infantry Proponent;Medium;M11125;x
11126;Minister of Armament;インダレシオ・プリエト・トゥエロ;36;LWR;Military Entrepreneur;High;M11126;x
11127;Minister of Armament;ベラミノ・トマス・アルバレス;38;LWR;Resource Industrialist;High;M11127;x
11128;Minister of Armament;フェルナンド・デ・ロス・リオス・ウルティ;39;LWR;Strategic Air Proponent;High;M11128;x
11129;Minister of Armament;ファン・ネグリン・ロペス;40;LWR;Administrative Genius;High;M11046;x
11131;Minister of Armament;フランシスコ・ラルゴ・カバリェロ;41;LWR;Resource Industrialist;High;M11039;x
11132;Minister of Armament;フェリックス・ゴルドン・オルダス;43;LWR;Laissez-Faire Capitalist;High;M11132;x
11133;Minister of Armament;トドルフォ・リョピス・フェランディス;44;LWR;Infantry Proponent;High;M11133;x
11134;Minister of Armament;ホセ・ヒラル・ペレイラ;36;SD;Battle Fleet Proponent;High;M11067;x
11135;Minister of Armament;フランシスコ・メンデス・アスペ;38;SD;Resource Industrialist;High;M11135;x
11136;Minister of Armament;ビビアノ・フェルナンデス・オソリオ;38;SD;Infantry Proponent;High;M11095;x
11137;Minister of Armament;サンティアゴ・カサレス・キロガ;39;SD;Submarine Proponent;High;M11137;x
11138;Minister of Armament;マヌエル・アサニャ・ディアス;40;SD;Theoretical Scientist;Medium;M11033;x
11139;Minister of Armament;ホセ・ララス・ロペス;41;SD;Tank Proponent;High;M11139;x
11140;Minister of Armament;ホセ・プラ・ガルシア;42;SD;Laissez-Faire Capitalist;High;M11140;x
11142;Minister of Armament;カルレス・ピ・イ・スネル;45;SD;Administrative Genius;High;M11142;x
11143;Minister of Armament;ミゲル・ヌニェス・デ・プラド;36;SL;Air to Sea Proponent;Medium;M11143;x
11144;Minister of Armament;ベルナルド・ギネル・デ・ロス・リオス・ガルシア;37;SL;Theoretical Scientist;High;M11144;x
11145;Minister of Armament;エミリオ・エレーラ;39;SL;Air Superiority Proponent;High;M11145;x
11146;Minister of Armament;リュイス・ニコラウ・ドルウェル;40;SL;Resource Industrialist;High;M11146;x
11149;Minister of Armament;アレハンドロ・レルー・ガルシア;45;SL;Administrative Genius;High;M11051;x
11150;Minister of Armament;ホセ・ヤングアス・メシア;36;SC;Administrative Genius;High;M11150;x
11152;Minister of Armament;マヌエル・カラスコ・イ・フォルミゲラ;38;SC;Laissez-Faire Capitalist;High;M11152;x
11153;Minister of Armament;ディエゴ・イダルゴ・デュラン;39;SC;Military Entrepreneur;High;M11101;x
11154;Minister of Armament;アンヘル・オソリオ・イ・ガリャルド;41;SC;Theoretical Scientist;High;M11105;x
11155;Minister of Armament;ホアキン・チャパプリエタ・トレゴサ;45;SC;Balanced Budget Economy;High;M11155;x
11156;Minister of Armament;ホセ・カルボ＝ソテロ;36;PA;Laissez-Faire Capitalist;Very High;M11014;x
11157;Minister of Armament;ルイス・ルシア・ルシア;37;PA;Resource Industrialist;Low;M11113;x
11158;Minister of Armament;ホセ・マリア・ヒル＝ロブレス・キニョネス;37;PA;Military Entrepreneur;Medium;M11012;x
11159;Minister of Armament;ホセ・マリア・キニョネス・デ・レオン;38;PA;Tank Proponent;Medium;M11159;x
11160;Minister of Armament;ファン・マルク・オルディナス;39;PA;Administrative Genius;High;M11160;x
11161;Minister of Security;ビセンテ・ウリベ・ガルデアノ;36;ST;Man of the People;Very High;M11114;x
11162;Minister of Security;ドロレス・イバウリ・ゴメス;37;ST;Efficient Sociopath;High;M11162;x
11163;Minister of Security;バレンティン・ゴンサレス・ゴンサレス;38;ST;Back Stabber;Medium;M11163;x
11164;Minister of Security;マルガリータ・ネルケン;38;ST;Compassionate Gentleman;Medium;M11077;x
11165;Minister of Security;ホセ・ディアス・ラモス;39;ST;Man of the People;High;M11021;x
11166;Minister of Security;アントニオ・ミーヘ;41;ST;Prince of Terror;Medium;M11166;x
11167;Minister of Security;ホアキン・グリマウ・ガルシア;42;ST;Efficient Sociopath;High;M11167;x
11168;Minister of Security;サンティアゴ・カリリョ・ソラレス;42;ST;Prince of Terror;Very High;M11059;x
11169;Minister of Security;ホセ・エスポシト・レイバ;36;LE;Silent Lawyer;Medium;M11169;x
11170;Minister of Security;メルチョル・ロドリゲス・デ・ガルデアノ;37;LE;Crime Fighter;High;M11170;x
11171;Minister of Security;アンドレウ・ニン・イ・ペレス;37;LE;Compassionate Gentleman;High;M11080;x
11172;Minister of Security;エドゥアルド・デ・グスマン;38;LE;Silent Lawyer;High;M11082;x
11174;Minister of Security;ファン・ガルシア・オリベル;42;LE;Man of the People;High;M11174;x
11175;Minister of Security;ブエナベントゥラ・ドゥルティ・ドゥマンヘ;45;LE;Prince of Terror;High;M11175;x
11176;Minister of Security;フリアン・スガサゴイティア・メンディエタ;36;LWR;Compassionate Gentleman;High;M11176;x
11177;Minister of Security;アンヘル・ガラルサ・イ・ガーゴ;36;LWR;Prince of Terror;High;M11177;x
11178;Minister of Security;アントニオ・オルテガ・グティエレス;37;LWR;Efficient Sociopath;High;M11178;x
11179;Minister of Security;ラモン・ゴンサレス・ペナ;38;LWR;Crime Fighter;Medium;M11179;x
11180;Minister of Security;ビクトリア・ケン;40;LWR;Man of the People;High;M11086;x
11181;Minister of Security;ベンセスラオ・カリリョ・フォルハドル;41;LWR;Man of the People;Medium;M11181;x
11182;Minister of Security;サンティアゴ・カサレス・キロガ;36;SD;Prince of Terror;High;M11137;x
11183;Minister of Security;アモス・サルバドル・カレラス;38;SD;Man of the People;High;M11183;x
11184;Minister of Security;セバスティアン・ポサス・ペレア;40;SD;Crime Fighter;High;M11093;x
11185;Minister of Security;マルセリノ・ドミンゴ・サンファン;43;SD;Compassionate Gentleman;Medium;M11185;x
11186;Minister of Security;アレハンドロ・レルー・ガルシア;36;SL;Crooked Kleptocrat;High;M11051;x
11187;Minister of Security;ディエゴ・マルティネス・バリオ;37;SL;Prince of Terror;High;M11069;x
11188;Minister of Security;フリオ・ロペス・オリバン;38;SL;Back Stabber;Medium;M11188;x
11189;Minister of Security;パブロ・デ・アスカラテ・イ・フロレス;38;SL;Man of the People;Medium;M11189;x
11191;Minister of Security;ホセ・マルティネス・デ・ベラスコ;36;SC;Crime Fighter;Low;M11110;x
11192;Minister of Security;マヌエル・デ・イルージョ・イ・オリョ;38;SC;Man of the People;Medium;M11107;x
11193;Minister of Security;アンヘル・オソリオ・イ・ガリャルド;40;SC;Prince of Terror;High;M11105;x
11194;Minister of Security;フェデリコ・エスコフェ・アルシナ;41;SL;Crime Fighter;Medium;M11194;x
11195;Minister of Security;ミゲル・マウラ・ガマソ;43;SC;Compassionate Gentleman;Medium;M11073;x
11197;Minister of Security;マリアーノ・ゴメス;46;SC;Crime Fighter;High;M11197;x
11198;Minister of Security;トマス・ガルシアノ・ゴニ;36;PA;Compassionate Gentleman;Medium;M11015;x
11199;Minister of Security;ホセ・マリア・キニョネス・デ・レオン;39;PA;Prince of Terror;Medium;M11199;x
11200;Head of Military Intelligence;ラファエル・ビデリア・ルビオ;36;ST;Industrial Specialist;Medium;M11200;x
11201;Head of Military Intelligence;ヘスス・エルナンデス・イ・トマス;38;ST;Technical Specialist;High;M11023;x
11202;Head of Military Intelligence;サンティアゴ・カリリョ・ソラレス;40;ST;Political Specialist;Medium;M11202;x
11203;Head of Military Intelligence;ダニエル・オルテガ・マルティネス;41;ST;Logistics Specialist;High;M11203;x
11204;Head of Military Intelligence;ファン・コモレラ・イ・ソレル;45;ST;Dismal Enigma;Medium;M11204;x
11205;Head of Military Intelligence;フェデリカ・モンステニー・マネ;36;LE;Technical Specialist;Medium;M11124;x
11206;Head of Military Intelligence;マリアーノ・バスケス・ロドリゲス;37;LE;Dismal Enigma;Very High;M11206;x
11207;Head of Military Intelligence;ファン・ロペス・サンチェス;38;LE;Industrial Specialist;Medium;M11119;x
11208;Head of Military Intelligence;アンヘル・ペスタナ;41;LE;Political Specialist;Low;M11208;x
11209;Head of Military Intelligence;フリアン・ゴルキン・ゴメス・ガルシア;43;LE;Naval Intelligence Specialist;Medium;M11209;x
11210;Head of Military Intelligence;リカルド・サンス・ガルシア;45;LE;Logistics Specialist;Medium;M11210;x
11211;Head of Military Intelligence;グスタボ・デュラン・マルティネス;36;LWR;Logistics Specialist;High;M11211;x
11212;Head of Military Intelligence;フェリックス・ゴルドン・オルダス;39;LWR;Industrial Specialist;High;M11132;x
11213;Head of Military Intelligence;ファン・ヘレナンデス・サラビア;41;LWR;Technical Specialist;Medium;M11006;x
11214;Head of Military Intelligence;アルバロ・デ・アルボルノス・リミニアナ;43;LWR;Dismal Enigma;Medium;M11038;x
11215;Head of Military Intelligence;マヌエル・トレス・カンパーナ;36;SD;Industrial Specialist;Medium;M11215;x
11216;Head of Military Intelligence;フランシスコ・メンデス・アスペ;37;SD;Political Specialist;High;M11135;x
11217;Head of Military Intelligence;ベンハミン・バルボア・ロペス;38;SD;Naval Intelligence Specialist;Medium;M11217;x
11218;Head of Military Intelligence;ホセプ・タラデリャス・イ・ホアン;39;SD;Industrial Specialist;Medium;M11218;x
11220;Head of Military Intelligence;ホセ・ヒラル・ペレイラ;43;SD;Technical Specialist;High;M11220;x
11221;Head of Military Intelligence;マヌエル・エストラーダ・マンチョン;36;SL;Logistics Specialist;Low;M11219;x
11222;Head of Military Intelligence;アレハンドロ・レルー・ガルシア;39;SL;Dismal Enigma;High;M11051;x
11225;Head of Military Intelligence;リカルド・サンペル・イバネス;36;SC;Political Specialist;Medium;M11104;x
11226;Head of Military Intelligence;ファン・マルク・オルディナス;38;SC;Dismal Enigma;High;M11160;x
11227;Head of Military Intelligence;ディエゴ・イダルゴ・デュラン;39;SC;Technical Specialist;High;M11101;x
11228;Head of Military Intelligence;マヌエル・マタリャナ・ゴメス;41;SC;Logistics Specialist;Medium;M11228;x
11229;Head of Military Intelligence;ホアキン・チャパプリエタ・トレゴサ;45;SC;Industrial Specialist;High;M11155;x
11230;Head of Military Intelligence;ルイス・オルガス・ヨルディ;36;PA;Logistics Specialist;High;M11016;x
11231;Head of Military Intelligence;ルイス・ルシア・ルシア;37;PA;Industrial Specialist;Low;M11113;x
11234;Chief of Staff;フランク・ライアン;36;ST;School of Mass Combat;Very High;M11234;x
11235;Chief of Staff;エミリオ・クレーベル;37;ST;School of Defence;Very High;M11235;x
11236;Chief of Staff;エンリケ・リステル・フォルハン;38;ST;School of Psychology;Very High;M11236;x
11237;Chief of Staff;ファン・モデスト・ギヨト;38;ST;School of Mass Combat;Very High;M11237;x
11238;Chief of Staff;アントニオ・コルドン・ガルシア;38;ST;School of Defence;Very High;M11238;x
11239;Chief of Staff;マヌエル・タゲナ・ラコルテ;39;ST;School of Manoeuvre;Very High;M11027;x
11240;Chief of Staff;フランシスコ・ガラン・ロドリゲス;39;ST;School of Fire Support;Very High;M11240;x
11241;Chief of Staff;ビセンテ・グアルネル・ビバンコス;36;LE;School of Fire Support;High;M11241;x
11242;Chief of Staff;ミゲル・ガルシア・ビバンコス;37;LE;School of Manoeuvre;High;M11242;x
11243;Chief of Staff;フランシスコ・アスカソ・ブドリア;38;LE;School of Mass Combat;High;M11243;x
11244;Chief of Staff;シプリアノ・メラ・サンス;41;LE;School of Psychology;Medium;M11244;x
11245;Chief of Staff;ブエナベントゥラ・ドゥルティ・ドゥマンヘ;43;LE;School of Defence;Medium;M11245;x
11246;Chief of Staff;グスタボ・デュラン・マルティネス;36;LWR;School of Psychology;High;M11211;x
11247;Chief of Staff;ビセンテ・ロホ・リュチ;37;LWR;School of Manoeuvre;Very High;M11247;x
11248;Chief of Staff;ファン・ヘレナンデス・サラビア;38;LWR;School of Fire Support;High;M11006;x
11249;Chief of Staff;アルトゥーロ・メナ・ロイグ;38;LWR;School of Mass Combat;Very High;M11249;x
11250;Chief of Staff;ファン・ペレア・カプリノ;39;LWR;School of Defence;High;M11250;x
11251;Chief of Staff;セバスティアン・ポサス・ペレア;36;SD;School of Defence;High;M11093;x
11253;Chief of Staff;エンリケ・フラド・バリオ;38;SD;School of Fire Support;High;M11253;x
11254;Chief of Staff;カルロス・マスケレ・ラカシ;41;SD;School of Defence;High;M11254;x
11255;Chief of Staff;ルイス・カステリョ・パントーハ;45;SD;School of Psychology;High;M11255;x
11256;Chief of Staff;トリビオ・マルティネス・バブレラ;36;SL;School of Mass Combat;Medium;M11252;x
11258;Chief of Staff;マヌエル・エストラーダ・マンチョン;38;SL;School of Psychology;High;M11219;x
11262;Chief of Staff;ドミンゴ・バテ・メストレ;40;SC;School of Psychology;Medium;M11262;x
11264;Chief of Staff;ルイス・オルガス・ヨルディ;42;PA;School of Defence;Medium;M11016;x
11265;Chief of Staff;ホアキン・ファンフル・ゴニ;43;PA;School of Psychology;Medium;M11265;x
11266;Chief of Army;マヌエル・タゲナ・ラコルテ;36;ST;Elastic Defence Doctrine;Very High;M11266;x
11267;Chief of Army;エンリケ・リステル・フォルハン;37;ST;Decisive Battle Doctrine;Very High;M11028;x
11268;Chief of Army;ファン・モデスト・ギヨト;38;ST;Guns and Butter Doctrine;Very High;M11237;x
11269;Chief of Army;アントニオ・コルドン・ガルシア;38;ST;Static Defence Doctrine;Very High;M11238;x
