SWE;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;Country
;Replacements;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
7001;Head of State;グスタフ5世;36;SC;Pig-headed Isolationist;High;M7001;x
7002;Head of Government;アクセル・ペールソン・ブラムストルプ;36;SL;Happy Amateur;High;M7002;x
7003;Foreign Minister;カール・G・ヴェストマン;36;SL;Apologetic Clerk;Very High;M7003;x
7004;Minister of Armament;ヴィルヘルム・リュンダール;36;SL;Tank Proponent;Very High;M7004;x
7005;Minister of Security;ソルヴァルド・バーグクエスト;36;SL;Compassionate Gentleman;Very High;M7005;x
7006;Head of Military Intelligence;カルロス・アドラークロイツ;36;SC;Political Specialist;High;M7068;x
7007;Chief of Staff;オスカー・ニグレン;36;SC;School of Defence;Medium;M7007;x
7008;Chief of Army;オスカー・ニグレン;36;SC;Guns and Butter Doctrine;Medium;M7007;x
7009;Chief of Navy;シャルル・デ・シャンプス;36;PA;Decisive Naval Battle Doctrine;Very Low;M7009;x
7010;Chief of Air Force;トルステン・フリース;36;ML;Army Aviation Doctrine;Very High;M7010;x
7031;Head of State;グスタフ5世;36;SD;Pig-headed Isolationist;High;M7001;x
7033;Head of Government;ペール・アルビン・ハンソン;36;SD;Ambitious Union Boss;High;M7033;x
7034;Head of Government;ターゲ・エルランデル;46;SD;Political Protege;High;M7034;x
7035;Head of Government;ゴスタ・バッゲ;42;ML;Smiling Oilman;High;M7035;x
7036;Head of Government;アクセル・ペールソン・ブラムストルプ;38;SL;Happy Amateur;High;M7002;x
7037;Head of Government;ベルティル・オリーン;45;SL;Corporate Suit;High;M7037;x
7038;Foreign Minister;リカルド・サンドラー;36;SD;Biased Intellectual;Low;M7038;x
7039;Foreign Minister;クリスチャン・ギュンター;40;SC;Apologetic Clerk;High;M7039;x
7040;Foreign Minister;オステン・ウンデン;45;SD;Great Compromiser;High;M7040;x
7041;Foreign Minister;ペール・エドヴィン・スコルド;36;SD;Ideological Crusader;Medium;M7041;x
7042;Foreign Minister;ヴィルヘルム・ゴラン・ルンドヴィク;37;SL;Biased Intellectual;High;M7042;x
7043;Foreign Minister;R・レソン・ソールマン;38;SL;Iron Fisted Brute;High;M7043;x
7044;Foreign Minister;ペール・インスランダー;39;SL;General Staffer;High;M7044;x
7045;Foreign Minister;ゲオルグ・アンドレン;45;SC;Ideological Crusader;High;M7045;x
7046;Foreign Minister;アクセル・ペールソン・ブラムストルプ;40;SL;The Cloak N Dagger Schemer;Very High;M7002;x
7047;Minister of Armament;エルンスト・ヴィグフォルス;36;SD;Resource Industrialist;Low;M7047;x
7048;Minister of Armament;グスタフ・メラー;36;SD;laissez-faire capitalist;Medium;M7048;x
7049;Minister of Armament;グスタフ・カッセル;37;ML;Administrative Genius;Medium;M7049;x
7050;Minister of Armament;エリク・パルムスティルナ;37;SD;Battle Fleet Proponent;Medium;M7050;x
7051;Minister of Armament;エルンスト・トリガー;38;ML;Theoretical Scientist;Medium;M7051;x
7052;Minister of Armament;エリク・エイナー・エクストランド;39;ML;Submarine Proponent;Medium;M7052;x
