SYR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
528001;Head of State;ムハンメド・ベイ・アル＝アビド;36;SL;Stern Imperialist;High;M528001;x
528002;Head of Government;ダミアン・コムト・ド・マルテル;36;SL;Ambitious Union Boss;High;M528002;x
528003;Foreign Minister;ジャミル・マルダム・ベイ;36;SL;Great Compromiser;High;M528003;x
528004;Minister of Armament;ファリス・アル＝クーリ;36;SL;Air to Ground Proponent;Medium;M528004;x
528005;Minister of Security;イブ・モランダ;36;SL;Crooked Kleptocrat;Medium;M528005;x
528006;Head of Military Intelligence;ダミアン・コムト・ド・マルテル;36;SL;Logistics Specialist;Medium;M528002;x
528007;Chief of Staff;アンリ・アミエル;36;SL;School of Manoeuvre;Medium;M528007;x
528008;Chief of Army;ガブリエル・ピュオー;36;SL;Armoured Spearhead Doctrine;Medium;M528008;x
528009;Chief of Navy;イヴ・カレ・ド・リュザンケイ;36;SL;Base Control Doctrine;Medium;M528009;x
528010;Chief of Air Force;クリスチャン・クードレイ;36;SL;Naval Aviation Doctrine;Medium;M528010;x
528011;Head of State;シャイク・ムハメド・アル＝ザワヒリ;36;PA;Autocratic Charmer;High;M528011;x
528012;Head of State;ハシム・アル＝アタシ;36;SL;Insignificant Layman;High;M528012;x
528013;Head of State;バヒジ・アド・ディン・アル＝カティブ;39;SL;Barking Buffoon;High;M528013;x
528014;Head of State;シャイク・タジ・アド＝ディン・アル＝ハサニ;41;SC;Weary Stiffneck;High;M528014;x
528015;Head of State;シュクリ・アル＝クウェイトリ;43;SL;Benevolent Gentleman;High;M528015;x
528016;Head of State;ルフィ・アル＝ハファル;36;SC;Die-hard Reformer;High;M528016;x
528017;Head of Government;アンリ・デンツ;36;PA;Old General;High;L24059;x
528018;Head of Government;ガブリエル・ピュオー;38;SL;Silent Workhorse;High;M528008;x
528019;Head of Government;ジョルジュ・カトルー;41;SL;Old General;High;L24029;x
528020;Head of Government;イヴ・シャテニョー;43;SL;Corporate Suit;High;M528020;x
528021;Head of Government;シュクリ・アル＝クウェイトリ;45;SL;Backroom Backstabber;High;M528015;x
528022;Head of Government;ジャミル・マルダム・ベイ;36;ML;Political Protege;High;M528003;x
528023;Foreign Minister;ファリス・アル＝クーリ;36;PA;The Cloak N Dagger Schemer;High;M528004;x
528024;Foreign Minister;シャイク・ムハメド・アル＝ガウジ;41;SL;General Staffer;High;M528024;x
528025;Foreign Minister;ルフィ・アル＝ハファル;43;SL;Iron Fisted Brute;High;M528016;x
528026;Foreign Minister;サーダッラー・アル＝ジャビリ;45;SL;The Cloak N Dagger Schemer;High;M528026;x
528027;Foreign Minister;シャイク・ムスタファ・アル＝マラギ;36;SC;Great Compromiser;High;M528027;x
528028;Minister of Armament;イヴ・モランダ;36;PA;Air Superiority Proponent;Medium;M528005;x
528029;Minister of Armament;シャイク・ムハメド・アル＝シナウィ;38;SL;Infantry Proponent;Medium;M528029;x
528030;Minister of Armament;シャイク・アブド・アル＝アリム・セリム;41;SL;Military Entrepreneur;Medium;M528030;x
528031;Minister of Armament;ミシェル・モーリス＝ボカノウスキ;44;SL;Tank Proponent;Medium;M528031;x
528032;Minister of Armament;ポール・ライステンシュナイダー;46;SL;laissez-faire capitalist;Medium;M528032;x
528033;Minister of Armament;シャイク・ムスタファ・アル＝マラギ;39;SC;Air to Ground Proponent;Medium;M528027;x
528034;Minister of Security;シャイク・ムスタファ・アル＝マラギ;36;PA;Back Stabber;Medium;M528027;x
528035;Minister of Security;ムスタファ・アル＝アタシ;39;SL;Man of the People;Medium;M528035;x
528036;Minister of Security;アンドレ・サルヴァ;41;SL;Crime Fighter;Medium;M528036;x
528037;Minister of Security;ジャミル・チャクルラ;43;SL;Back Stabber;Medium;M528037;x
528038;Minister of Security;ジャン・アブデル・フーカ;45;SL;Compassionate Gentleman;Medium;M528038;x
528039;Minister of Security;ファリス・アル＝クーリ;36;SC;Man of the People;Medium;M528004;x
528040;Head of Military Intelligence;アンリ・デンツ;38;PA;Logistics Specialist;Medium;L24059;x
528041;Head of Military Intelligence;ガブリエル・ピュオー;38;SL;Industrial Specialist;Medium;M528008;x
528042;Head of Military Intelligence;ジョルジュ・カトルー;41;SL;Dismal Enigma;Medium;L24029;x
528043;Head of Military Intelligence;イヴ・シャテニョー;43;SL;Political Specialist;Medium;M528020;x
528044;Head of Military Intelligence;シャイク・ムハメド・アル＝ガウジ;36;SC;Industrial Specialist;Medium;M528024;x
528045;Chief of Staff;アンリ・デンツ;36;PA;School of Defence;Medium;L24059;x
