TEX;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
571001;Head of State;ジェームズ・バー・V・アルレッド;36;PA;Ruthless Powermonger;High;M571001;x
571002;Head of Government;ウィリアム・リー・オダニエル;36;PA;Political Protege;High;M571002;x
571003;Foreign Minister;J・T・レンフルー;36;PA;The Cloak N Dagger Schemer;High;M571003;x
571004;Minister of Armament;ジェシー・H・ジョーンズ;36;PA;Resource Industrialist;Medium;M571004;x
571005;Minister of Security;オスカー・F・ホルコム;36;PA;Man of the People;Medium;M571005;x
571006;Head of Military Intelligence;オティス・マッシー;36;PA;Dismal Enigma;Medium;M571006;x
571007;Chief of Staff;ハリー・ノックス・ジュニア;36;PA;School of Fire Support;Medium;M571007;x
571008;Chief of Army;ジョン・B・リケッツ;36;PA;Decisive Battle Doctrine;Medium;M571008;x
571009;Chief of Navy;リー・ヒュー・ポラード3世;36;PA;Open Seas Doctrine;Medium;M571009;x
571010;Chief of Air Force;ドナル・W・アーミントン;36;PA;Carpet Bombing Doctrine;Medium;M571010;x
571011;Foreign Minister;リー・O・ウィラード;41;PA;General Staffer;High;M571011;x
571012;Foreign Minister;コーク・R・スティーヴンソン;43;PA;Iron Fisted Brute;High;M571012;x
571013;Minister of Armament;ロバート・L・ディラード;39;PA;Theoretical Scientist;Medium;M571013;x
571014;Minister of Armament;アーサー・テニー・エマーソン;43;PA;Battle Fleet Proponent;Medium;M571014;x
571015;Minister of Armament;ロイ・ホフハインズ;44;PA;Administrative Genius;Medium;M571015;x
571016;Minister of Armament;ジョン・E・アンダーソン;46;PA;Military Entrepreneur;Medium;M571016;x
571017;Minister of Security;コーネリウス・ピケット;37;PA;Efficient Sociopath;Medium;M571017;x
571018;Minister of Security;ウッドール・ロジャーズ;44;PA;Compassionate Gentleman;Medium;M571018;x
571019;Minister of Security;マイケル・オールドリッジ・ハーラン;45;PA;Crime Fighter;Medium;M571019;x
571020;Minister of Security;ジョージ・サージェント;46;PA;Prince of Terror;Medium;M571020;x
571021;Head of Military Intelligence;サム・J・アーヴィン・ジュニア;42;PA;Political Specialist;Medium;M571021;x
571022;Head of Military Intelligence;ロバート・アール・シャーマン;45;PA;Industrial Specialist;Medium;M571022;x
571023;Chief of Staff;ラリー・K・アーノルド;42;PA;School of Manoeuvre;Medium;M571023;x
571024;Chief of Staff;リー・O・ウィラード;44;PA;School of Psychology;Medium;M571011;x
571025;Chief of Army;R・J・ストックマン;39;PA;Static Defence Doctrine;Medium;M571025;x
571026;Chief of Army;マイロン・G・アッシュクロフト;43;PA;Armoured Spearhead Doctrine;Medium;M571026;x
571027;Chief of Navy;フィリップ・R・ブッシュ;41;PA;Indirect Approach Doctrine;Medium;M571027;x
571028;Chief of Air Force;リチャード・C・コリンズ;43;PA;Army Aviation Doctrine;Medium;M571028;x
