TRA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
523001;Head of State;アルセニー・ズヴェレフ;36;LWR;Barking Buffoon;High;M523001;x
523002;Head of Government;ヴラス・チュバル;36;LWR;Smiling Oilman;High;M523002;x
523003;Foreign Minister;グリゴリー・グリンコ;36;LWR;Great Compromiser;High;M523003;x
523004;Minister of Armament;ニコライ・ブリュカノフ;36;LWR;Infantry Proponent;Medium;M523004;x
523005;Minister of Security;ヴセレヴォド・メルクロフ;36;LWR;Back Stabber;Medium;M523005;x
523006;Head of Military Intelligence;グリゴリー・ソコルニーロフ;36;LWR;Dismal Enigma;Medium;M523006;x
523007;Chief of Staff;ケルディシュ・ニキティン;36;LWR;School of Defence;Medium;M523007;x
523008;Chief of Army;オシプ・フォキン;36;LWR;Decisive Battle Doctrine;Medium;M523008;x
523009;Chief of Navy;ルーリク・エルテルキン;36;LWR;Decisive Naval Battle Doctrine;Medium;L502013;x
523010;Chief of Air Force;ゲネアジ・アバクモフ;36;LWR;Army Aviation Doctrine;Medium;M523010;x
523011;Head of State;ミハイル・ラズルキン;36;ML;Popular Figurehead;High;M523011;x
523012;Head of State;イゴール・チャヴチャヴァゼ3世;36;PA;Pig-headed Isolationist;High;M523012;x
523013;Head of Government;ミハイル・セルブリャコフ;36;ML;Silent Workhorse;High;M523013;x
523014;Head of Government;セルゲイ・ビュリチ;36;PA;Ambitious Union Boss;High;M523014;x
523015;Foreign Minister;ニコライ・ヴォズネセンスキ;36;LWR;Biased Intellectual;High;M523015;x
523016;Foreign Minister;ヴセヴォロド・トマシェフスキ;36;ML;Apologetic Clerk;High;M523016;x
523017;Foreign Minister;セルゲイ・ベルンシュタイン;36;ML;Iron Fisted Brute;High;M523017;x
523018;Foreign Minister;ヴィクトル・ファウセク;36;PA;Great Compromiser;High;M523018;x
523019;Foreign Minister;ウラジミール・オルロフ;36;PA;Iron Fisted Brute;High;M523019;x
523020;Minister of Armament;マクシム・サブロフ;36;LWR;Theoretical Scientist;Medium;M523020;x
523021;Minister of Armament;ニコライ・デルザヴィン;36;ML;Air Superiority Proponent;Medium;M523021;x
523022;Minister of Armament;ニキータ・クリロフ;36;ML;Military Entrepreneur;Medium;M523022;x
523023;Minister of Armament;ディミトリー・ゴレンコフ;36;PA;Tank Proponent;Medium;M523023;x
523024;Minister of Armament;パヴェル・ヴォロニ;36;PA;Battle Fleet Proponent;Medium;M523024;x
523025;Minister of Armament;ディミトリー・グラベ＝ニキティン;36;PA;Infantry Proponent;Medium;M523025;x
523026;Minister of Security;ゲナジ・スミルノフ;36;LWR;Compassionate Gentleman;Medium;M526026;x
523027;Minister of Security;ヴィクトル・アバクモフ;36;LWR;Prince of Terror;Medium;M523027;x
523028;Minister of Security;ウラジミール・シムケヴィッチ;36;ML;Efficient Sociopath;Medium;M523028;x
523029;Minister of Security;ニキータ・ギュンター;36;ML;Crime Fighter;Medium;M523029;x
523030;Minister of Security;アレクセイ・フリートマン;36;PA;Prince of Terror;Medium;M523030;x
523031;Minister of Security;シャヴロフ・ニキティン;36;PA;Crime Fighter;Medium;M523031;x
523032;Head of Military Intelligence;アレクサンドル・イヴァノフ;36;LWR;Industrial Specialist;Medium;M523032;x
523033;Head of Military Intelligence;ユルツェフ・スミルノフ;36;ML;Technical Specialist;Medium;M523033;x
523034;Head of Military Intelligence;ボリス・ガレルキン;36;ML;Dismal Enigma;Medium;M523034;x
523035;Head of Military Intelligence;パトリアーチ・ティコン;36;PA;Political Specialist;Medium;M523035;x
523036;Head of Military Intelligence;グレブ・クルジザノフスキ;36;PA;Dismal Enigma;Medium;M523036;x
523037;Chief of Staff;ヴァシリ・チェビキモフ;36;ML;School of Fire Support;Medium;M523037;x
523038;Chief of Staff;ラザク・ハジエフ;36;PA;School of Mass Combat;Medium;M523038;x
523039;Chief of Army;アレクサンドル・サブロフ;36;LWR;Elastic Defence Doctrine;Medium;M523039;x
523040;Chief of Army;ヴォリヤ・ボルシェフスキ;36;ML;Armoured Spearhead Doctrine;Medium;M523040;x
523041;Chief of Army;イゴール・コヴロン;36;PA;Static Defence Doctrine;Medium;M523041;x
523042;Chief of Army;セルゲイ・コロヴァルチェフ;36;PA;Guns and Butter Doctrine;Medium;M523042;x
523043;Chief of Navy;イグナツ・ドミルキン;36;ML;Open Seas Doctrine;Medium;L504000;x
523044;Chief of Navy;ディミトリー・サカルスキ;36;PA;Indirect Approach Doctrine;Medium;M520034;x
523045;Chief of Air Force;ニキフォル・ガポン;36;ML;Carpet Bombing Doctrine;Medium;M523045;x
523046;Chief of Air Force;カール・ダインハルト;36;PA;Air Superiority Doctrine;Medium;M523046;x
