TUN;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
532001;Head of State;アフマド・アル＝チュニス2世;36;SL;Ruthless Powermonger;High;M532001;x
532002;Head of Government;ヘディ・ラクーエ;36;SL;Happy Amateur;High;M532002;x
532003;Foreign Minister;アルマン・ギヨン;36;SL;Great Compromiser;High;M532003;x
532004;Minister of Armament;スラヘディン・ベクーチェ;36;SL;Tank Proponent;Medium;M532004;x
532005;Minister of Security;ムハメド・チェニク;36;SL;Man of the People;Medium;M532005;x
532006;Head of Military Intelligence;ムスタファ・カーク;36;SL;Industrial Specialist;Medium;M532006;x
532007;Chief of Staff;アンリ・ダスティエ・ド・ラ・ヴィジュリ;36;SL;School of Manoeuvre;Medium;M532007;x
532008;Chief of Army;ボフミル・ヴァザク;36;SL;Guns and Butter Doctrine;Medium;M532008;x
532009;Chief of Navy;ジュール・エヴヌー;36;SL;Open Seas Doctrine;Medium;M532009;x
532010;Chief of Air Force;エミール・ジナ;36;SL;Army Aviation Doctrine;Medium;M532010;x
532011;Head of State;シャキフ・タハル・ベン・アマル;36;SD;Autocratic Charmer;High;M532011;x
532012;Head of State;ムハンマド・アル＝ムンシフ7世;42;SL;Die-hard Reformer;High;M532012;x
532013;Head of State;ムハンマド・アル＝アミン8世;43;SL;Powerhungry Demagogue;High;M532013;x
532014;Head of State;ムハメド・チェニク;36;SC;Popular Figurehead;High;M532005;x
532015;Head of Government;ハビブ・ブルギバ;36;SD;Ambitious Union Boss;High;M532015;x
532016;Head of Government;ムハメド・チェニク;43;SL;Corporate Suit;High;M532005;x
532017;Head of Government;スラヘディン・ベクーチェ;43;SL;Smiling Oilman;High;M532004;x
532018;Head of Government;ムスタファ・カーク;47;SL;Smiling Oilman;High;M532006;x
532019;Head of Government;ハムーダ・シャドラニ;36;SC;Political Protege;High;M532019;x
532020;Foreign Minister;バヒ・ラジャム;36;SD;Great Compromiser;High;M532020;x
532021;Foreign Minister;エリック・ラボンヌ;38;SL;Apologetic Clerk;High;M531014;x
532022;Foreign Minister;ジャン・ピエール・エステヴァ;40;SL;General Staffer;High;L24159;x
532023;Foreign Minister;シャルル・エマニュエル・マスト;43;SL;The Cloak N Dagger Schemer;High;M532023;x
532024;Foreign Minister;ジャン・モン;47;SL;Biased Intellectual;High;M532024;x
532025;Foreign Minister;シャイク・モハメド・ジャルーリ;36;SC;Biased Intellectual;High;M532025;x
532026;Minister of Armament;タイエブ・メヒリ;36;SD;Battle Fleet Proponent;Medium;M532026;x
532027;Minister of Armament;ロジェ・アルエ;42;SL;Theoretical Scientist;Medium;M532027;x
532028;Minister of Armament;モハンメド・マスムーディ;44;SL;Military Entrepreneur;Medium;M532028;x
532029;Minister of Armament;アリ・ベルハウーナ;36;SC;Air Superiority Proponent;Medium;M532029;x
532030;Minister of Security;モンギ・スリム;36;SD;Crime Fighter;Medium;M532030;x
532031;Minister of Security;フェルハト・ケルトゥーム;43;SL;Compassionate Gentleman;Medium;M532031;x
532032;Minister of Security;ヘディ・ヌイラ;36;SC;Back Stabber;Medium;M532032;x
532033;Head of Military Intelligence;ハビブ・ブルギバ;36;SD;Technical Specialist;Medium;M532015;x
532034;Head of Military Intelligence;アンドレ・リヒトヴィッツ;41;SL;Political Specialist;Medium;M532034;x
532035;Head of Military Intelligence;ハムーダ・シャドラニ;36;SC;Dismal Enigma;Medium;M532019;x
532036;Chief of Staff;ジャン・ローラン＝シャンプロセイ;36;SD;School of Fire Support;Medium;M532036;x
532037;Chief of Staff;ジャック・マッスー;43;SL;School of Psychology;Medium;M532037;x
532038;Chief of Staff;ジャック・セヴェストル;36;SC;School of Mass Combat;Medium;M532038;x
532039;Chief of Army;エミール・クラドン;43;SL;Decisive Battle Doctrine;Medium;M532039;x
532040;Chief of Army;アンリ・ダスティエ・ド・ラ・ヴィジュリ;36;SC;Static Defence Doctrine;Medium;M532007;x
532041;Chief of Army;エミール・ジナ;36;SC;Elastic Defence Doctrine;Medium;M532010;x
532042;Chief of Navy;ジェルーリ・ファレス;36;SD;Base Control Doctrine;Medium;M532042;x
532043;Chief of Navy;ジャック・セヴェストル;43;SL;Indirect Approach Doctrine;Medium;M532038;x
532044;Chief of Navy;サドク・モカデム;36;SC;Decisive Naval Battle Doctrine;Medium;M532044;x
532045;Chief of Air Force;アブダッラー・ファルハト;36;SD;Vertical Envelopment Doctrine;Medium;M532045;x
532046;Chief of Air Force;エミール・アレグレ;43;SL;Carpet Bombing Doctrine;Medium;M532046;x
532047;Chief of Air Force;アフメド・トリリ;36;SC;Naval Aviation Doctrine;Medium;M532047;x
