UKR;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
518001;Head of State;ニキータ・フルシチョフ;36;ST;Stern Imperialist;High;M518001;x
518002;Head of Government;ラーザリ・カガノーヴィチ;36;ST;Flamboyant Tough Guy;High;M518002;x
518003;Foreign Minister;ヴラス・チュバル;36;ST;Apologetic Clerk;High;M518003;x
518004;Minister of Armament;ミハイル・ボンダレンコ;36;ST;Air Superiority Proponent;Medium;M518004;x
518005;Minister of Security;クリスティアン・G・ラコフスキー;36;ST;Back Stabber;Medium;M518005;x
518006;Head of Military Intelligence;デミアン・コロチェンコ;36;ST;Logistics Specialist;Medium;M518006;x
518007;Chief of Staff;オレグ・ゴロヴネフ;36;ST;School of Manoeuvre;Medium;M518007;x
518008;Chief of Army;ウラジミール・ストレルニコフ;36;ST;Elastic Defence Doctrine;Medium;M518008;x
518009;Chief of Navy;イヴァン・イサコフ;36;ST;Base Control Doctrine;Medium;M518009;x
518010;Chief of Air Force;ミハイ・アラディン;36;ST;Army Aviation Doctrine;Medium;M518010;x
518011;Head of State;ステピャン・バンデラ;36;SD;Die-hard Reformer;High;M518011;x
518012;Head of State;アウグスティン・ヴォローシン;36;SL;Benevolent Gentleman;High;M518012;x
518013;Head of State;アンドリー・メルニク;36;SC;Autocratic Charmer;High;M518013;x
518014;Head of State;アンドレイ・ヴラソフ;36;NS;Resigned Generalissimo;High;M518014;x
518015;Head of Government;ヤロスラヴ・ステツコ;36;SD;Political Protege;High;M518015;x
518016;Head of Government;オメリアン・セニク;36;SL;Corporate Suit;High;M518016;x
518017;Head of Government;ステピャン・レンカウスキー;36;SC;Naive Optimist;High;M518017;x
518018;Head of Government;エーリヒ・コッホ;36;NS;Ambitious Union Boss;High;M518018;x
518019;Foreign Minister;スタニスラフ・コシオル;36;ST;The Cloak N Dagger Schemer;High;M518019;x
518020;Foreign Minister;ミコラ・O・スクリプニク;36;SD;Ideological Crusader;High;M518020;x
518021;Foreign Minister;イェヴジェニー・コノヴァレツ;36;SD;Iron Fisted Brute;High;M518021;x
518022;Foreign Minister;ユリアン・レヴァイ;36;SL;Apologetic Clerk;High;M518022;x
518023;Foreign Minister;ミコラ・レベド;36;SC;The Cloak N Dagger Schemer;High;M518023;x
518024;Foreign Minister;ユーリー・リンデン＝リパ;36;SC;General Staffer;High;M518024;x
518025;Foreign Minister;フリッツ・フォン・シュレンブルク;36;NS;Great Compromiser;High;M518025;x
518026;Foreign Minister;ローラント・ポペグシー;36;NS;Iron Fisted Brute;High;M518026;x
518027;Foreign Minister;ゲオルギー・ジレンコフ;36;NS;General Staffer;High;M518027;x
518028;Minister of Armament;パナス・P・リュブチェンコ;36;ST;Resource Industrialist;Medium;M518028;x
518029;Minister of Armament;ミコラ・シボルスキー;36;ST;Military Entrepreneur;Medium;M518029;x
518030;Minister of Armament;オレスカ・ハシン＝タラプ;36;SD;Administrative Genius;Medium;M518030;x
518031;Minister of Armament;グリゴリー・レオニドヴィッチ;36;SL;Infantry Proponent;Medium;M518031;x
518032;Minister of Armament;エヴェニヤ・ボッシュ;36;SL;Laissez-Faire Capitalist;Medium;M518032;x
518033;Minister of Armament;タラス・ブルバ;36;SC;Resource Industrialist;Medium;M518033;x
518034;Minister of Armament;グリゴリー・ペトロフスキー;36;SC;Tank Proponent;Medium;M518034;x
518035;Minister of Armament;ディミトル・クラチュキウスキー;36;NS;Infantry Proponent;Medium;M518035;x
518036;Minister of Armament;ハンス・ハインリヒ・ラマース;36;NS;Resource Industrialist;Medium;M518036;x
518037;Minister of Security;エマノイル・クヴィリング;36;ST;Efficient Sociopath;Medium;M518037;x
518038;Minister of Security;レオニド・メルニコフ;36;ST;Silent Lawyer;Medium;M518038;x
518039;Minister of Security;ミハイロ・コロジンスキー;36;SD;Crooked Kleptocrat;Medium;M518039;x
518040;Minister of Security;ニル・カセヴィッチ;36;SL;Crime Fighter;Medium;M518040;x
518041;Minister of Security;ゼノン・コサック＝タルノウスキー;36;SL;Compassionate Gentleman;Medium;M518041;x
518042;Minister of Security;セルゲイ・クビヨビッチ;36;SC;Prince of Terror;Medium;M518042;x
518043;Minister of Security;総主教アンドレイ;36;SC;Compassionate Gentleman;Medium;M518043;x
518044;Minister of Security;クルト・フォン・ゴットベルク;36;NS;Prince of Terror;Medium;M517034;x
518045;Minister of Security;カール・ヘルマン・フランク;36;NS;Efficient Sociopath;Medium;M518045;x
518046;Head of Military Intelligence;レオニド・コルニエツ;36;ST;Industrial Specialist;Medium;M518046;x
518047;Head of Military Intelligence;イェヴジェニー・パトン;36;ST;Technical Specialist;Medium;M518047;x
518048;Head of Military Intelligence;オレナ・テリハ;36;SD;Dismal Enigma;Medium;M518048;x
518049;Head of Military Intelligence;ヴァシル・シドル＝ルステク;36;SD;Naval Intelligence Specialist;Medium;M518049;x
518050;Head of Military Intelligence;ショロム・シュヴァルツヴァルト;36;SL;Technical Specialist;Medium;M518050;x
518051;Head of Military Intelligence;ミハイロ・ソロカ;36;SL;Industrial Specialist;Medium;M518051;x
518052;Head of Military Intelligence;オレグ・オルジク;36;SC;Technical Specialist;Medium;M518052;x
518053;Head of Military Intelligence;ウルバン・グリニオク;36;NS;Political Specialist;Medium;M518053;x
518054;Head of Military Intelligence;エルハルト・クレーガー;36;NS;Industrial Specialist;Medium;M518054;x
518055;Head of Military Intelligence;ヴァシリー・マリシュキン;36;NS;Logistics Specialist;Medium;M518055;x
518056;Chief of Staff;オレグ・イェフィモフ;36;ST;School of Defence;Medium;M518056;x
518057;Chief of Staff;ミハイロ・ドゥダ;36;SD;School of Fire Support;Medium;M518057;x
518058;Chief of Staff;キリル・オスマク;36;SL;School of Psychology;Medium;M518058;x
518059;Chief of Staff;レオニド・スコロパズキ;36;SC;School of Psychology;Medium;M518059;x
518060;Chief of Staff;コンスタンティン・クロミアディ;36;NS;School of Manoeuvre;Medium;M518060;x
518061;Chief of Staff;エーベルハルト・キンゼル;36;NS;School of Defence;Medium;M518061;x
518062;Chief of Army;ニキータ・フルシチョフ;36;ST;Static Defence Doctrine;Medium;M518062;x
518063;Chief of Army;ローマン・シュケヴィッチ;36;SD;Guns and Butter Doctrine;Medium;M518063;x
518064;Chief of Army;ヴェニアミン・ルヴィンスキー;36;SL;Decisive Battle Doctrine;Medium;M518064;x
518065;Chief of Army;パヴロ・シャンドルク;36;SC;Elastic Defence Doctrine;Medium;M518065;x
518066;Chief of Army;ペタル・N・クラスノフ;36;SC;Static Defence Doctrine;Medium;M518066;x
518067;Chief of Army;ゲオルギー・ジレンコフ;36;NS;Armoured Spearhead Doctrine;Medium;M518067;x
518068;Chief of Navy;セルゲイ・ゴルシコフ;36;ST;Decisive Naval Battle Doctrine;Medium;M518068;x
518069;Chief of Navy;グロリヤ・ステツコ;36;SD;Open Seas Doctrine;Medium;M518069;x
518070;Chief of Navy;アヴラム・Z・デュシン;36;SL;Indirect Approach Doctrine;Medium;M518070;x
518071;Chief of Navy;ウラジミール・ピリペンコ;36;SC;Base Control Doctrine;Medium;M518071;x
518072;Chief of Navy;ヴォルフ・フォン・トロータ;36;NS;Power Projection Doctrine;Medium;M518072;x
518073;Chief of Air Force;アヴラム・Z・デュシン;36;ST;Naval Aviation Doctrine;Medium;M518070;x
518074;Chief of Air Force;ペタル・フェドゥン＝ポルタヴァ;36;SD;Carpet Bombing Doctrine;Medium;M518074;x
518075;Chief of Air Force;アヴスティン・シュテファン;36;SL;Army Aviation Doctrine;Medium;M518075;x
518076;Chief of Air Force;ディミトリ・ミロン;36;SC;Vertical Envelopment Doctrine;Medium;M518076;x
518077;Chief of Air Force;ヴィクトル・マルツェフ;36;NS;Air Superiority Doctrine;Medium;M518077;x
518078;Head of State;エーリヒ・コッホ;36;NS;Reichskommissar;High;M518018;x
