UPS;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;Country
;Replacements;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
65401;Head of State;野坂参三;36;ST;Stern Imperialist;High;M5011;x
65402;Head of Government;宮本顕治;36;ST;Silent Workhorse;High;M5012;x
65403;Foreign Minister;志賀義雄;36;ST;Biased Intellectual;Very Low;M5013;x
65404;Foreign Minister;芳沢謙吉;36;ST;Ideological Crusader;High;M5047;x
65405;Foreign Minister;カスト・アレハンドリノ;36;ST;Apologetic Clerk;Medium;M50023;x
65406;Foreign Minister;岡田啓介;36;ST;Iron Fisted Brute;High;M5002;x
65407;Foreign Minister;南日（ナム・イル）;36;ST;General Staffer;Medium;M579003;x
65408;Foreign Minister;キム・ヨンチョル;36;ST;Great Compromiser;Medium;M579013;x
65409;Foreign Minister;鈴木喜三郎;36;ST;The Cloak N Dagger Schemer;Medium;M5029;x
65410;Minister of Armament;クリサント・エバンヘリスタ;36;ST;Administrative Genius;Medium;M50021;x
65411;Minister of Armament;徳田球一;36;ST;Resource Industrialist;Low;M5014;x
65412;Minister of Armament;岸信介;36;ST;Theoretical Scientist;Medium;M5085;x
65413;Minister of Armament;チョ・マンシク;36;ST;laissez-faire capitalist;Medium;M578005;x
65414;Minister of Armament;ルクマン・ダン・サルジョノ;36;ST;Military Entrepreneur;High;M577027;x
65415;Minister of Armament;伍堂卓雄;36;ST;Battle Fleet Proponent;Medium;M5073;x
65416;Minister of Armament;左近司政三;36;ST;Submarine Proponent;Medium;M5087;x
65417;Minister of Armament;幣原喜重郎;36;ST;Tank Proponent;High;M5030;x
65418;Minister of Armament;東條英機;36;ST;Infantry Proponent;Medium;M5042;x
65419;Minister of Armament;川崎卓吉;36;ST;Air Superiority Proponent;Medium;M5080;x
65420;Minister of Armament;マヌエル・クアドリノ;36;ST;Corrupt Kleptocrat;Very Low;M50042;x
65421;Minister of Armament;豊田貞次郎;36;ST;Air to Ground Proponent;Medium;M5061;x
65422;Minister of Armament;中島知久平;36;ST;Air to Sea Proponent;Medium;M5093;x
65423;Minister of Armament;吉田茂;36;ST;Strategic Air Proponent;Medium;M5031;x
65424;Minister of Security;D・N・アイディット;36;ST;Silent Lawyer;High;M577033;x
65425;Minister of Security;チ・チュンチュン;36;ST;Compassionate Gentleman;Very High;M578017;x
65426;Minister of Security;マリアーノ・バルゴス;36;ST;Crime Fighter;Medium;M50025;x
65427;Minister of Security;金日成（キム・イルソン）;36;ST;Prince of Terror;Very High;M579005;x
65428;Minister of Security;小原直;36;ST;Back Stabber;Medium;M5100;x
65429;Minister of Security;野坂参三;36;ST;Man of the People;Very High;M5015;x
65430;Minister of Security;S・M・カルトスウィルヨ;36;ST;Efficient Sociopath;High;M577032;x
65431;Minister of Security;安井英二;36;ST;Crooked Kleptocrat;High;M5110;x
65432;Head of Military Intelligence;ヨン・ミンホ;36;ST;Technical Specialist;Very Low;M579016;x
65433;Head of Military Intelligence;シャオ・ジンガン;36;ST;Logistics Specialist;Very Low;M579006;x
65434;Head of Military Intelligence;T・N・スプラトマン;36;ST;Political Specialist;Low;M577037;x
65435;Head of Military Intelligence;ルイス・タルク;36;ST;Dismal Enigma;Medium;M50026;x
65436;Head of Military Intelligence;宮本顕治;36;ST;Industrial Specialist;Medium;M5012;x
65437;Head of Military Intelligence;片山哲;36;ST;Naval Intelligence Specialist;Medium;M5027;x
65438;Chief of Staff;ルイス・タルク;36;ST;School of Manoeuvre;Medium;M50026;x
65439;Chief of Staff;梅津美治郎;36;ST;School of Fire Support;Medium;M5157;x
65440;Chief of Staff;タン・マラカ;36;ST;School of Mass Combat;High;M577042;x
65441;Chief of Staff;草鹿龍之介;36;ST;School of Defence;Medium;M5017;x
65442;Chief of Staff;田代皖一郎;36;ST;School of Psychology;Very Low;M5150;x
65443;Chief of Army;今井武夫;36;ST;Elastic Defence Doctrine;Medium;M5018;x
65444;Chief of Army;ヘスス・ラバ;36;ST;Static Defence Doctrine;Medium;M50028;x
65445;Chief of Army;金日成（キム・イルソン）;36;ST;Decisive Battle Doctrine;High;M579008;x
65446;Chief of Army;タン・マラカ;36;ST;Armoured Spearhead Doctrine;High;M577042;x
65447;Chief of Army;キム・イルチョル;36;ST;Guns and Butter Doctrine;Medium;M579018;x
65448;Chief of Navy;嶋田繁太郎;36;ST;Open Seas Doctrine;Medium;M5170;x
65449;Chief of Navy;リュ・ジュンシプ;36;ST;Decisive Naval Battle Doctrine;Medium;M579019;x
65450;Chief of Navy;アフマド・アリミン;36;ST;Power Projection Doctrine;Low;M577051;x
65451;Chief of Navy;リュー・シュアン;36;ST;Indirect Approach Doctrine;Medium;M579009;x
65452;Chief of Navy;ヘスス・ラバ;36;ST;Base Control Doctrine;Medium;M50028;x
65453;Chief of Air Force;福井義男;36;ST;Air Superiority Doctrine;Medium;M5020;x
65454;Chief of Air Force;パク・ミンギュン;36;ST;Naval Aviation Doctrine;Medium;M579020;x
65455;Chief of Air Force;I・M・ナジョアン;36;ST;Army Aviation Doctrine;Low;M577055;x
65456;Chief of Air Force;ジョー・ロジャース;36;ST;Carpet Bombing Doctrine;Medium;M50030;x
65457;Chief of Air Force;イ・ケノン;36;ST;Vertical Envelopment Doctrine;Medium;M579010;x
