URO;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;Country
;Replacements;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
65101;Head of State;ヨシップ・ブロズ;36;ST;Stern Imperialist;High;M20021;x
65102;Head of Government;ルイージ・ロンゴ;36;ST;Silent Workhorse;High;M3022;x
65103;Foreign Minister;ベルナルド・アトリコ;36;ST;Biased Intellectual;High;M3058;x
65104;Foreign Minister;パルミロ・トグリアッティ;36;ST;Ideological Crusader;High;M3021;x
65105;Foreign Minister;フランソワ・ディーク;36;ST;Apologetic Clerk;Medium;M21076;x
65106;Foreign Minister;ヴィリ・フランク;36;ST;Iron Fisted Brute;Medium;M23035;x
65107;Foreign Minister;スタノエ・シミッチ;36;ST;Great Compromiser;Medium;M20023;x
65108;Foreign Minister;マッタ・ザルカ;36;ST;General Staffer;Medium;M21037;x
65109;Foreign Minister;ピエトロ・ネニ;36;ST;The Cloak N Dagger Schemer;High;M3062;x
65110;Minister of Armament;ジョヴァンニ・シラオロ;36;ST;Administrative Genius;High;M3084;x
65111;Minister of Armament;アントニオ・ペセンティ;36;ST;Resource Industrialist;High;M3024;x
65112;Minister of Armament;エルノ・ジェロ;39;ST;Theoretical Scientist;Medium;M21093;x
65113;Minister of Armament;G・パウルッチ・ディ・カルボリ男爵;36;ST;laissez-faire capitalist;High;M3086;x
65114;Minister of Armament;ゾルタン・ヴァス;36;ST;Military Entrepreneur;Medium;M21034;x
65115;Minister of Armament;パウル・フォン・ヘゲデュス;36;ST;Battle Fleet Proponent;High;M23009;x
65116;Minister of Armament;ロベルト・ヴィンターシュタイン;36;ST;Submarine Proponent;Medium;M23025;x
65117;Minister of Armament;ドラザ・ミハイロヴィッチ;36;ST;Tank Proponent;Medium;M20055;x
65118;Minister of Armament;ヴィットーリオ・ヴィダリ;36;ST;Infantry Proponent;High;M3087;x
65119;Minister of Armament;アルベルト・パリアーニ;36;ST;Air Superiority Proponent;High;M3008;x
65120;Minister of Armament;エドガー・ケクシュ;36;ST;Corrupt Kleptocrat;Medium;M21073;x
65121;Minister of Armament;フルベルト・ヴィヴァルディ;36;ST;Air to Ground Proponent;High;M3079;x
