USA;Ruling Cabinet - Start;Name;Pool;Ideology;Personality;Loyalty;Picturename;x
;Replacements;;;;;;;x
6001;Head of State;フランクリン・D・ルーズベルト;35;SL;Democrat Idealistic;High;M6001;x
6002;Head of Government;ジョン・ナンス・ガーナー;35;SL;Corporate Suit;High;M6002;x
6003;Foreign Minister;コーデル・ハル;35;SL;Father of United Nations;High;M6003;x
6077;Minister of Armament;ヘンリー・モーゲンソー;35;SD;Orthodox Economist;High;M6077;x
6005;Minister of Security;J・エドガー・フーバー;35;SL;Director of FBI;Very High;M6005;x
6006;Head of Military Intelligence;ウィリアム・F・フリードマン;35;SL;Cryptographer;Very High;M6006;x
6007;Chief of Staff;マーリン・クレイグ;35;SL;School of Defence;High;M6007;x
6008;Chief of Army;マーリン・クレイグ;35;SL;Armoured Spearhead Doctrine;High;M6007;x
6009;Chief of Navy;クロード・A・スワンソン;36;SL;Decisive Naval Battle Doctrine;High;M6009;x
6010;Chief of Air Force;オスカー・ウェストーヴァー;35;SD;Air Superiority Doctrine;High;M6010;x
6032;Head of State;ヘンリー・A・ウォレス;40;SL;Benevolent Gentleman;High;M6032;x
6033;Head of State;ウォーレン・G・フーパー;44;SL;Ruthless Powermonger;High;M6033;x
6034;Head of State;ハリー・S・トルーマン;45;SL;Die-hard Reformer;High;M6034;x
6035;Head of State;アルフレッド・M・ランドン;36;ML;Pig-headed Isolationist;High;M6035;x
6036;Head of State;ウェンデル・ウィルキー;40;ML;Autocratic Charmer;High;M6036;x
6037;Head of State;チャールズ・マクナリー;44;ML;Insignificant Layman;High;M6037;x
6038;Head of State;トーマス・E・デューイ;43;ML;Popular Figurehead;High;M6038;x
6039;Head of State;フリッツ・クーン;36;FA;Barking Buffoon;High;M6011;x
6040;Head of State;ジェラルド・K・スミス;36;PA;Powerhungry Demagogue;High;M6040;x
6041;Head of State;アール・ブラウダー;36;ST;Ruthless Powermonger;High;M6041;x
6042;Head of State;ノーマン・トーマス;40;LWR;Insignificant Layman;High;M6021;x
6044;Head of Government;ヘンリー・A・ウォレス;40;SL;Silent Workhorse;High;M6032;x
6045;Head of Government;ジョエル・B・クラーク;40;SL;Backroom Backstabber;High;M6045;x
6046;Head of Government;ハリー・S・トルーマン;44;SL;Flamboyant Tough Guy;High;M6034;x
6047;Head of Government;アルベン・W・バークリー;45;SL;Silent Workhorse;High;M6047;x
6048;Head of Government;フランク・ノックス;36;ML;Naive Optimist;High;M6048;x
6049;Head of Government;チャールズ・マクナリー;40;ML;Political Protege;High;M6037;x
6050;Head of Government;ジョン・ブリッカー;44;ML;Corporate Suit;High;M6050;x
6051;Head of Government;ストロム・サーモンド;45;SC;Old General;High;M6051;x
6052;Head of Government;H・R・メンガート;36;PA;Old Airmarshal;High;M6052;x
6053;Head of Government;ジェラルド・K・スミス;36;PA;Happy Amateur;High;M6040;x
6054;Head of Government;サミュエル・グリーン博士;44;PA;Old Admiral;High;M6054;x
6055;Head of Government;ウィリアム・Z・フォスター;36;ST;Political Protege;High;M6055;x
6056;Head of Government;ジェームズ・キャノン;40;LWR;Smiling Oilman;High;M6056;x
6057;Head of Government;ジョセフ・P・ラッシュ;44;LE;Naive Optimist;High;M6024;x
6060;Foreign Minister;エドワード・ステティニウス;44;SL;Ambassador to UN;Very High;M6060;x
6061;Foreign Minister;ヘンリー・L・スティムソン;44;SL;Apologetic Clerk;High;M6061;x
6062;Foreign Minister;ウォーカー・リアリー;44;SL;The Cloak N Dagger Schemer;High;M6062;x
6063;Foreign Minister;ジェームズ・バーンズ;45;SD;Great Compromiser;Very High;M6063;x
6064;Foreign Minister;ジョージ・C・マーシャル;47;SL;Ideological Crusader;High;M6064;x
6066;Foreign Minister;アーサー・ヴァンデンバーグ;36;ML;Iron Fisted Brute;High;M6066;x
6067;Foreign Minister;アルフレッド・E・スミス;40;ML;Apologetic Clerk;High;M6067;x
6068;Foreign Minister;ジェラルド・ナイ;44;ML;Biased Intellectual;High;M6068;x
6069;Foreign Minister;エズラ・パウンド;36;FA;Biased Intellectual;High;M6069;x
6070;Foreign Minister;チャールズ・コフリン;40;PA;Ideological Crusader;High;M6013;x
6071;Foreign Minister;ローレンス・デニス;44;FA;Apologetic Clerk;High;M6071;x
6072;Foreign Minister;フロイド・B・オルソン;36;LWR;Ideological Crusader;Low;M6072;x
6073;Foreign Minister;サム・ダーシー;37;ST;Ideological Crusader;Low;M6073;x
6074;Foreign Minister;ジェームズ・ポール・ウォーバーグ;40;LE;Ideological Crusader;High;M6023;x
6075;Foreign Minister;ロバート・マイナー;42;ST;General Staffer;High;M6075;x
6076;Foreign Minister;ユージン・デニス;44;LE;Biased Intellectual;High;M6076;x
6004;Minister of Armament;ジョージ・H・ダーン;36;SD;Military Entrepreneur;High;M6004;x
6078;Minister of Armament;ハリー・I・ホプキンス;38;SL;Laissez-Faire Capitalist;High;M6078;x
6079;Minister of Armament;ジェシー・H・ジョーンズ;40;SL;Construction Magnate;Very High;M6079;x
6080;Minister of Armament;ルロイ・グラマン;40;SD;Air Superiority Proponent;Very High;M6080;x
6081;Minister of Armament;プレストン・T・タッカー;44;SL;Strategic Air Proponent;Very High;M6081;x
6082;Minister of Armament;ヘンリー・J・カイザー;44;SL;Administrative Genius;Very High;M6082;x
6083;Minister of Armament;ロバート・P・パターソン;45;SL;Tank Proponent;High;M6083;x
6084;Minister of Armament;ケネス・C・ロイヤル;47;SC;Laissez-Faire Capitalist;High;M6084;x
6085;Minister of Armament;ダニエル・C・ローパー;33;ML;Planned Economy Proponent;Very High;M6085;x
6086;Minister of Armament;ジェームズ・M・コックス;39;ML;Military Entrepreneur;Very High;M6086;x
6088;Minister of Armament;ウォーレン・G・フーパー;40;ML;Corrupt Kleptocrat;Low;M6033;x
6089;Minister of Armament;ハリー・H・ウッドリング;36;ML;Strategic Air Proponent;High;M6089;x
6090;Minister of Armament;ジョン・D・ロックフェラー・ジュニア;44;ML;Resource Industrialist;High;M6090;x
6091;Minister of Armament;フレデリック・ヴィンソン;45;ML;Keynesian Economy;Very High;M6091;x
